gene_id,num_transcript,num_exon,num_uniq_exon
LOC108660442,1,1,1
LOC108660455,3,12,6
LOC108660468,1,4,4
LOC108660478,1,4,4
LOC108660483,1,2,2
LOC108660484,1,2,2
LOC108660485,1,2,2
LOC108660486,2,4,3
LOC108660489,2,9,6
LOC108660491,2,4,3
LOC108660492,1,3,3
LOC108660493,1,4,4
LOC108660494,1,2,2
LOC108660556,1,2,2
LOC108660557,3,7,5
LOC108660559,1,2,2
LOC108660560,1,2,2
LOC108660561,1,3,3
LOC108660563,1,3,3
LOC108660564,1,3,3
LOC108660566,1,1,1
LOC108660571,3,10,8
LOC108660572,1,3,3
LOC108660573,2,6,4
LOC108660574,2,4,4
LOC108660575,1,2,2
LOC108660578,1,3,3
LOC108660579,1,3,3
LOC108660582,1,2,2
LOC108660584,1,3,3
LOC108660585,1,4,4
LOC108660586,1,3,3
LOC108660588,1,3,3
LOC108660589,1,2,2
LOC108660590,1,2,2
LOC108660591,1,2,2
LOC108660592,2,5,4
LOC108660593,1,3,3
LOC108660594,1,4,4
LOC108660595,1,2,2
LOC108660596,3,7,4
LOC108660597,1,2,2
LOC108660598,2,4,3
LOC108660599,1,3,3
LOC108660601,1,3,3
LOC108660615,1,2,2
LOC108660619,1,3,3
LOC108660620,1,1,1
LOC108660627,1,4,4
LOC108660659,1,4,4
LOC108660671,1,3,3
LOC108660684,1,1,1
LOC108660692,1,1,1
LOC108660698,1,2,2
LOC108660701,1,4,4
LOC108660724,1,4,4
LOC108660726,1,4,4
LOC108660732,1,1,1
LOC108660733,1,2,2
LOC108660734,1,2,2
LOC108660735,2,5,3
LOC108660736,1,4,4
LOC108660737,1,3,3
LOC108660738,1,2,2
LOC108660739,1,3,3
LOC108660740,1,2,2
LOC108660744,1,2,2
LOC108660747,1,3,3
LOC108660748,1,2,2
LOC108660749,1,2,2
LOC108660750,1,3,3
LOC108660751,1,2,2
LOC108660753,1,2,2
LOC108660754,1,1,1
LOC108660755,1,2,2
LOC108660756,1,2,2
LOC108660757,1,3,3
LOC108660758,1,2,2
LOC108660759,1,3,3
LOC108660760,2,6,4
LOC108660762,1,2,2
LOC108660763,1,3,3
LOC108660764,1,3,3
LOC108660765,1,3,3
LOC108660766,2,6,4
LOC108660767,1,3,3
LOC108660768,1,3,3
LOC108660769,1,4,4
LOC108660770,1,5,5
LOC108660771,1,3,3
LOC108660773,1,4,4
LOC108660774,6,12,7
LOC108660775,1,3,3
LOC108660778,1,2,2
LOC108660779,1,3,3
LOC108660780,1,4,4
LOC108660781,1,3,3
LOC108660782,1,3,3
LOC108660784,7,14,8
LOC108660785,1,3,3
LOC108660786,2,6,4
LOC108660788,1,3,3
LOC108660789,1,3,3
LOC108660790,1,1,1
LOC108660791,1,2,2
LOC108660792,1,3,3
LOC108660793,1,3,3
LOC108660794,1,3,3
LOC108660795,1,5,5
LOC108660797,1,3,3
LOC108660798,1,3,3
LOC108660799,3,10,6
LOC108660801,1,2,2
LOC108660802,1,2,2
LOC108660804,2,6,4
LOC108660806,1,2,2
LOC108660807,2,6,4
LOC108660808,1,3,3
LOC108660809,1,3,3
LOC108660810,1,3,3
LOC108660811,1,3,3
LOC108660812,1,3,3
LOC108660813,1,3,3
LOC108660814,1,4,4
LOC108660815,1,3,3
LOC108660816,1,3,3
LOC108660817,1,3,3
LOC108660818,1,3,3
LOC108660819,1,3,3
LOC108660820,1,3,3
LOC108660821,1,3,3
LOC108660822,1,4,4
LOC108660823,1,3,3
LOC108660824,1,3,3
LOC108660825,2,6,4
LOC108660826,1,3,3
LOC108660827,1,2,2
LOC108660828,1,3,3
LOC108660829,1,3,3
LOC108660830,1,3,3
LOC108660831,1,2,2
LOC108660832,1,3,3
LOC108660833,1,3,3
LOC108660834,1,3,3
LOC108660835,1,2,2
LOC108660836,1,3,3
LOC108660837,1,4,4
LOC108660838,1,3,3
LOC108660839,1,3,3
LOC108660840,1,3,3
LOC108660841,1,2,2
LOC108660842,1,3,3
LOC108660843,2,6,4
LOC108660844,1,3,3
LOC108660845,1,3,3
LOC108660846,1,3,3
LOC108660847,1,3,3
LOC108660848,1,3,3
LOC108660849,1,3,3
LOC108660850,1,2,2
LOC108660851,2,6,4
LOC108660852,1,3,3
LOC108660853,2,6,4
LOC108660854,1,3,3
LOC108660855,1,3,3
LOC108660856,1,3,3
LOC108660857,1,3,3
LOC108660858,1,3,3
LOC108660859,1,2,2
LOC108660860,1,4,4
LOC108660861,1,3,3
LOC108660862,1,3,3
LOC108660863,1,2,2
LOC108660864,1,3,3
LOC108660866,1,3,3
LOC108660867,2,6,4
LOC108660868,2,6,4
LOC108660869,1,3,3
LOC108660870,1,3,3
LOC108660871,1,3,3
LOC108660872,1,3,3
LOC108660873,1,3,3
LOC108660874,1,3,3
LOC108660875,1,3,3
LOC108660876,1,3,3
LOC108660877,1,3,3
LOC108660878,1,3,3
LOC108660879,2,6,4
LOC108660880,1,3,3
LOC108660881,1,3,3
LOC108660882,1,3,3
LOC108660883,1,3,3
LOC108660884,1,3,3
LOC108660885,1,3,3
LOC108660886,1,3,3
LOC108660887,1,2,2
LOC108660888,2,6,4
LOC108660889,1,3,3
LOC108660890,2,6,4
LOC108660891,1,3,3
LOC108660892,1,3,3
LOC108660893,1,3,3
LOC108660895,1,3,3
LOC108660896,2,6,4
LOC108660897,1,3,3
LOC108660898,1,3,3
LOC108660899,1,3,3
LOC108660900,1,3,3
LOC108660901,1,3,3
LOC108660902,1,3,3
LOC108660903,1,3,3
LOC108660904,1,2,2
LOC108660905,1,3,3
LOC108660906,1,3,3
LOC108660907,1,3,3
LOC108660908,1,3,3
LOC108660909,6,35,13
LOC108660911,1,3,3
LOC108660912,1,2,2
LOC108660913,1,3,3
LOC108660914,1,3,3
LOC108660915,1,2,2
LOC108660916,3,9,5
LOC108660917,1,3,3
LOC108660918,1,3,3
LOC108660919,1,3,3
LOC108660920,1,4,4
LOC108660921,1,3,3
LOC108660923,2,18,10
LOC108660925,1,2,2
LOC108660927,1,3,3
LOC108660929,1,3,3
LOC108660930,1,2,2
LOC108660931,1,2,2
LOC108660940,1,2,2
LOC108660947,1,3,3
LOC108660949,1,2,2
LOC108660950,1,3,3
LOC108660951,1,3,3
LOC108660952,1,2,2
LOC108660957,1,2,2
LOC108660958,7,41,16
LOC108660959,5,36,14
LOC108660960,1,2,2
LOC108660962,1,3,3
LOC108660964,1,3,3
LOC108660966,1,2,2
LOC108660968,1,3,3
LOC108660969,4,14,10
LOC108660971,1,3,3
LOC108660974,2,7,4
LOC108660975,1,2,2
LOC108660976,1,2,2
LOC108660977,1,2,2
LOC108660978,1,2,2
LOC108660982,1,3,3
LOC108660983,1,3,3
LOC108660986,1,2,2
LOC108660992,2,7,4
LOC108660993,2,4,3
LOC108660995,1,2,2
LOC108660996,1,2,2
LOC108660998,1,3,3
LOC108660999,1,3,3
LOC108661000,1,3,3
LOC108661001,1,3,3
LOC108661065,1,6,6
LOC108661067,1,2,2
LOC108661070,1,3,3
LOC108661073,1,2,2
LOC108661074,1,2,2
LOC108661075,1,3,3
LOC108661080,1,2,2
LOC108661088,6,31,11
LOC108661091,1,2,2
LOC108661093,1,2,2
LOC108661094,1,3,3
LOC108661095,1,2,2
LOC108661096,1,2,2
LOC108661097,2,5,4
