transcript_id,num_exon
XM_019159618.1,2
XM_019159619.1,1
XM_019159624.1,1
XM_019159625.1,1
XM_019159629.1,1
XM_019159630.1,1
XM_019159631.1,1
XM_019159639.1,2
XM_019159644.1,1
XM_019159645.1,1
XM_019159650.1,1
XM_019159666.1,1
XM_019159675.1,1
XM_019159676.1,1
XM_019159690.1,1
XM_019159692.1,1
XM_019159693.1,1
XM_019159702.1,1
XM_019159705.1,1
XM_019159706.1,1
XM_019159709.1,1
XM_019159712.1,1
XM_019159713.1,1
XM_019159715.1,1
XM_019159716.1,1
XM_019159720.1,1
XM_019159724.1,1
XM_019159725.1,2
XM_019159727.1,1
XM_019159732.1,1
XM_019159736.1,1
XM_019159739.1,1
XM_019159741.1,1
XM_019159743.1,3
XM_019159744.1,1
XM_019159751.1,1
XM_019159754.1,1
XM_019159756.1,1
XM_019159761.1,1
XM_019159763.1,1
XM_019159766.1,1
XM_019159772.1,1
XM_019159776.1,1
XM_019159788.1,1
XM_019159789.1,1
XM_019159793.1,1
XM_019159795.1,1
XM_019159802.1,1
XM_019159807.1,1
XM_019159814.1,4
XM_019159817.1,1
XM_019159820.1,1
XM_019159822.1,1
XM_019159823.1,1
XM_019159824.1,1
XM_019159843.1,1
XM_019159844.1,2
XM_019159845.1,1
XM_019159853.1,1
XM_019159859.1,1
XM_019159860.1,1
XM_019159866.1,1
XM_019159871.1,1
XM_019159875.1,1
XM_019159877.1,1
XM_019159883.1,1
XM_019159886.1,1
XM_019159889.1,1
XM_019159892.1,1
XM_019159894.1,1
XM_019159897.1,1
XM_019159899.1,1
XM_019159906.1,1
XM_019159907.1,1
XM_019159909.1,1
XM_019159913.1,1
XM_019159915.1,1
XM_019159916.1,1
XM_019159917.1,1
XM_019159919.1,1
XM_019159925.1,1
XM_019159929.1,1
XM_019159931.1,1
XM_019159939.1,1
XM_019159942.1,1
XM_019159943.1,1
XM_019159950.1,2
XM_019159954.1,1
XM_019159959.1,1
XM_019159965.1,1
XM_019159980.1,1
XM_019159985.1,1
XM_019159986.1,1
XM_019159987.1,1
XM_019159988.1,1
XM_019159989.1,1
XM_019159995.1,1
XM_019160001.1,1
XM_019160005.1,1
XM_019160006.1,1
XM_019160010.1,1
XM_019160019.1,1
XM_019160021.1,1
XM_019160024.1,1
XM_019160025.1,1
XM_019160031.1,1
XM_019160032.1,1
XM_019160044.1,2
XM_019160046.1,1
XM_019160047.1,1
XM_019160055.1,1
XM_019160057.1,1
XM_019160063.1,1
XM_019160073.1,1
XM_019160077.1,1
XM_019160079.1,1
XM_019160085.1,1
XM_019160100.1,1
XM_019160107.1,1
XM_019160109.1,1
XM_019160118.1,1
XM_019160124.1,1
XM_019160126.1,1
XM_019160144.1,1
XM_019160157.1,1
XM_019160165.1,1
XM_019160172.1,1
XM_019160192.1,1
XM_019160198.1,1
XM_019160201.1,1
XM_019160221.1,1
XM_019160227.1,1
XM_019160230.1,2
XM_019160239.1,1
XM_019160240.1,1
XM_019160284.1,1
XM_019160295.1,1
XM_019160303.1,1
XM_019160316.1,1
XM_019160322.1,1
XM_019160324.1,1
XM_019160328.1,1
XM_019160329.1,1
XM_019160334.1,2
XM_019160358.1,1
XM_019160382.1,1
XM_019160385.1,1
XM_019160392.1,1
XM_019160394.1,2
XM_019160400.1,1
XM_019160402.1,1
XM_019160427.1,1
XM_019160428.1,1
XM_019160429.1,1
XM_019160441.1,1
XM_019160442.1,1
XM_019160451.1,2
XM_019160457.1,1
XM_019160462.1,1
XM_019160470.1,1
XM_019160489.1,1
XM_019160494.1,1
XM_019160496.1,1
XM_019160504.1,1
XM_019160506.1,1
XM_019160508.1,1
XM_019160555.1,1
XM_019160576.1,1
XM_019160582.1,1
XM_019160586.1,1
XM_019160592.1,1
XM_019160593.1,1
XM_019160607.1,1
XM_019160616.1,2
XM_019160626.1,1
XM_019160639.1,1
XM_019160650.1,1
XM_019160655.1,1
XM_019160668.1,1
XM_019160670.1,1
XM_019160719.1,1
XM_019160728.1,1
XM_019160730.1,1
XM_019160733.1,1
XM_019160741.1,1
XM_019160748.1,1
XM_019160750.1,1
XM_019160756.1,1
XM_019160773.1,1
XM_019160784.1,1
XM_019160807.1,1
XM_019160810.1,1
XM_019160815.1,1
XM_019160823.1,1
XM_019160828.1,1
XM_019160834.1,1
XM_019160837.1,1
XM_019160849.1,1
XM_019160855.1,1
XM_019160857.1,1
XM_019160871.1,1
XM_019160883.1,1
XM_019160895.1,1
XM_019160902.1,1
XM_019160906.1,1
XM_019160908.1,2
XM_019160913.1,1
XM_019160914.1,1
XM_019160925.1,1
XM_019160931.1,1
XM_019160938.1,1
XM_019160943.1,1
XM_019160947.1,1
XM_019160948.1,1
XM_019160949.1,1
XM_019160956.1,1
XM_019160961.1,1
XM_019160964.1,1
XM_019160965.1,1
XM_019160977.1,1
XM_019160982.1,1
XM_019160984.1,1
XM_019160989.1,1
XM_019160991.1,1
XM_019160992.1,1
XM_019160994.1,1
XM_019160998.1,1
XM_019161025.1,1
XM_019161065.1,1
XM_019161066.1,1
XM_019161074.1,2
XM_019161076.1,1
XM_019161080.1,1
XM_019161083.1,1
XM_019161089.1,1
XM_019161094.1,1
XM_019161106.1,1
XM_019161110.1,1
XM_019161120.1,1
XM_019161138.1,1
XM_019161149.1,1
XM_019161168.1,1
XM_019161196.1,1
XM_019161205.1,1
XM_019161211.1,1
XM_019161220.1,1
XM_019161240.1,1
XM_019161246.1,1
XM_019161250.1,1
XM_019161253.1,1
XM_019161271.1,1
XM_019161276.1,2
XM_019161277.1,1
XM_019161279.1,1
XM_019161281.1,1
XM_019161288.1,1
XM_019161295.1,1
XM_019161315.1,2
XM_019161317.1,1
XM_019161329.1,1
XM_019161332.1,1
XM_019161346.1,1
XM_019161370.1,1
XM_019161381.1,1
XM_019161392.1,1
XM_019161396.1,1
XM_019161411.1,2
XM_019161437.1,1
XM_019161453.1,1
XM_019161466.1,1
XM_019161485.1,1
XM_019161500.1,1
XM_019161503.1,1
XM_019161508.1,1
XM_019161519.1,1
XM_019161524.1,1
XM_019161525.1,1
XM_019161532.1,2
XM_019161548.1,1
XM_019161554.1,1
XM_019161560.1,2
XM_019161565.1,1
XM_019161569.1,1
XM_019161572.1,2
XM_019161575.1,1
XM_019161576.1,1
XM_019161579.1,1
XM_019161580.1,1
XM_019161618.1,1
XM_019161625.1,1
XM_019161636.1,1
XM_019161641.1,1
XM_019161647.1,1
XM_019161652.1,1
XM_019161659.1,1
XM_019161673.1,1
XM_019161675.1,1
XM_019161685.1,1
XM_019161709.1,1
XM_019161710.1,1
XM_019161713.1,1
XM_019161729.1,1
XM_019161731.1,1
XM_019161736.1,1
XM_019161762.1,1
XM_019161765.1,1
XM_019161770.1,1
XM_019161771.1,1
XM_019161774.1,1
XM_019161777.1,1
XM_019161779.1,1
XM_019161780.1,1
XM_019161782.1,1
XM_019161799.1,1
XM_019161807.1,1
XM_019161812.1,1
XM_019161819.1,1
XM_019161821.1,1
XM_019161824.1,1
XM_019161828.1,1
XM_019161846.1,1
XM_019161859.1,1
XM_019161903.1,1
XM_019161913.1,1
XM_019161914.1,1
XM_019161927.1,1
XM_019161934.1,1
XM_019161935.1,1
XM_019161944.1,1
XM_019161986.1,1
XM_019161990.1,1
XM_019161995.1,1
XM_019162011.1,1
XM_019162013.1,1
XM_019162014.1,1
XM_019162024.1,1
XM_019162026.1,1
XM_019162039.1,1
XM_019162058.1,1
XM_019162064.1,1
XM_019162079.1,3
XM_019162080.1,1
XM_019162081.1,1
XM_019162082.1,1
XM_019162084.1,1
XM_019162085.1,2
XM_019162086.1,5
XM_019162087.1,1
XM_019162089.1,2
XM_019162090.1,1
XM_019162091.1,1
XM_019162092.1,1
XM_019162093.1,1
XM_019162095.1,1
XM_019162096.1,1
XM_019162097.1,1
XM_019162098.1,1
XM_019162099.1,1
XM_019162100.1,2
XM_019162101.1,2
XM_019162102.1,2
XM_019162103.1,1
XM_019162106.1,1
XM_019162108.1,2
XM_019162109.1,1
XM_019162110.1,1
XM_019162111.1,2
XM_019162112.1,1
XM_019162113.1,1
XM_019162114.1,1
XM_019162115.1,1
XM_019162116.1,1
XM_019162117.1,2
XM_019162118.1,1
XM_019162119.1,2
XM_019162121.1,1
XM_019162122.1,2
XM_019162123.1,6
XM_019162124.1,1
XM_019162125.1,1
XM_019162126.1,2
XM_019162127.1,1
XM_019162128.1,1
XM_019162129.1,3
XM_019162130.1,2
XM_019162131.1,2
XM_019162132.1,2
XM_019162133.1,6
XM_019162134.1,3
XM_019162135.1,1
XM_019162136.1,1
XM_019162137.1,2
XM_019162138.1,3
XM_019162139.1,2
XM_019162141.1,1
XM_019162142.1,1
XM_019162144.1,1
XM_019162145.1,2
XM_019162146.1,1
XM_019162147.1,1
XM_019162148.1,1
XM_019162150.1,1
XM_019162151.1,1
XM_019162152.1,1
XM_019162153.1,1
XM_019162154.1,1
XM_019162155.1,2
XM_019162156.1,1
XM_019162157.1,1
XM_019162158.1,1
XM_019162159.1,2
XM_019162161.1,3
XM_019162163.1,1
XM_019162164.1,1
XM_019162165.1,1
XM_019162166.1,6
XM_019162167.1,2
XM_019162168.1,1
XM_019162169.1,1
XM_019162170.1,1
XM_019162171.1,1
XM_019162172.1,1
XM_019162173.1,1
XM_019162174.1,1
XM_019162175.1,3
XM_019162176.1,1
XM_019162177.1,1
XM_019162178.1,1
XM_019162179.1,1
XM_019162180.1,3
XM_019162181.1,1
XM_019162182.1,1
XM_019162183.1,4
XM_019162185.1,2
XM_019162186.1,1
XM_019162187.1,3
XM_019162188.1,1
XM_019162189.1,1
XM_019162190.1,1
XM_019162191.1,2
XM_019162192.1,2
XM_019162193.1,1
XM_019162194.1,2
XM_019162195.1,1
XM_019162196.1,1
XM_019162198.1,1
XM_019162199.1,1
XM_019162200.1,1
XM_019162202.1,2
XM_019162203.1,2
XM_019162204.1,1
XM_019162205.1,1
XM_019162207.1,3
XM_019162208.1,2
XM_019162210.1,1
XM_019162212.1,1
XM_019162213.1,1
XM_019162214.1,1
XM_019162215.1,2
XM_019162216.1,1
XM_019162217.1,2
XM_019162218.1,1
XM_019162219.1,1
XM_019162220.1,1
XM_019162221.1,1
XM_019162222.1,1
XM_019162224.1,1
XM_019162225.1,1
XM_019162226.1,1
XM_019162227.1,1
XM_019162228.1,1
XM_019162230.1,7
XM_019162231.1,2
XM_019162232.1,1
XM_019162233.1,1
XM_019162234.1,1
XM_019162235.1,5
XM_019162236.1,1
XM_019162237.1,1
XM_019162238.1,1
XM_019162241.1,2
XM_019162242.1,3
XM_019162243.1,1
XM_019162244.1,1
XM_019162245.1,1
XM_019162246.1,3
XM_019162247.1,1
XM_019162248.1,1
XM_019162249.1,1
XM_019162250.1,1
XM_019162251.1,1
XM_019162252.1,1
XM_019162253.1,1
XM_019162254.1,2
XM_019162255.1,1
XM_019162258.1,1
XM_019162259.1,1
XM_019162260.1,1
XM_019162261.1,1
XM_019162262.1,4
XM_019162264.1,1
XM_019162265.1,2
XM_019162266.1,1
XM_019162267.1,2
XM_019162269.1,1
XM_019162270.1,1
XM_019162271.1,1
XM_019162272.1,2
XM_019162273.1,1
XM_019162274.1,1
XM_019162275.1,1
XM_019162276.1,1
XM_019162277.1,1
XM_019162278.1,1
XM_019162279.1,1
XM_019162280.1,3
XM_019162281.1,1
XM_019162282.1,3
XM_019162283.1,1
XM_019162284.1,1
XM_019162285.1,2
XM_019162286.1,1
XM_019162287.1,1
XM_019162288.1,1
XM_019162289.1,1
XM_019162290.1,1
XM_019162291.1,1
XM_019162292.1,2
XM_019162293.1,4
XM_019162294.1,2
XM_019162295.1,2
XM_019162297.1,1
XM_019162298.1,1
XM_019162299.1,2
