gene_id,num_transcript,num_exon,num_uniq_exon
EGM2,1,7,7
EGM3,1,10,10
ISU1,1,3,3
LOC104414022,1,6,6
LOC104414023,2,6,5
LOC104414024,1,10,10
LOC104414025,1,2,2
LOC104414026,3,21,9
LOC104414028,1,10,10
LOC104414029,1,3,3
LOC104414031,1,10,10
LOC104414032,1,2,2
LOC104414033,1,12,12
LOC104414034,1,2,2
LOC104414037,1,2,2
LOC104414038,1,7,7
LOC104414039,1,2,2
LOC104414040,1,9,9
LOC104414041,1,13,13
LOC104414042,1,15,15
LOC104414043,1,8,8
LOC104414045,1,12,12
LOC104414046,3,33,14
LOC104414047,1,5,5
LOC104414048,1,10,10
LOC104414049,2,5,4
LOC104414051,7,54,21
LOC104414057,1,3,3
LOC104414058,5,25,9
LOC104414059,2,20,12
LOC104414063,3,19,13
LOC104414070,1,3,3
LOC104414072,1,3,3
LOC104414077,1,5,5
LOC104414078,1,5,5
LOC104414080,1,4,4
LOC104414081,1,5,5
LOC104414082,1,6,6
LOC104414083,2,9,6
LOC104414084,1,2,2
LOC104414085,1,15,15
LOC104414086,4,78,24
LOC104414087,1,9,9
LOC104414089,2,5,4
LOC104414090,1,6,6
LOC104414091,1,7,7
LOC104414093,1,5,5
LOC104414095,1,5,5
LOC104414097,1,17,17
LOC104414098,1,1,1
LOC104414101,1,12,12
LOC104414102,1,7,7
LOC104414103,1,6,6
LOC104414104,1,4,4
LOC104414105,1,5,5
LOC104414106,4,21,10
LOC104414107,1,4,4
LOC104414108,1,1,1
LOC104414110,1,1,1
LOC104414111,1,1,1
LOC104414112,1,1,1
LOC104414113,1,6,6
LOC104414114,1,4,4
LOC104414115,1,9,9
LOC104414116,3,21,9
LOC104414117,1,2,2
LOC104414118,1,15,15
LOC104414120,1,2,2
LOC104414121,2,11,8
LOC104414122,6,22,12
LOC104414123,3,34,15
LOC104414124,1,1,1
LOC104414125,1,4,4
LOC104414127,1,14,14
LOC104414128,1,11,11
LOC104414130,1,14,14
LOC104414132,3,44,17
LOC104414133,1,1,1
LOC104414134,1,3,3
LOC104414135,1,2,2
LOC104414136,1,2,2
LOC104414137,7,40,13
LOC104414139,1,4,4
LOC104414140,1,4,4
LOC104414141,1,3,3
LOC104414142,1,12,12
LOC104414143,1,1,1
LOC104414145,1,1,1
LOC104414148,4,20,11
LOC104414151,2,4,3
LOC104414152,1,7,7
LOC104414153,1,10,10
LOC104414154,1,5,5
LOC104414155,1,8,8
LOC104414156,1,3,3
LOC104414157,1,7,7
LOC104414158,1,2,2
LOC104414159,1,2,2
