transcript_id,num_exon
FBtr0256557,2
FBtr0256558,1
FBtr0256559,6
FBtr0256560,3
FBtr0256562,1
FBtr0256563,3
FBtr0256564,4
FBtr0256565,1
FBtr0256566,4
FBtr0256568,4
FBtr0256569,6
FBtr0256570,1
FBtr0256571,1
FBtr0256572,2
FBtr0256575,2
FBtr0256576,4
FBtr0256577,6
FBtr0256580,2
FBtr0256581,4
FBtr0256582,4
FBtr0256583,2
FBtr0256584,4
FBtr0256586,5
FBtr0256588,8
FBtr0256592,18
FBtr0256593,2
FBtr0256594,6
FBtr0256595,7
FBtr0256596,4
FBtr0256597,3
FBtr0256598,7
FBtr0256600,4
FBtr0256602,11
FBtr0256603,10
FBtr0256605,5
FBtr0256606,6
FBtr0256607,5
FBtr0256608,4
FBtr0256611,6
FBtr0256612,4
FBtr0256613,4
FBtr0256614,7
FBtr0256615,7
FBtr0256616,2
FBtr0256617,5
FBtr0256619,9
FBtr0256621,4
FBtr0256624,3
FBtr0256625,2
FBtr0256626,3
FBtr0256627,3
FBtr0256628,3
FBtr0256629,2
FBtr0256630,1
FBtr0256631,2
FBtr0256632,1
FBtr0256633,1
FBtr0256634,3
FBtr0256635,2
FBtr0256636,2
FBtr0256637,2
FBtr0256639,1
FBtr0256643,2
FBtr0256644,3
FBtr0256645,1
FBtr0256646,1
FBtr0256647,1
FBtr0256649,2
FBtr0256650,1
FBtr0256651,1
FBtr0256652,1
FBtr0256653,3
FBtr0256654,4
FBtr0256655,10
FBtr0256656,6
FBtr0256658,1
FBtr0256659,5
FBtr0256661,4
FBtr0256662,3
FBtr0256663,1
FBtr0256664,1
FBtr0256665,1
FBtr0256667,2
FBtr0256668,1
FBtr0256669,5
FBtr0256670,3
FBtr0256671,9
FBtr0256675,8
FBtr0256676,3
FBtr0256677,2
FBtr0256678,4
FBtr0256679,2
FBtr0256680,3
FBtr0256682,5
FBtr0256683,4
FBtr0256684,1
FBtr0256685,5
FBtr0256686,4
FBtr0256687,5
FBtr0256689,2
FBtr0256690,3
FBtr0256691,6
FBtr0256692,4
FBtr0256693,1
FBtr0256694,1
FBtr0256696,1
FBtr0256697,3
FBtr0256698,4
FBtr0256699,5
FBtr0256700,6
FBtr0256701,3
FBtr0256702,4
FBtr0256703,6
FBtr0256704,5
FBtr0256705,3
FBtr0256706,2
FBtr0256707,2
FBtr0256709,2
FBtr0256710,3
FBtr0256711,2
FBtr0256713,2
FBtr0256714,2
FBtr0256715,2
FBtr0256716,3
FBtr0256717,3
FBtr0256719,1
FBtr0256721,2
FBtr0256724,2
FBtr0256725,4
FBtr0256726,2
FBtr0256727,2
FBtr0256728,2
FBtr0256729,2
FBtr0256730,1
FBtr0256731,2
FBtr0256732,8
FBtr0256734,1
FBtr0256736,4
FBtr0256737,9
FBtr0256738,9
FBtr0256740,4
FBtr0256741,1
FBtr0256742,7
FBtr0256743,1
FBtr0256744,10
FBtr0256745,2
FBtr0256746,5
FBtr0256747,4
FBtr0256750,3
FBtr0256752,6
FBtr0256753,5
FBtr0256754,4
FBtr0256756,5
FBtr0256757,6
FBtr0256758,3
FBtr0256759,5
FBtr0256760,2
FBtr0256762,4
FBtr0256763,2
FBtr0256766,2
FBtr0256767,7
FBtr0256768,4
FBtr0256771,2
FBtr0256774,1
FBtr0256778,4
FBtr0256779,2
FBtr0256780,5
FBtr0256781,3
FBtr0256782,1
FBtr0256783,5
FBtr0256784,9
FBtr0256785,4
FBtr0256786,3
FBtr0256787,3
FBtr0256788,3
FBtr0256789,1
FBtr0256790,1
FBtr0256794,4
FBtr0256797,10
FBtr0256798,2
FBtr0256800,4
FBtr0256801,2
FBtr0256803,5
FBtr0256804,6
FBtr0256806,4
FBtr0256807,4
FBtr0256809,7
FBtr0256811,2
FBtr0256812,6
FBtr0256813,4
FBtr0256814,2
FBtr0256815,7
FBtr0256817,3
FBtr0256818,3
FBtr0256820,4
FBtr0256821,2
FBtr0256822,2
FBtr0256823,1
FBtr0256824,13
FBtr0256825,3
FBtr0256826,1
FBtr0256827,8
FBtr0256828,4
FBtr0256829,6
FBtr0256830,2
FBtr0256831,3
FBtr0256832,4
FBtr0256834,2
FBtr0256836,3
FBtr0256837,2
FBtr0256840,1
FBtr0256841,8
FBtr0256842,4
FBtr0256843,6
FBtr0256844,3
FBtr0256845,6
FBtr0256847,6
FBtr0256848,4
FBtr0256849,1
FBtr0256851,7
FBtr0256852,2
FBtr0256856,2
FBtr0256858,2
FBtr0256859,1
FBtr0256860,2
FBtr0256861,2
FBtr0256862,4
FBtr0256863,1
FBtr0256864,1
FBtr0256868,2
FBtr0256869,5
FBtr0256870,4
FBtr0256871,4
FBtr0256872,4
FBtr0256873,4
FBtr0256874,10
FBtr0256876,2
FBtr0256878,4
FBtr0256880,8
FBtr0256881,3
FBtr0256882,6
FBtr0256883,2
FBtr0256884,4
FBtr0256885,2
FBtr0256886,2
FBtr0256887,6
FBtr0256888,2
FBtr0256890,1
FBtr0256891,1
FBtr0256892,1
FBtr0256895,4
FBtr0256896,4
FBtr0256897,3
FBtr0256898,8
FBtr0256900,4
FBtr0256902,4
FBtr0256903,1
FBtr0256904,9
FBtr0256905,3
FBtr0256906,3
FBtr0256909,4
FBtr0256910,3
FBtr0256911,4
FBtr0256912,7
FBtr0256913,3
FBtr0256918,2
FBtr0256919,2
FBtr0256920,3
FBtr0256921,2
FBtr0256922,2
FBtr0256923,5
FBtr0256924,5
FBtr0256927,6
FBtr0256928,5
FBtr0256930,14
FBtr0256932,3
FBtr0256933,2
FBtr0256934,6
FBtr0256935,2
FBtr0256936,3
FBtr0256937,2
FBtr0256940,11
FBtr0256941,2
FBtr0256943,1
FBtr0256944,3
FBtr0256945,4
FBtr0256946,8
FBtr0256947,1
FBtr0256948,2
FBtr0256949,8
FBtr0256950,5
FBtr0256951,2
FBtr0256955,1
FBtr0256956,2
FBtr0256957,2
FBtr0256958,4
FBtr0256959,2
FBtr0256964,4
FBtr0256965,4
FBtr0256966,2
FBtr0256968,4
FBtr0256969,7
FBtr0256970,4
FBtr0256971,3
FBtr0256972,5
FBtr0256974,2
FBtr0256975,2
FBtr0256976,2
FBtr0256977,7
FBtr0256978,7
FBtr0256980,7
FBtr0256981,7
FBtr0256982,2
FBtr0256983,3
FBtr0256984,2
FBtr0256985,3
FBtr0256986,3
FBtr0256988,2
FBtr0256989,2
FBtr0256990,2
FBtr0256991,1
FBtr0256992,1
FBtr0256993,4
FBtr0256994,6
FBtr0256996,6
FBtr0256997,5
FBtr0256998,7
FBtr0256999,1
FBtr0257000,4
FBtr0257001,1
FBtr0257003,10
FBtr0257005,11
FBtr0257007,9
FBtr0257008,6
FBtr0257009,4
FBtr0257010,7
FBtr0257011,3
FBtr0257012,3
FBtr0257014,1
FBtr0257015,1
FBtr0257016,7
FBtr0257017,4
FBtr0257018,3
FBtr0257019,2
FBtr0257020,3
FBtr0257021,3
FBtr0257022,3
FBtr0257024,2
FBtr0257028,5
FBtr0257029,5
FBtr0257030,18
FBtr0257031,3
FBtr0257032,2
FBtr0257039,1
FBtr0257041,2
FBtr0257042,3
FBtr0257043,7
FBtr0257045,6
FBtr0257046,5
FBtr0257048,2
FBtr0257049,1
FBtr0257050,2
FBtr0257051,1
FBtr0257052,5
FBtr0257063,6
FBtr0257064,6
FBtr0257066,2
FBtr0257067,6
FBtr0257068,7
FBtr0257071,4
FBtr0257074,6
FBtr0257075,9
FBtr0257076,5
FBtr0257077,12
FBtr0257078,1
FBtr0257079,2
FBtr0257080,2
FBtr0257081,17
FBtr0257082,1
FBtr0257084,1
FBtr0257085,2
FBtr0257086,3
FBtr0257087,3
FBtr0257088,5
FBtr0257089,2
FBtr0257090,12
FBtr0257091,3
FBtr0257092,6
FBtr0257093,3
FBtr0257099,15
FBtr0257100,2
FBtr0257101,5
FBtr0257102,4
FBtr0257103,1
FBtr0257104,7
FBtr0257105,6
FBtr0257106,2
FBtr0257108,2
FBtr0257109,4
FBtr0257111,9
FBtr0257112,2
FBtr0257113,2
FBtr0257114,2
FBtr0257115,2
FBtr0257116,2
FBtr0257117,3
FBtr0257118,2
FBtr0257120,4
FBtr0257121,5
FBtr0257122,2
FBtr0257124,6
FBtr0257125,5
FBtr0257126,3
FBtr0257127,5
FBtr0257128,3
FBtr0257129,3
FBtr0257130,2
FBtr0257131,18
FBtr0257133,2
FBtr0257135,3
FBtr0257136,12
FBtr0257137,2
FBtr0257141,1
FBtr0257142,1
FBtr0257143,2
FBtr0257144,2
FBtr0257145,1
