transcript_id,num_exon
NM_001007564.1,19
NM_001007566.1,16
NM_001011659.1,28
NM_001032416.1,8
NM_001032418.1,9
NM_001032419.1,5
NM_001032420.1,9
NM_001032421.1,19
NM_001032422.1,6
NM_001032423.1,19
NM_001032424.1,11
NM_001032425.1,1
NM_001032426.2,7
NM_001032427.1,16
NM_001032428.1,17
NM_001032430.1,4
NM_001032432.1,7
NM_001032432.1_1,5
NM_001032433.1,9
NM_001032434.1,4
NM_001032436.1,9
NM_001032438.1,1
NM_001032439.1,6
NM_001032441.1,6
NM_001032442.1,5
NM_001032446.1,20
NM_001032447.1,10
NM_001032448.1,9
NM_001032449.1,17
NM_001032450.1,4
NM_001032451.1,1
NM_001032452.1,1
NM_001032453.1,17
NM_001032454.1,15
NM_001032455.1,1
NM_001032456.1,14
NM_001032458.1,3
NM_001032459.1,11
NM_001032460.1,9
NM_001032461.1,6
NM_001032462.1,4
NM_001032463.1,5
NM_001032464.1,7
NM_001032465.1,5
NM_001032466.1,11
NM_001032467.1,6
NM_001032468.1,7
NM_001032469.1,10
NM_001032470.1,8
NM_001032471.1,1
NM_001032472.1,9
NM_001032473.1,9
NM_001032474.1,5
NM_001032475.1,16
NM_001032476.1,5
NM_001032478.1,4
NM_001032479.1,4
NM_001032480.1,6
NM_001032481.2,9
NM_001032482.1,1
NM_001032483.1,10
NM_001032484.1,8
NM_001032486.1,8
NM_001032490.2,6
NM_001032491.1,3
NM_001032492.1,11
NM_001032493.1,3
NM_001032495.1,5
NM_001032496.1,5
NM_001032497.1,5
NM_001032498.1,6
NM_001032501.1,4
NM_001032502.1,7
NM_001032503.1,4
NM_001032505.1,6
NM_001032506.1,5
NM_001032507.1,4
NM_001032508.2,4
NM_001032511.1,6
NM_001032512.1,47
NM_001032518.1,4
NM_001032519.1,2
NM_001032520.1,4
NM_001032522.1,4
NM_001032523.1,3
NM_001032524.1,3
NM_001032525.1,5
NM_001032528.1,4
NM_001032529.1,7
NM_001032530.2,1
NM_001032532.1,8
NM_001032533.1,13
NM_001032534.2,17
NM_001032535.1,34
NM_001032540.1,14
NM_001032541.1,11
NM_001032542.1,10
NM_001032548.1,12
NM_001032549.1,12
NM_001032551.1,15
NM_001032553.1,25
NM_001032555.1,8
NM_001032557.1,12
NM_001032559.2,1
NM_001032561.1,4
NM_001032572.2,6
NM_001032573.1,6
NM_001032575.1,3
NM_001032577.1,8
NM_001032578.1,11
NM_001032582.1,16
NM_001032584.1,30
NM_001032588.1,5
NM_001032590.1,10
NM_001032591.1,3
NM_001032593.1,8
NM_001032595.1,7
NM_001032596.1,4
NM_001032597.1,1
NM_001032599.1,2
NM_001032601.1,3
NM_001032603.1,1
NM_001032607.1,17
NM_001032609.2,6
NM_001032613.1,15
NM_001032614.1,9
NM_001032615.1,4
NM_001032617.1,4
NM_001032619.1,4
NM_001032621.1,4
NM_001032623.1,3
NM_001032625.1,4
NM_001032627.2,1
NM_001032633.1,1
NM_001032637.1,10
NM_001032638.1,4
NM_001032641.1,3
NM_001032648.1,3
NM_001032649.1,6
NM_001032652.1,9
NM_001032654.1,18
NM_001032656.1,10
NM_001032658.1,8
NM_001032660.1,10
NM_001032661.1,3
NM_001032662.1,6
NM_001032667.1,5
NM_001032668.1,12
NM_001032669.1,9
NM_001032670.1,15
NM_001032774.1,10
NM_001032775.1,2
NM_001032776.1,9
NM_001032778.1,6
NM_001032779.1,5
NM_001032780.1,1
NM_001032785.1,16
NM_001032786.1,3
NM_001032787.1,8
NM_001032788.1,14
NM_001032789.1,2
NM_001032790.1,13
NM_001032791.1,4
NM_001032792.1,8
NM_001032793.1,9
NM_001032795.1,13
NM_001032797.1,10
NM_001032799.1,2
NM_001032800.1,8
NM_001032801.1,18
NM_001032802.1,19
NM_001033003.1,5
NM_001033005.1,5
NM_001033826.1,11
NM_001033827.1,1
NM_001033828.1,15
NM_001033829.1,15
NM_001033830.1,26
NM_001033832.1,35
NM_001033833.1,8
NM_001033834.1,1
NM_001033836.1,4
NM_001033838.1,11
NM_001033839.1,22
NM_001033840.1,16
NM_001033841.1,7
NM_001033842.1,5
NM_001033843.1,23
NM_001044355.1,15
NM_001044356.1,14
NM_001044357.1,22
NM_001044358.1,20
NM_001044359.1,3
NM_001044360.1,52
NM_001044361.2,3
NM_001044362.1,1
NM_001044364.1,3
NM_001044365.1,19
NM_001044366.1,12
NM_001044367.1,1
NM_001047982.1,10
NM_001047983.1,21
NM_001047984.1,6
NM_001047985.1,1
NM_001047986.1,7
NM_001047987.1,2
NM_001047988.1,4
NM_001047989.1,1
NM_001047990.1,27
NM_001047991.1,36
NM_001047992.1,3
NM_001047993.1,32
NM_001047994.1,20
NM_001047995.1,14
NM_001047996.1,27
NM_001047997.1,13
NM_001047998.1,19
NM_001047999.1,16
NM_001048000.1,14
NM_001048001.1,15
NM_001048003.1,18
NM_001078180.1,1
NM_001078181.1,2
NM_001078182.1,13
NM_001078183.1,15
NM_001078184.1,7
NM_001078185.1,10
NM_001078186.1,4
NM_001078187.1,15
NM_001078188.1,3
NM_001078189.1,17
NM_001078190.1,3
NM_001078191.1,3
NM_001078192.1,11
NM_001078193.1,18
NM_001078194.1,19
NM_001078196.1,7
NM_001078197.1,1
NM_001078198.1,14
NM_001078199.1,15
NM_001078200.1,1
NM_001078201.1,2
NM_001078202.1,6
NM_001078203.1,15
NM_001078204.1,7
NM_001078205.1,4
NM_001078206.1,14
NM_001078207.1,7
NM_001078208.1,1
NM_001078209.1,11
NM_001078210.1,5
NM_001078211.1,6
NM_001078212.1,6
NM_001078213.1,12
NM_001078214.2,13
NM_001078215.1,5
NM_001078216.1,4
NM_001078217.1,6
NM_001078218.1,1
NM_001078219.1,9
NM_001078220.1,1
NM_001078221.1,7
NM_001078222.1,1
NM_001078223.1,21
NM_001078224.1,20
NM_001078225.1,5
NM_001078226.1,6
NM_001078227.1,5
NM_001078228.1,14
NM_001078229.1,8
NM_001078230.1,13
NM_001078231.1,13
NM_001078232.1,7
NM_001078233.1,10
NM_001078234.1,14
NM_001078235.1,4
NM_001078236.1,10
NM_001078237.2,5
NM_001078237.2_1,6
NM_001078238.1,3
NM_001078239.1,6
NM_001078240.1,6
NM_001078241.1,3
NM_001078242.1,2
NM_001078243.1,2
NM_001078244.1,2
NM_001078245.1,2
NM_001078246.1,15
NM_001078247.1,13
NM_001078248.1,8
NM_001078249.1,10
NM_001078250.1,3
NM_001078251.1,9
NM_001078253.1,10
NM_001078255.1,12
NM_001078256.1,9
NM_001078257.1,9
NM_001078258.1,18
NM_001078259.2,19
NM_001078260.1,4
NM_001078261.1,2
NM_001078262.1,3
NM_001078263.1,19
NM_001078264.1,6
NM_001078265.1,4
NM_001078266.2,13
NM_001078267.1,11
NM_001078268.1,3
NM_001078269.1,4
NM_001078270.1,1
NM_001078271.1,1
NM_001078272.1,17
NM_001078274.1,10
NM_001078275.1,11
NM_001078276.1,7
NM_001078278.1,8
NM_001078279.1,7
NM_001078280.1,9
NM_001078281.1,1
NM_001078282.1,7
NM_001078283.1,6
