transcript_id,num_exon
LOC100914442,4
NM_001280854.1,7
NM_001280855.1,7
NM_001282155.1,35
NM_001290301.1,5
NM_001291487.1,12
NM_001308980.1,10
NM_001308990.1,4
NM_001308992.1,6
NM_001308994.1,35
XM_003754867.1,1
XM_003754880.4,10
XM_003754886.3,7
XM_003754907.2,6
XM_003754910.4,9
XM_003754911.3,9
XM_003754913.2,11
XM_003754925.4,7
XM_003754932.4,3
XM_003754937.4,8
XM_003754938.4,7
XM_003754939.4,11
XM_003754940.2,1
XM_003754942.3,2
XM_003754943.2,5
XM_003754944.4,3
XM_003754947.2,1
XM_003754948.1,1
XM_003754949.1,1
XM_003754950.1,1
XM_003754954.2,1
XM_003754956.4,4
XM_003754957.2,1
XM_003754958.4,1
XM_003754970.3,11
XM_003754971.3,9
XM_003754972.4,11
XM_003754977.3,13
XM_003754979.3,3
XM_003754986.3,7
XM_003754988.4,8
XM_003754994.3,1
XM_003754995.4,5
XM_003755006.4,9
XM_003755021.4,25
XM_003755022.4,10
XM_003755023.4,9
XM_003755024.2,1
XM_003755025.4,20
XM_003755029.4,5
XM_003755058.3,8
XM_003755059.3,6
XM_003755073.3,21
XM_003755091.3,4
XM_003755095.4,23
XM_003755098.4,4
XM_003755099.4,2
XM_003755100.4,23
XM_003755104.4,6
XM_003755112.4,18
XM_003755127.4,31
XM_003755135.4,13
XM_003755145.3,9
XM_003755146.2,17
XM_003755156.3,5
XM_003755157.2,7
XM_003755160.4,14
XM_003755167.4,5
XM_003755169.3,3
XM_003755170.3,13
XM_003755182.3,3
XM_003755185.2,3
XM_003755187.4,11
XM_003755189.4,9
XM_003755192.4,12
XM_003755196.3,6
XM_003755200.4,17
XM_003755209.3,9
XM_003755214.4,12
XM_003755219.3,16
XM_003755228.4,31
XM_003755231.4,34
XM_003755238.4,11
XM_003755242.4,7
XM_003755243.4,9
XM_003755244.4,8
XM_003755245.3,7
XM_003755246.3,2
XM_003755255.3,10
XM_003755263.2,22
XM_003755264.3,6
XM_003755270.4,23
XM_003755279.2,9
XM_003755280.4,11
XM_003755282.3,3
XM_003755290.4,2
XM_003755291.4,9
XM_003755300.3,16
XM_003755302.2,3
XM_003755310.4,18
XM_003755316.4,29
XM_003755319.4,16
XM_003755320.4,4
XM_003755322.4,7
XM_003755334.4,8
XM_003755335.4,16
XM_003755336.2,3
XM_003755337.3,14
XM_003755342.4,5
XM_003755345.2,4
XM_003755348.3,8
XM_003755349.2,13
XM_003755350.2,9
XM_003755358.4,14
XM_003755360.4,13
XM_003755361.4,15
