gene_id,num_transcript,num_exon,num_uniq_exon
CYBJADRAFT_100451,1,4,4
CYBJADRAFT_100546,1,2,2
CYBJADRAFT_100608,1,1,1
CYBJADRAFT_100972,1,2,2
CYBJADRAFT_101362,1,3,3
CYBJADRAFT_101695,1,1,1
CYBJADRAFT_101749,1,1,1
CYBJADRAFT_101750,1,1,1
CYBJADRAFT_101907,1,2,2
CYBJADRAFT_101913,1,1,1
CYBJADRAFT_102045,1,1,1
CYBJADRAFT_102426,1,1,1
CYBJADRAFT_102427,1,1,1
CYBJADRAFT_102463,1,1,1
CYBJADRAFT_102485,1,1,1
CYBJADRAFT_102504,1,1,1
CYBJADRAFT_102644,1,1,1
CYBJADRAFT_102872,1,1,1
CYBJADRAFT_102993,1,1,1
CYBJADRAFT_103029,1,1,1
CYBJADRAFT_103725,1,1,1
CYBJADRAFT_103801,1,1,1
CYBJADRAFT_103883,1,2,2
CYBJADRAFT_108956,1,1,1
CYBJADRAFT_108968,1,1,1
CYBJADRAFT_108985,1,1,1
CYBJADRAFT_109052,1,1,1
CYBJADRAFT_109147,1,2,2
CYBJADRAFT_109233,1,1,1
CYBJADRAFT_109290,1,1,1
CYBJADRAFT_109304,1,1,1
CYBJADRAFT_10935,1,1,1
CYBJADRAFT_10936,1,1,1
CYBJADRAFT_109431,1,1,1
CYBJADRAFT_109438,1,2,2
CYBJADRAFT_109567,1,1,1
CYBJADRAFT_109568,1,2,2
CYBJADRAFT_109639,1,1,1
CYBJADRAFT_109654,1,1,1
CYBJADRAFT_109658,1,1,1
CYBJADRAFT_109682,1,1,1
CYBJADRAFT_109686,1,1,1
CYBJADRAFT_109694,1,1,1
CYBJADRAFT_109803,1,1,1
CYBJADRAFT_109807,1,2,2
CYBJADRAFT_110014,1,1,1
CYBJADRAFT_110060,1,1,1
CYBJADRAFT_110081,1,1,1
CYBJADRAFT_110139,1,1,1
CYBJADRAFT_110166,1,2,2
CYBJADRAFT_110266,1,2,2
CYBJADRAFT_110327,1,1,1
CYBJADRAFT_110428,1,1,1
CYBJADRAFT_110469,1,1,1
CYBJADRAFT_11051,1,1,1
CYBJADRAFT_110571,1,1,1
CYBJADRAFT_110572,1,1,1
CYBJADRAFT_110628,1,1,1
CYBJADRAFT_110680,1,1,1
CYBJADRAFT_110711,1,1,1
CYBJADRAFT_110725,1,1,1
CYBJADRAFT_110904,1,2,2
CYBJADRAFT_110936,1,1,1
CYBJADRAFT_110948,1,1,1
CYBJADRAFT_110963,1,1,1
CYBJADRAFT_110969,1,1,1
CYBJADRAFT_110996,1,2,2
CYBJADRAFT_111062,1,1,1
CYBJADRAFT_111191,1,1,1
CYBJADRAFT_111227,1,1,1
CYBJADRAFT_111276,1,1,1
CYBJADRAFT_111279,1,1,1
CYBJADRAFT_11132,1,2,2
CYBJADRAFT_111362,1,1,1
CYBJADRAFT_111381,1,1,1
CYBJADRAFT_111405,1,1,1
CYBJADRAFT_111409,1,1,1
CYBJADRAFT_111413,1,1,1
CYBJADRAFT_111414,1,3,3
CYBJADRAFT_11148,1,1,1
CYBJADRAFT_111610,1,1,1
CYBJADRAFT_111685,1,2,2
CYBJADRAFT_111780,1,1,1
CYBJADRAFT_111813,1,1,1
CYBJADRAFT_111846,1,1,1
CYBJADRAFT_111900,1,1,1
CYBJADRAFT_111905,1,1,1
CYBJADRAFT_111927,1,1,1
