gene_id,num_transcript,num_exon,num_uniq_exon
PHYBLDRAFT_100882,1,5,5
PHYBLDRAFT_101239,1,4,4
PHYBLDRAFT_101640,1,3,3
PHYBLDRAFT_102050,1,2,2
PHYBLDRAFT_102063,1,2,2
PHYBLDRAFT_102906,1,1,1
PHYBLDRAFT_103278,1,2,2
PHYBLDRAFT_103436,1,1,1
PHYBLDRAFT_103986,1,2,2
PHYBLDRAFT_104004,1,2,2
PHYBLDRAFT_104006,1,2,2
PHYBLDRAFT_104017,1,2,2
PHYBLDRAFT_104036,1,3,3
PHYBLDRAFT_104343,1,1,1
PHYBLDRAFT_104416,1,4,4
PHYBLDRAFT_104436,1,4,4
PHYBLDRAFT_104438,1,1,1
PHYBLDRAFT_104465,1,10,10
PHYBLDRAFT_104483,1,3,3
PHYBLDRAFT_104504,1,3,3
PHYBLDRAFT_104565,1,4,4
PHYBLDRAFT_104584,1,3,3
PHYBLDRAFT_104637,1,3,3
PHYBLDRAFT_104644,1,4,4
PHYBLDRAFT_104648,1,2,2
PHYBLDRAFT_104671,1,7,7
PHYBLDRAFT_104703,1,6,6
PHYBLDRAFT_104709,1,6,6
PHYBLDRAFT_104739,1,10,10
PHYBLDRAFT_104792,1,5,5
PHYBLDRAFT_104815,1,6,6
PHYBLDRAFT_104869,1,11,11
PHYBLDRAFT_104922,1,7,7
PHYBLDRAFT_104946,1,17,17
PHYBLDRAFT_104965,1,4,4
PHYBLDRAFT_104968,1,1,1
PHYBLDRAFT_105004,1,1,1
PHYBLDRAFT_105026,1,3,3
PHYBLDRAFT_105035,1,8,8
PHYBLDRAFT_105042,1,9,9
PHYBLDRAFT_105069,1,2,2
PHYBLDRAFT_105105,1,3,3
PHYBLDRAFT_105117,1,2,2
PHYBLDRAFT_105125,1,3,3
PHYBLDRAFT_105231,1,13,13
PHYBLDRAFT_105239,1,1,1
PHYBLDRAFT_105245,1,3,3
PHYBLDRAFT_105265,1,2,2
PHYBLDRAFT_105303,1,5,5
PHYBLDRAFT_105311,1,4,4
PHYBLDRAFT_105322,1,4,4
PHYBLDRAFT_105323,1,1,1
PHYBLDRAFT_105376,1,4,4
PHYBLDRAFT_105399,1,2,2
PHYBLDRAFT_105407,1,2,2
PHYBLDRAFT_105409,1,2,2
PHYBLDRAFT_105433,1,7,7
PHYBLDRAFT_105457,1,3,3
PHYBLDRAFT_105554,1,8,8
PHYBLDRAFT_105609,1,1,1
PHYBLDRAFT_105635,1,2,2
PHYBLDRAFT_105673,1,2,2
PHYBLDRAFT_105709,1,4,4
PHYBLDRAFT_105717,1,5,5
PHYBLDRAFT_105731,1,18,18
PHYBLDRAFT_105744,1,5,5
PHYBLDRAFT_105799,1,5,5
PHYBLDRAFT_105809,1,8,8
PHYBLDRAFT_105865,1,1,1
PHYBLDRAFT_105884,1,6,6
PHYBLDRAFT_105894,1,15,15
PHYBLDRAFT_105943,1,2,2
PHYBLDRAFT_105951,1,10,10
PHYBLDRAFT_105970,1,3,3
PHYBLDRAFT_106010,1,12,12
PHYBLDRAFT_106019,1,1,1
PHYBLDRAFT_106023,1,4,4
PHYBLDRAFT_106032,1,1,1
PHYBLDRAFT_106034,1,5,5
PHYBLDRAFT_106045,1,3,3
PHYBLDRAFT_106058,1,2,2
PHYBLDRAFT_106170,1,9,9
PHYBLDRAFT_106313,1,2,2
PHYBLDRAFT_106356,1,5,5
PHYBLDRAFT_106496,1,4,4
PHYBLDRAFT_106531,1,6,6
PHYBLDRAFT_106564,1,17,17
PHYBLDRAFT_106612,1,3,3
PHYBLDRAFT_106646,1,3,3
PHYBLDRAFT_106709,1,5,5
PHYBLDRAFT_106719,1,6,6
PHYBLDRAFT_106749,1,1,1
PHYBLDRAFT_106758,1,3,3
PHYBLDRAFT_106795,1,2,2
PHYBLDRAFT_106810,1,2,2
PHYBLDRAFT_106835,1,6,6
PHYBLDRAFT_106839,1,7,7
PHYBLDRAFT_106870,1,4,4
PHYBLDRAFT_106900,1,4,4
PHYBLDRAFT_106919,1,9,9
PHYBLDRAFT_106941,1,7,7
PHYBLDRAFT_106968,1,2,2
PHYBLDRAFT_107019,1,3,3
PHYBLDRAFT_107057,1,2,2
PHYBLDRAFT_107093,1,6,6
PHYBLDRAFT_107113,1,6,6
PHYBLDRAFT_107123,1,6,6
PHYBLDRAFT_107125,1,6,6
PHYBLDRAFT_107139,1,6,6
PHYBLDRAFT_107208,1,2,2
PHYBLDRAFT_107209,1,4,4
PHYBLDRAFT_107242,1,6,6
PHYBLDRAFT_107279,1,3,3
PHYBLDRAFT_107287,1,1,1
PHYBLDRAFT_107337,1,3,3
PHYBLDRAFT_107369,1,7,7
PHYBLDRAFT_107388,1,5,5
PHYBLDRAFT_107449,1,1,1
PHYBLDRAFT_107475,1,2,2
PHYBLDRAFT_107479,1,5,5
PHYBLDRAFT_107518,1,3,3
PHYBLDRAFT_107523,1,6,6
PHYBLDRAFT_107542,1,8,8
