gene_id,num_transcript,num_exon,num_uniq_exon
AGPL1,2,29,17
AGPS1,1,9,9
AP3,2,14,8
CP,1,4,4
GP,2,13,9
LFY,1,3,3
LOC104585570,3,11,8
LOC104585572,1,2,2
LOC104585573,1,1,1
LOC104585574,1,10,10
LOC104585575,2,6,5
LOC104585576,2,8,6
LOC104585577,1,2,2
LOC104585578,1,9,9
LOC104585579,2,16,10
LOC104585580,5,44,13
LOC104585582,5,55,17
LOC104585583,1,2,2
LOC104585584,1,4,4
LOC104585585,2,6,4
LOC104585586,1,3,3
LOC104585587,1,3,3
LOC104585588,1,2,2
LOC104585589,1,12,12
LOC104585590,6,41,14
LOC104585591,1,8,8
LOC104585592,6,32,15
LOC104585594,4,73,22
LOC104585595,1,8,8
LOC104585596,1,1,1
LOC104585597,1,9,9
LOC104585598,2,14,8
LOC104585599,2,9,6
LOC104585600,4,52,16
LOC104585602,1,5,5
LOC104585604,1,6,6
LOC104585605,1,1,1
LOC104585606,1,3,3
LOC104585608,1,2,2
LOC104585609,1,11,11
LOC104585610,2,19,11
LOC104585611,1,3,3
LOC104585612,1,2,2
LOC104585613,1,1,1
LOC104585614,1,6,6
LOC104585615,1,1,1
LOC104585616,1,1,1
LOC104585617,9,180,28
LOC104585618,1,4,4
LOC104585619,1,1,1
LOC104585620,6,24,7
LOC104585621,1,4,4
LOC104585622,1,2,2
LOC104585623,3,8,5
LOC104585624,1,1,1
LOC104585625,1,3,3
LOC104585626,2,32,18
LOC104585627,5,15,6
LOC104585628,1,4,4
LOC104585629,1,4,4
LOC104585630,1,4,4
LOC104585631,1,2,2
LOC104585632,1,5,5
LOC104585633,1,5,5
LOC104585634,1,5,5
LOC104585635,3,23,11
LOC104585636,1,5,5
LOC104585637,1,3,3
LOC104585638,1,4,4
LOC104585639,1,14,14
LOC104585640,1,1,1
LOC104585641,3,12,6
LOC104585642,1,4,4
LOC104585643,1,12,12
LOC104585644,1,1,1
LOC104585645,1,3,3
LOC104585646,1,2,2
LOC104585649,1,3,3
LOC104585650,1,2,2
LOC104585653,1,1,1
LOC104585654,1,4,4
