gene_id,num_transcript,num_exon,num_uniq_exon
A1CF,2,22,12
A4GALT,1,1,1
A4GNT,1,2,2
AAAS,1,17,17
AACS,1,18,18
AADAC,1,5,5
AADAT,4,54,17
AAED1,2,11,6
AAGAB,1,6,6
AAK1,1,21,21
AAMDC,2,8,5
AAMP,1,11,11
AANAT,1,4,4
AAR2,4,16,7
AARD,1,2,2
AARS,1,21,21
AARS2,1,22,22
AARSD1,1,10,10
AASDH,4,60,18
AASDHPPT,3,17,8
AASS,1,24,24
AATF,1,12,12
AATK,1,12,12
ABAT,1,9,9
ABCA1,1,41,41
ABCA12,1,53,53
ABCA13,1,47,47
ABCA2,1,50,50
ABCA3,1,30,30
ABCA4,1,50,50
ABCA5,1,41,41
ABCB10,1,13,13
ABCB11,1,25,25
ABCB5,1,23,23
ABCB6,2,40,21
ABCB7,1,17,17
ABCB8,1,10,10
ABCB9,1,11,11
ABCC1,1,33,33
ABCC10,1,24,24
ABCC2,1,33,33
ABCC3,1,31,31
ABCC4,1,31,31
ABCC5,1,27,27
ABCC8,1,38,38
ABCD3,1,25,25
ABCD4,1,20,20
ABCE1,1,18,18
ABCF1,1,29,29
ABCF2,1,10,10
ABCF3,1,21,21
ABCG4,1,9,9
ABCG5,1,14,14
ABCG8,1,13,13
ABHD1,1,9,9
ABHD10,1,5,5
ABHD11,1,6,6
ABHD12B,2,26,14
ABHD13,1,1,1
ABHD14B,2,8,5
ABHD15,1,2,2
ABHD16A,1,20,20
ABHD16B,1,1,1
ABHD17A,1,4,4
ABHD17B,3,13,6
ABHD17C,1,3,3
ABHD18,1,13,13
ABHD2,1,11,11
ABHD3,1,6,6
ABHD4,2,14,8
ABHD5,1,7,7
ABHD8,1,4,4
ABI1,9,91,13
ABI2,8,80,13
ABI3,1,8,8
ABI3BP,1,48,48
ABL1,1,11,11
ABL2,2,22,12
ABLIM1,14,333,29
ABLIM2,1,15,15
ABLIM3,1,20,20
ABO,1,3,3
ABR,3,53,25
ABRA,1,2,2
ABRACL,1,3,3
ABT1,2,8,5
ABTB1,1,13,13
ABTB2,1,17,17
ACAA1,1,12,12
ACAA2,1,9,9
ACACA,1,55,55
ACACB,1,53,53
ACAD10,1,20,20
ACAD11,1,20,20
ACAD8,1,10,10
ACAD9,1,18,18
ACADL,1,9,9
ACADM,1,12,12
ACADS,3,29,11
ACADSB,2,20,12
ACADVL,1,18,18
ACAN,1,17,17
ACAP1,1,23,23
ACAP2,1,22,22
ACAP3,1,26,26
ACAT1,1,11,11
ACAT2,1,9,9
ACBD3,1,8,8
ACBD4,1,10,10
ACBD5,2,26,14
ACBD6,1,9,9
ACBD7,1,4,4
ACCS,1,15,15
ACE,1,25,25
ACE2,1,18,18
ACER1,1,7,7
ACER2,1,6,6
ACER3,1,8,8
ACHE,2,8,5
ACIN1,1,18,18
ACKR3,1,1,1
ACKR4,1,2,2
ACLY,5,146,31
ACMSD,1,10,10
ACO1,1,20,20
ACO2,1,18,18
ACOT11,1,16,16
ACOT12,1,17,17
ACOT13,2,7,5
ACOT7,2,19,10
ACOT8,1,6,6
ACOT9,1,16,16
ACOX1,4,54,17
ACOX2,1,16,16
ACOX3,1,18,18
ACP1,2,12,7
ACP2,1,11,11
ACP5,1,5,5
ACP6,1,10,10
ACPT,1,8,8
ACR,1,7,7
ACRC,1,11,11
ACSBG1,1,2,2
ACSBG2,2,30,16
ACSF2,1,16,16
ACSF3,1,10,10
ACSL1,1,21,21
ACSL3,2,33,17
ACSL4,1,14,14
ACSL5,5,106,25
ACSL6,5,100,28
ACSS1,1,17,17
ACSS2,2,39,20
ACSS3,1,14,14
ACTA1,1,7,7
ACTA2,1,9,9
ACTG1,1,6,6
ACTG2,1,9,9
ACTL6A,1,14,14
ACTL6B,1,14,14
ACTL7A,1,1,1
ACTL9,1,2,2
ACTN1,4,86,23
ACTN2,1,21,21
ACTN3,1,21,21
ACTN4,1,21,21
ACTR10,1,13,13
ACTR1A,1,11,11
ACTR1B,1,10,10
ACTR2,1,9,9
ACTR3,2,24,13
ACTR5,1,9,9
ACTR6,4,42,12
ACTR8,1,13,13
ACTRT3,1,2,2
ACVR1,1,10,10
ACVR1B,1,9,9
ACVR1C,4,29,11
ACVR2A,1,11,11
ACVR2B,1,12,12
ACY1,1,15,15
ACYP1,1,2,2
ADA,1,11,11
ADAD1,1,10,10
ADAM10,1,16,16
ADAM11,1,20,20
ADAM12,1,18,18
ADAM15,1,26,26
ADAM17,2,39,21
ADAM19,1,21,21
ADAM22,1,31,31
ADAM23,1,24,24
ADAM9,1,24,24
ADAMTS1,1,9,9
ADAMTS10,1,24,24
ADAMTS12,1,22,22
ADAMTS13,1,28,28
ADAMTS14,1,22,22
ADAMTS15,1,6,6
ADAMTS16,1,24,24
ADAMTS17,1,15,15
ADAMTS18,1,18,18
ADAMTS19,1,23,23
ADAMTS2,1,21,21
ADAMTS20,1,40,40
ADAMTS3,1,19,19
ADAMTS4,1,10,10
ADAMTS5,1,9,9
ADAMTS6,1,24,24
ADAMTS7,1,25,25
ADAMTS8,1,9,9
ADAMTSL1,1,29,29
ADAMTSL2,1,18,18
ADAMTSL3,1,5,5
ADAMTSL4,1,14,14
ADAP1,1,10,10
ADAR,3,45,17
ADARB1,2,18,10
ADARB2,1,7,7
ADAT1,1,8,8
ADAT2,1,6,6
ADAT3,1,2,2
ADCK1,1,11,11
ADCK2,1,8,8
ADCK3,1,4,4
ADCK5,2,27,17
ADCY1,1,15,15
ADCY2,1,24,24
ADCY3,1,20,20
ADCY4,1,25,25
ADCY5,1,9,9
ADCY6,1,23,23
ADCY7,1,27,27
ADCY8,1,18,18
ADCY9,1,12,12
ADD1,10,150,20
ADD2,1,15,15
ADD3,2,27,14
ADGB,1,36,36
ADGRA1,1,9,9
ADGRA2,1,18,18
ADGRA3,1,19,19
ADGRB1,1,19,19
ADGRB2,1,32,32
ADGRD1,1,15,15
ADGRD2,1,25,25
ADGRE5,1,20,20
ADGRF5,1,21,21
ADGRG1,1,13,13
ADGRG2,1,24,24
ADGRG6,1,24,24
ADGRG7,1,12,12
ADGRL1,1,23,23
ADGRL2,10,220,28
ADGRL3,2,44,23
ADGRL4,1,13,13
ADGRV1,1,87,87
ADHFE1,1,15,15
ADI1,1,4,4
ADIPOQ,1,3,3
ADIPOR1,2,17,9
ADIPOR2,2,16,9
ADIRF,1,3,3
ADK,1,11,11
ADNP,1,3,3
ADNP2,1,4,4
ADO,1,2,2
ADORA2A,1,2,2
ADORA2B,1,2,2
ADORA3,1,2,2
ADPGK,1,8,8
ADPRH,4,16,7
ADPRHL1,1,7,7
ADPRHL2,1,6,6
ADRA1D,1,2,2
ADRA2A,1,2,2
ADRA2B,1,1,1
ADRA2C,1,2,2
ADRB1,1,1,1
ADRB2,1,1,1
ADRB3,1,1,1
ADRBK1,1,20,20
ADRBK2,1,22,22
ADRM1,2,20,12
ADSL,1,13,13
ADSS,2,25,13
ADSSL1,1,14,14
ADTRP,1,7,7
AEBP1,2,43,22
AEBP2,1,8,8
AEN,3,11,5
AES,1,8,8
AFAP1,1,10,10
AFAP1L1,2,38,21
AFAP1L2,1,19,19
AFF1,1,21,21
AFF2,1,20,20
AFF3,1,20,20
AFF4,2,45,23
AFG3L2,1,17,17
AFMID,1,10,10
AFTPH,3,26,11
AGA,1,9,9
AGAP2,1,19,19
AGAP3,2,27,19
AGBL1,1,15,15
AGBL2,1,18,18
AGBL3,1,13,13
AGBL4,1,1,1
AGBL5,1,18,18
AGFG1,10,133,21
AGFG2,1,12,12
AGGF1,1,15,15
AGK,3,46,17
AGL,3,105,37
AGMAT,1,7,7
AGO4,1,17,17
AGPAT1,1,7,7
AGPAT2,2,13,8
AGPAT3,1,9,9
AGPAT4,1,10,10
AGPAT5,2,15,8
AGPS,1,20,20
AGR2,1,7,7
AGR3,1,7,7
AGRN,1,37,37
AGRP,1,4,4
AGT,1,4,4
AGTPBP1,2,52,27
AGTR1,1,1,1
AGTR2,1,2,2
AGTRAP,1,5,5
AGXT,1,11,11
AGXT2,1,14,14
AHCTF1,1,36,36
AHCY,1,10,10
AHCYL1,1,15,15
AHCYL2,1,17,17
AHDC1,3,10,6
AHI1,1,26,26
AHNAK2,1,5,5
AHR,1,11,11
AHRR,1,14,14
AHSA1,1,9,9
AHSG,1,8,8
AICDA,1,4,4
AIDA,2,21,12
AIF1,2,11,7
AIF1L,1,6,6
AIFM1,1,18,18
AIFM2,1,9,9
AIFM3,1,20,20
AIG1,1,6,6
AIM1L,1,19,19
AIMP1,3,24,10
AIMP2,2,8,5
AIP,1,6,6
AIRE,1,15,15
AJAP1,1,4,4
