transcript_id,num_exon
XM_010025063.3,5
XM_010025113.3,3
XM_010025201.3,3
XM_010025303.3,1
XM_010025339.3,2
XM_010025342.3,6
XM_010025394.3,8
XM_010025418.3,2
XM_010025419.2,4
XM_010025438.3,2
XM_010025546.2,1
XM_010025637.3,2
XM_010025668.3,1
XM_010025679.3,3
XM_010025726.3,7
XM_010025727.3,7
XM_010025728.3,7
XM_010025758.3,1
XM_010025769.3,5
XM_010025914.3,4
XM_010025987.2,1
XM_010026021.3,7
XM_010026113.3,3
XM_010026114.3,3
XM_010026115.3,3
XM_010026225.2,1
XM_010026230.3,2
XM_010026265.3,3
XM_010026337.3,6
XM_010026426.3,5
XM_010026451.3,2
XM_010026457.3,2
XM_010026458.3,2
XM_010026500.2,2
XM_010026502.3,3
XM_010026503.3,3
XM_010026512.3,2
XM_010026570.3,5
XM_010026612.3,1
XM_010026622.3,3
XM_010026623.3,2
XM_010026624.3,2
XM_010026629.3,2
XM_010026630.2,2
XM_010026679.3,2
XM_010026687.3,4
XM_010026747.3,7
XM_010026765.3,8
XM_010026842.3,2
XM_010026846.3,2
XM_010026952.3,5
XM_010027107.3,1
XM_010027169.3,3
XM_010027194.3,2
XM_010027207.3,3
XM_010027217.3,7
XM_010027240.3,2
XM_010027256.3,7
XM_010027257.3,8
XM_010027271.3,10
XM_010027318.3,4
XM_010027398.3,9
XM_010027505.2,2
XM_010027512.2,1
XM_010027526.1,1
XM_010027536.1,1
XM_010027541.2,4
XM_010027547.2,1
XM_010027554.2,6
XM_010027555.3,3
XM_010027557.2,2
XM_010027613.2,3
XM_010027645.2,3
XM_010027669.3,3
XM_010027670.1,1
XM_010027737.3,8
XM_010027741.2,1
XM_010027819.2,2
XM_010027830.2,1
XM_010027859.2,1
XM_010027860.2,3
XM_010027984.3,5
XM_010028035.3,7
XM_010028097.2,2
XM_010028163.2,3
XM_010028193.2,1
XM_010028217.2,2
XM_010028243.2,4
XM_010028288.3,1
XM_010028299.3,1
XM_010028344.2,2
XM_010028368.3,4
XM_010028375.2,5
XM_010028377.2,1
XM_010028388.3,1
XM_010028434.2,1
XM_010028444.3,1
XM_010028451.3,2
XM_010028453.2,1
XM_010028463.3,2
XM_010028526.2,3
XM_010028527.2,1
XM_010028529.2,1
XM_010028530.2,2
XM_010028534.3,1
XM_010028536.2,1
XM_010028537.2,1
XM_010028540.2,1
XM_010028541.2,1
XM_010028567.1,2
XM_010028574.2,1
XM_010028576.2,2
XM_010028587.3,5
XM_010028656.3,6
XM_010028773.1,1
XM_010028781.3,2
XM_010028792.2,2
XM_010028808.3,2
XM_010028819.2,6
XM_010028822.2,6
XM_010028832.3,2
XM_010028855.3,2
XM_010028860.1,1
XM_010028864.1,2
XM_010028871.3,6
XM_010028894.3,4
XM_010028895.3,4
XM_010028918.3,3
XM_010028989.1,2
XM_010029009.3,2
XM_010029013.3,2
XM_010029068.3,5
XM_010029069.2,1
XM_010029070.2,1
XM_010029177.3,3
XM_010029232.3,3
XM_010029339.3,3
XM_010029364.2,3
XM_010029409.3,2
XM_010029503.3,4
XM_010029605.3,6
XM_010029695.3,3
XM_010029725.3,3
XM_010029776.3,4
XM_010029781.3,3
XM_010029825.3,4
XM_010029827.3,4
XM_010029833.3,2
XM_010029896.3,3
XM_010029902.3,3
XM_010030008.3,3
XM_010030051.3,3
XM_010030087.3,2
XM_010030325.3,8
XM_010030326.3,8
XM_010030352.3,1
XM_010030436.3,2
XM_010030574.3,1
XM_010030613.3,6
XM_010030620.3,6
XM_010030621.3,3
XM_010030626.3,8
XM_010030678.3,11
XM_010030682.3,2
XM_010030733.3,1
XM_010030751.3,7
XM_010030752.3,7
XM_010030753.3,7
XM_010030754.3,7
XM_010030807.3,3
XM_010030890.3,4
XM_010030893.3,4
