gene_id,num_transcript,num_exon,num_uniq_exon
A1CF,5,60,19
A2ML1,1,36,36
A3GALT2,1,8,8
A4GALT,3,9,6
A4GNT,1,3,3
AAAS,3,47,19
AACS,4,66,21
AADAT,1,3,3
AAGAB,9,131,26
AAK1,19,390,29
AAMDC,1,4,4
AAMP,2,22,14
AANAT,1,7,7
AAR2,1,4,4
AARD,1,2,2
AARS1,3,63,23
AARS2,1,22,22
AASDH,6,76,20
AASDHPPT,3,20,11
AASS,7,169,34
AATF,3,36,14
AATK,11,138,24
ABAT,2,32,18
ABCA1,4,200,52
ABCA12,1,53,53
ABCA13,1,84,84
ABCA2,2,97,50
ABCA4,1,47,47
ABCA5,9,337,51
ABCA7,1,52,52
ABCB1,1,29,29
ABCB10,3,40,16
ABCB11,7,173,36
ABCB4,10,244,37
ABCB5,1,34,34
ABCB6,1,19,19
ABCB7,1,16,16
ABCB8,4,65,21
ABCB9,7,86,21
ABCC1,1,31,31
ABCC10,5,99,26
ABCC12,1,32,32
ABCC2,7,219,40
ABCC3,1,34,34
ABCC4,4,120,34
ABCC5,3,66,32
ABCC6,1,31,31
ABCC8,13,496,47
ABCC9,7,281,47
ABCD1,2,21,12
ABCD2,1,10,10
ABCD3,2,41,25
ABCD4,10,176,28
ABCE1,1,18,18
ABCF1,5,123,30
ABCF3,4,78,25
ABCG1,5,75,19
ABCG2,7,114,26
ABCG4,4,59,20
ABCG5,1,18,18
ABCG8,1,14,14
ABHD1,1,10,10
ABHD10,1,5,5
ABHD11,2,9,6
ABHD12,6,79,22
ABHD12B,1,3,3
ABHD13,2,5,4
ABHD15,2,4,3
ABHD16A,3,59,24
ABHD16B,1,5,5
ABHD17A,1,5,5
ABHD17B,3,12,7
ABHD17C,1,3,3
ABHD18,4,41,20
ABHD2,4,40,14
ABHD3,2,17,10
ABHD4,3,21,11
ABHD5,4,27,12
ABHD6,8,90,20
ABHD8,1,5,5
ABI1,18,186,18
ABI2,12,137,24
ABI3,5,39,14
ABI3BP,20,1235,73
ABITRAM,1,6,6
ABL1,2,22,12
ABL2,7,86,18
ABLIM1,11,230,29
ABLIM2,26,483,30
ABLIM3,11,239,27
ABO,1,9,9
ABRA,1,2,2
ABRACL,2,6,5
ABRAXAS1,4,39,13
ABRAXAS2,1,9,9
ABT1,1,3,3
ABTB1,4,48,17
ABTB2,2,34,20
ACAA1,1,12,12
ACAA2,1,10,10
ACACA,7,382,62
ACACB,3,158,55
ACAD10,3,61,23
ACAD11,2,39,21
ACAD8,6,65,18
ACAD9,3,50,20
ACADL,1,11,11
ACADM,1,12,12
ACADS,1,10,10
ACADSB,6,66,17
ACADVL,2,40,22
ACAN,1,19,19
ACAP1,2,44,25
ACAP2,4,94,27
ACAP3,3,62,27
ACAT1,1,12,12
ACAT2,1,9,9
ACBD3,1,8,8
ACBD4,8,81,21
ACBD5,6,82,20
ACBD6,4,34,15
ACBD7,1,4,4
ACCS,4,65,20
ACD,3,37,16
ACE,4,72,30
ACE2,1,20,20
ACER1,1,6,6
ACER2,4,23,11
ACER3,3,32,14
ACHE,2,9,7
ACIN1,4,68,23
ACKR1,3,10,6
ACKR2,7,16,10
ACKR3,5,12,8
ACKR4,1,2,2
ACLY,5,141,33
ACMSD,6,56,16
ACO1,1,20,20
ACO2,1,18,18
ACOD1,1,5,5
ACOT11,2,32,17
ACOT12,4,55,18
ACOT13,1,3,3
ACOT4,1,3,3
ACOT6,5,19,11
ACOT7,3,27,11
ACOT8,1,6,6
ACOT9,4,65,21
ACOX1,6,84,21
ACOX2,8,118,23
ACOXL,1,22,22
ACP1,3,17,10
ACP2,3,33,14
