gene_id,num_transcript,num_exon,num_uniq_exon
ABHD17A,1,5,5
AMELX,2,12,7
CD24,1,2,2
CHAC2,1,3,3
CLIP4,3,48,18
CPLX1,1,4,4
CPLX2,3,10,6
CUNH15orf65,1,3,3
CUNH2orf88,6,19,10
CUNH5orf58,1,3,3
CUNH7orf57,3,27,11
CYSTM1,3,9,7
DNAJC24,4,24,9
DYDC1,3,19,9
ELN,1,41,41
FAM126A,4,46,16
FAM174A,1,3,3
FAM207A,2,11,8
FAM71E1,1,5,5
FGL2,1,2,2
FOXS1,1,1,1
GEMIN7,3,7,5
GGPS1,3,12,6
GPR52,1,1,1
HMGN2,1,6,6
HOXA4,1,3,3
HOXB4,1,2,2
HYLS1,5,12,7
IL21,1,5,5
KCNS2,4,11,6
KIAA0040,2,4,3
LOC110069772,2,6,4
LOC110069796,1,3,3
LOC110069811,1,2,2
LOC110069813,1,3,3
LOC110069833,1,3,3
LOC110069834,1,4,4
LOC110069836,1,3,3
LOC110069839,1,3,3
LOC110069844,1,4,4
LOC110069851,1,3,3
LOC110069874,1,7,7
LOC110069875,1,3,3
LOC110069878,1,3,3
LOC110069888,3,11,5
LOC110069894,1,3,3
LOC110069905,1,3,3
LOC110069909,1,3,3
LOC110069910,1,3,3
LOC110069911,2,8,5
LOC110069912,1,3,3
LOC110069913,1,3,3
LOC110069922,1,4,4
LOC110069923,1,3,3
LOC110069933,2,6,4
LOC110069946,2,9,7
LOC110069957,1,2,2
LOC110069959,1,1,1
LOC110069971,1,3,3
LOC110069978,2,10,7
LOC110069982,2,6,4
LOC110070008,1,3,3
LOC110070011,1,3,3
LOC110070052,1,3,3
LOC110070053,1,3,3
LOC110070060,1,4,4
LOC110070072,1,3,3
LOC110070098,3,15,7
LOC110070101,1,4,4
LOC110070104,1,3,3
LOC110070106,1,2,2
LOC110070109,1,13,13
LOC110070135,1,2,2
LOC110070137,1,2,2
LOC110070138,1,2,2
LOC110070139,1,2,2
LOC110070141,1,4,4
LOC110070142,1,3,3
LOC110070164,2,6,5
LOC110070171,2,6,4
LOC110070172,1,2,2
LOC110070173,1,5,5
LOC110070174,1,3,3
LOC110070175,1,2,2
LOC110070176,1,2,2
LOC110070177,1,2,2
LOC110070188,1,3,3
LOC110070192,1,3,3
LOC110070195,3,17,9
LOC110070196,1,2,2
LOC110070217,1,4,4
LOC110070227,1,2,2
LOC110070233,1,2,2
LOC110070239,2,6,6
LOC110070240,1,3,3
LOC110070250,1,3,3
LOC110070257,1,3,3
LOC110070258,1,3,3
LOC110070259,2,7,5
LOC110070267,2,11,7
LOC110070285,1,2,2
LOC110070286,1,2,2
LOC110070300,2,7,5
LOC110070301,1,3,3
LOC110070306,1,2,2
LOC110070324,1,3,3
LOC110070343,1,3,3
LOC110070360,1,8,8
LOC110070361,1,3,3
LOC110070362,1,5,5
LOC110070363,1,5,5
LOC110070364,1,3,3
LOC110070365,1,3,3
LOC110070376,2,6,4
LOC110070377,1,3,3
LOC110070382,1,6,6
LOC110070387,1,3,3
LOC110070392,1,3,3
LOC110070395,1,2,2
LOC110070396,1,3,3
LOC110070397,1,3,3
LOC110070399,1,2,2
LOC110070402,1,3,3
LOC110070408,2,7,5
LOC110070419,2,12,7
LOC110070420,1,2,2
LOC110070421,1,2,2
LOC110070427,1,4,4
LOC110070429,1,4,4
LOC110070430,1,10,10
LOC110070434,1,2,2
LOC110070436,1,10,10
LOC110070445,1,5,5
LOC110070447,1,3,3
LOC110070459,1,2,2
LOC110070460,1,2,2
LOC110070461,1,2,2
LOC110070462,1,2,2
LOC110070463,1,2,2
LOC110070464,1,2,2
LOC110070469,4,14,6
LOC110070470,1,3,3
LOC110070474,1,2,2
LOC110070475,1,2,2
LOC110070476,1,2,2
LOC110070477,1,2,2
LOC110070478,1,2,2
LOC110070479,1,2,2
LOC110070483,1,2,2
LOC110070491,1,3,3
LOC110070492,1,5,5
LOC110070493,1,3,3
LOC110070494,1,3,3
LOC110070499,1,5,5
LOC110070503,1,2,2
LOC110070506,1,3,3
LOC110070515,1,2,2
LOC110070526,1,3,3
LOC110070533,1,4,4
LOC110070544,1,3,3
LOC110070551,4,13,7
LOC110070554,1,4,4
LOC110070557,1,3,3
LOC110070558,2,6,4
LOC110070564,1,4,4
LOC110070574,1,3,3
LOC110070581,1,6,6
LOC110070595,1,4,4
LOC110070596,1,3,3
LOC110070597,1,4,4
LOC110070605,1,2,2
LOC110070608,1,2,2
LOC110070609,1,3,3
LOC110070615,1,3,3
LOC110070617,1,3,3
LOC110070621,1,2,2
LOC110070622,1,2,2
LOC110070628,1,2,2
LOC110070631,1,2,2
LOC110070639,2,16,10
LOC110070649,2,8,6
LOC110070652,1,3,3
LOC110070664,1,4,4
LOC110070675,1,3,3
LOC110070680,1,3,3
LOC110070684,3,11,5
LOC110070685,1,3,3
LOC110070693,1,4,4
LOC110070697,1,2,2
LOC110070699,1,3,3
LOC110070700,1,3,3
LOC110070701,1,2,2
LOC110070709,1,5,5
LOC110070715,1,3,3
LOC110070716,1,4,4
LOC110070735,1,2,2
LOC110070736,1,3,3
LOC110070739,2,8,5
LOC110070741,1,2,2
LOC110070742,1,3,3
LOC110070744,1,3,3
LOC110070745,1,3,3
LOC110070748,1,3,3
LOC110070751,1,4,4
LOC110070755,1,3,3
LOC110070766,1,2,2
LOC110070777,1,2,2
LOC110070780,2,20,13
LOC110070781,1,3,3
LOC110070782,1,2,2
LOC110070789,1,3,3
LOC110070790,1,2,2
LOC110070801,2,6,4
LOC110070813,1,3,3
LOC110070814,1,3,3
LOC110070832,1,3,3
LOC110070835,1,4,4
LOC110070836,1,6,6
LOC110070839,1,2,2
LOC110070849,1,2,2
LOC110070850,1,2,2
LOC110070851,1,2,2
LOC110070855,1,3,3
LOC110070861,1,3,3
LOC110070865,3,14,7
LOC110070866,1,1,1
LOC110070867,1,2,2
LOC110070868,1,2,2
LOC110070869,1,2,2
LOC110070878,1,3,3
LOC110070895,1,3,3
LOC110070899,1,3,3
LOC110070914,1,3,3
LOC110070915,1,1,1
LOC110070916,1,2,2
LOC110070917,1,1,1
LOC110070921,1,3,3
LOC110070922,1,1,1
LOC110070929,1,4,4
LOC110070930,1,2,2
LOC110070933,1,4,4
LOC110070938,1,2,2
