gene_id,num_transcript,num_exon,num_uniq_exon
GH804_mgp01,1,5,5
GH804_mgp02,1,2,2
GH804_mgp03,1,1,1
GH804_mgp04,1,5,5
GH804_mgp05,1,1,1
GH804_mgp06,1,5,5
GH804_mgp07,1,1,1
GH804_mgp08,1,1,1
GH804_mgp09,1,1,1
GH804_mgp10,1,1,1
GH804_mgp11,1,1,1
GH804_mgp12,1,1,1
GH804_mgp13,1,1,1
GH804_mgp14,1,1,1
GH804_mgp15,1,1,1
GH804_mgp16,1,1,1
GH804_mgp17,1,1,1
GH804_mgp18,1,1,1
GH804_mgp19,1,1,1
GH804_mgp20,1,1,1
GH804_mgp21,1,1,1
GH804_mgp22,1,1,1
GH804_mgp23,1,1,1
GH804_mgp24,1,5,5
GH804_mgp25,1,2,2
GH804_mgp26,1,1,1
GH804_mgp27,1,1,1
GH804_mgp28,1,1,1
GH804_mgp29,1,1,1
GH804_mgp30,1,1,1
GH804_mgp31,1,1,1
GH804_mgp32,1,4,4
GH804_mgr01,1,1,1
GH804_mgr02,1,1,1
GH804_mgr03,1,1,1
GH804_mgt01,1,1,1
GH804_mgt02,1,1,1
GH804_mgt03,1,1,1
GH804_mgt04,1,1,1
GH804_mgt05,1,1,1
GH804_mgt06,1,1,1
GH804_mgt07,1,1,1
GH804_mgt08,1,1,1
GH804_mgt09,1,1,1
GH804_mgt10,1,1,1
GH804_mgt11,1,1,1
GH804_mgt12,1,1,1
GH804_mgt13,1,1,1
GH804_mgt14,1,1,1
GH804_mgt15,1,1,1
GH804_mgt16,1,1,1
GH804_mgt17,1,1,1
LOC110599593,2,10,7
LOC110599594,1,6,6
LOC110599595,3,40,18
LOC110599596,1,1,1
LOC110599597,3,39,17
LOC110599598,2,8,6
LOC110599599,1,1,1
LOC110599600,1,1,1
LOC110599601,2,24,14
LOC110599602,3,20,13
LOC110599603,1,2,2
LOC110599604,2,14,9
LOC110599605,2,8,6
LOC110599606,6,100,24
LOC110599607,1,7,7
LOC110599608,2,8,6
LOC110599609,1,3,3
LOC110599610,6,31,12
LOC110599611,1,2,2
LOC110599612,1,9,9
LOC110599613,1,3,3
LOC110599614,3,14,8
LOC110599615,1,18,18
LOC110599616,2,19,11
LOC110599617,1,1,1
LOC110599618,4,26,12
LOC110599619,2,8,5
LOC110599620,1,3,3
LOC110599622,1,4,4
LOC110599623,3,10,6
LOC110599624,1,4,4
LOC110599625,2,7,5
LOC110599628,4,104,29
LOC110599629,1,6,6
LOC110599630,1,9,9
LOC110599631,1,2,2
LOC110599632,3,23,11
LOC110599633,2,6,5
LOC110599634,1,11,11
LOC110599635,2,15,9
LOC110599636,3,24,10
LOC110599637,1,2,2
LOC110599638,3,17,10
LOC110599639,3,35,14
LOC110599640,1,1,1
LOC110599641,3,27,12
LOC110599642,1,8,8
LOC110599643,15,138,21
LOC110599644,2,4,3
LOC110599645,6,64,16
LOC110599646,5,113,30
LOC110599647,1,9,9
LOC110599648,8,63,14
LOC110599649,1,3,3
LOC110599650,1,4,4
LOC110599651,2,12,8
LOC110599652,1,3,3
LOC110599653,1,20,20
LOC110599654,1,3,3
LOC110599655,2,15,9
LOC110599656,1,1,1
LOC110599657,9,67,17
LOC110599658,1,3,3
LOC110599659,2,21,12
LOC110599660,3,74,29
LOC110599661,6,57,16
LOC110599662,1,2,2
LOC110599663,2,12,8
LOC110599664,4,38,13
LOC110599665,1,5,5
LOC110599666,5,33,13
LOC110599667,1,2,2
LOC110599668,3,43,19
LOC110599669,1,2,2
LOC110599670,1,7,7
LOC110599671,4,9,7
LOC110599672,7,40,13
LOC110599673,1,6,6
LOC110599674,4,24,7
LOC110599675,1,6,6
LOC110599676,2,10,8
LOC110599677,1,2,2
LOC110599678,1,4,4
LOC110599679,1,4,4
LOC110599680,1,3,3
LOC110599681,1,5,5
LOC110599682,1,9,9
LOC110599683,2,16,10
LOC110599684,1,3,3
LOC110599685,1,13,13
LOC110599686,1,3,3
LOC110599687,1,18,18
LOC110599688,3,16,8
LOC110599689,3,21,12
LOC110599690,9,61,16
LOC110599691,1,14,14
LOC110599692,1,6,6
LOC110599693,1,1,1
LOC110599694,2,12,8
LOC110599695,1,1,1
LOC110599697,1,6,6
LOC110599698,1,1,1
LOC110599699,3,15,8
LOC110599701,1,4,4
LOC110599702,1,11,11
LOC110599703,1,13,13
LOC110599704,1,1,1
LOC110599705,1,2,2
LOC110599706,1,5,5
LOC110599707,2,32,18
LOC110599708,2,22,12
LOC110599709,1,1,1
LOC110599710,3,9,5
LOC110599711,1,4,4
LOC110599712,1,17,17
LOC110599713,1,6,6
LOC110599714,4,18,9
LOC110599715,4,77,26
LOC110599716,1,3,3
LOC110599717,4,27,12
LOC110599718,1,7,7
LOC110599719,5,70,17
LOC110599720,1,7,7
LOC110599721,1,2,2
LOC110599722,4,18,9
LOC110599723,5,46,16
LOC110599724,1,1,1
LOC110599725,2,13,8
LOC110599726,2,4,4
LOC110599727,5,42,13
LOC110599728,1,2,2
LOC110599729,2,12,7
LOC110599730,1,8,8
LOC110599731,3,24,10
LOC110599732,1,1,1
LOC110599733,1,13,13
LOC110599734,2,19,11
LOC110599735,2,12,8
LOC110599736,2,16,10
LOC110599737,2,13,8
LOC110599738,1,2,2
LOC110599739,1,1,1
LOC110599741,3,65,27
LOC110599742,3,26,13
LOC110599743,1,2,2
LOC110599744,1,2,2
LOC110599745,10,218,34
LOC110599746,1,5,5
LOC110599747,1,2,2
LOC110599749,1,7,7
LOC110599750,1,3,3
LOC110599751,2,15,10
LOC110599752,4,52,16
LOC110599756,3,11,6
LOC110599758,1,7,7
LOC110599759,1,1,1
LOC110599761,7,103,22
LOC110599762,1,2,2
LOC110599764,1,1,1
LOC110599766,5,20,12
LOC110599767,2,4,3
LOC110599768,1,1,1
LOC110599769,2,12,7
LOC110599771,1,6,6
LOC110599772,1,4,4
LOC110599774,1,1,1
LOC110599775,1,3,3
LOC110599776,2,4,3
LOC110599777,1,4,4
LOC110599778,1,2,2
LOC110599779,1,7,7
LOC110599780,1,2,2
LOC110599782,1,2,2
LOC110599783,1,1,1
LOC110599785,1,5,5
LOC110599787,4,24,12
LOC110599788,1,5,5
LOC110599789,1,2,2
LOC110599790,4,28,10
LOC110599791,1,1,1
LOC110599793,1,1,1
LOC110599794,1,1,1
LOC110599795,1,1,1
LOC110599796,2,26,14
LOC110599797,1,1,1
LOC110599798,2,26,14
LOC110599799,1,4,4
LOC110599800,6,90,20
LOC110599801,1,4,4
LOC110599803,2,26,15
LOC110599804,4,38,13
LOC110599805,1,7,7
LOC110599806,3,14,7
LOC110599807,3,46,20
LOC110599808,1,1,1
LOC110599809,1,2,2
LOC110599810,4,46,16
LOC110599811,2,20,11
LOC110599812,1,1,1
LOC110599813,1,1,1
LOC110599814,2,20,12
LOC110599815,1,4,4
LOC110599816,2,16,9
LOC110599817,1,1,1
LOC110599818,1,10,10
LOC110599819,2,39,21
LOC110599820,2,9,7
LOC110599821,2,8,6
LOC110599822,1,1,1
LOC110599823,4,111,31
LOC110599825,1,3,3
LOC110599826,2,11,7
LOC110599827,3,21,13
LOC110599828,1,4,4
LOC110599829,1,1,1
LOC110599830,1,8,8
LOC110599831,3,76,31
LOC110599832,1,5,5
LOC110599836,12,45,14
LOC110599837,3,11,6
LOC110599838,1,4,4
LOC110599839,1,2,2
LOC110599840,1,2,2
LOC110599841,1,11,11
LOC110599842,1,6,6
LOC110599843,1,4,4
LOC110599844,1,3,3
LOC110599845,1,3,3
LOC110599846,2,38,21
LOC110599847,4,23,8
