species,commonName,group,database,taxid,link,filePrefix,num_transcript,num_gene,num_exon,num_uniqExon,min_transcriptPerGene,min_exonPerTranscript,min_exonPerGene,q1_transcriptPerGene,q1_exonPerTranscript,q1_exonPerGene,median_transcriptPerGene,median_exonPerTranscript,median_exonPerGene,q3_transcriptPerGene,q3_exonPerTranscript,q3_exonPerGene,max_transcriptPerGene,max_exonPerTranscript,max_exonPerGene,mean_transcriptPerGene,mean_exonPerTranscript,mean_exonPerGene,std_transcriptPerGene,std_exonPerTranscript,std_exonPerGene
Amborella_trichopoda,Amborella,Amborellales,refseq,13333_0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/471/905/GCF_000471905.2_AMTR1.0/GCF_000471905.2_AMTR1.0_genomic.gtf.gz,GCF_000471905.2_AMTR1.0_genomic.WG_filter,31465,15618,250646,122607,1,1,1,1,4,3,1,7,6,2,11,11,25,81,92,2.014662569,7.965866836,7.850877193,1.898925837,6.163711078,6.771831325
Arabidopsis_thaliana,thale cress,Brassicales,refseq,3702_0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/001/735/GCF_000001735.4_TAIR10.1/GCF_000001735.4_TAIR10.1_genomic.gtf.gz,GCF_000001735.4_TAIR10.1_genomic.WG_filter,45751,25491,299334,180002,1,1,1,1,3,2,1,5,5,2,9,10,27,79,81,1.794790318,6.542676663,7.062257267,1.388536096,5.670682776,6.545720537
Beta_vulgaris,beet,Caryophyllales,refseq,3555_0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/511/025/GCF_000511025.2_RefBeet-1.2.2/GCF_000511025.2_RefBeet-1.2.2_genomic.gtf.gz,GCF_000511025.2_RefBeet-1.2.2_genomic.WG_filter,30884,21795,198916,131917,1,1,1,1,2,2,1,5,4,1,9,8,39,79,92,1.417022253,6.440746017,6.052810278,1.096531208,5.825464349,5.814806659
Brassica_rapa,field mustard,Brassicales,refseq,3711_0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/309/985/GCF_000309985.2_CAAS_Brap_v3.01/GCF_000309985.2_CAAS_Brap_v3.01_genomic.gtf.gz,GCF_000309985.2_CAAS_Brap_v3.01_genomic.WG_filter,53939,35728,352141,230940,1,1,1,1,3,2,1,5,5,2,9,9,27,79,79,1.50971227,6.528504422,6.46817622,1.23650529,5.486588512,5.875276516
Camelina_sativa,false flax,Brassicales,refseq,90675_0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/633/955/GCF_000633955.1_Cs/GCF_000633955.1_Cs_genomic.gtf.gz,GCF_000633955.1_Cs_genomic.WG_filter,101645,76492,630107,457056,1,1,1,1,2,2,1,5,4,1,8,8,45,80,96,1.328831773,6.199094889,5.975775244,0.909466112,5.547342685,5.589059399
Capsicum_annuum,Capsicum,Solanales,refseq,4072_0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/710/875/GCF_000710875.1_Pepper_Zunla_1_Ref_v1.0/GCF_000710875.1_Pepper_Zunla_1_Ref_v1.0_genomic.gtf.gz,GCF_000710875.1_Pepper_Zunla_1_Ref_v1.0_genomic.WG_filter,43254,28023,276715,172245,1,1,1,1,3,2,1,5,4,2,9,8,28,78,78,1.543517825,6.397443011,6.146736609,1.386547417,5.400845684,5.72959235
Carica_papaya,papaya,Brassicales,refseq,3649_0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/150/535/GCF_000150535.2_Papaya1.0/GCF_000150535.2_Papaya1.0_genomic.gtf.gz,GCF_000150535.2_Papaya1.0_genomic.WG_filter,25742,16804,169671,112095,1,1,1,1,3,3,1,5,5,1,9,9,40,63,76,1.531897167,6.591212804,6.671744823,1.371527213,4.936791456,5.504437863
Chenopodium_quinoa,quinoa,Caryophyllales,refseq,63459_0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/683/475/GCF_001683475.1_ASM168347v1/GCF_001683475.1_ASM168347v1_genomic.gtf.gz,GCF_001683475.1_ASM168347v1_genomic.WG_filter,57707,43124,369623,259981,1,1,1,1,2,2,1,5,4,1,9,8,28,79,86,1.338164363,6.405167484,6.029218069,0.946981078,5.799312675,5.692820806
Cicer_arietinum,Garbonzo bean,Fabales,refseq,3827_0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/331/145/GCF_000331145.1_ASM33114v1/GCF_000331145.1_ASM33114v1_genomic.gtf.gz,GCF_000331145.1_ASM33114v1_genomic.WG_filter,34097,22507,239400,152888,1,1,1,1,3,2,1,5,5,2,10,9,27,78,84,1.514950904,7.021145555,6.7941085,1.241870732,5.841142955,6.040974677
Citrus_sinensis,Sweet Orange,Sapindales,refseq,2711_0,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/317/415/GCF_000317415.1_Csi_valencia_1.0/GCF_000317415.1_Csi_valencia_1.0_genomic.gtf.gz,GCF_000317415.1_Csi_valencia_1.0_genomic.WG_filter,37004,21231,269975,147103,1,1,1,1,3,2,1,6,5,2,10,10,30,79,88,1.742923084,7.295832883,6.929348594,1.607900803,6.147161847,6.426599307
