transcript_id,num_exon
FBtr0175659,1
FBtr0175667,2
FBtr0175669,1
FBtr0175670,3
FBtr0175673,2
FBtr0175674,1
FBtr0175675,4
FBtr0175677,1
FBtr0175685,2
FBtr0175687,2
FBtr0175688,1
FBtr0175694,1
FBtr0175695,4
FBtr0175696,7
FBtr0175697,3
FBtr0175698,2
FBtr0175699,2
FBtr0175700,1
FBtr0175701,3
FBtr0175702,2
FBtr0175703,6
FBtr0175704,4
FBtr0175705,4
FBtr0175708,1
FBtr0175709,9
FBtr0175710,5
FBtr0175711,2
FBtr0175712,1
FBtr0175713,1
FBtr0175714,1
FBtr0175715,3
FBtr0175716,3
FBtr0175717,7
FBtr0175719,3
FBtr0175720,4
FBtr0175721,2
FBtr0175722,2
FBtr0175723,7
FBtr0175724,7
FBtr0175725,5
FBtr0175726,1
FBtr0175727,1
FBtr0175728,3
FBtr0175729,8
FBtr0175730,4
FBtr0175731,1
FBtr0175732,3
FBtr0175733,3
FBtr0175734,5
FBtr0175735,2
FBtr0175736,5
FBtr0175737,6
FBtr0175738,10
FBtr0175739,6
FBtr0175741,3
FBtr0175742,10
FBtr0175743,11
FBtr0175744,4
FBtr0175745,2
FBtr0175746,6
FBtr0175747,15
FBtr0175748,3
FBtr0175749,14
FBtr0175750,3
FBtr0175751,2
FBtr0175752,5
FBtr0175754,3
FBtr0175755,8
FBtr0175757,10
FBtr0175758,10
FBtr0175759,3
FBtr0175760,3
FBtr0175761,3
FBtr0175762,3
FBtr0175763,3
FBtr0175764,4
FBtr0175765,3
FBtr0175766,6
FBtr0175767,2
FBtr0175768,1
FBtr0175770,4
FBtr0175771,2
FBtr0175772,1
FBtr0175773,3
FBtr0175774,1
FBtr0175775,8
FBtr0175776,5
FBtr0175777,4
FBtr0175778,4
FBtr0175779,6
FBtr0175780,2
FBtr0175781,4
FBtr0175782,4
FBtr0175783,2
FBtr0175784,3
FBtr0175785,11
FBtr0175786,9
FBtr0175787,9
FBtr0175788,7
FBtr0175789,2
FBtr0175791,3
FBtr0175792,4
FBtr0175793,6
FBtr0175794,3
FBtr0175795,3
FBtr0175796,6
FBtr0175797,4
FBtr0175798,4
FBtr0175799,4
FBtr0175800,2
FBtr0175801,5
FBtr0175803,1
FBtr0175804,5
FBtr0175805,5
FBtr0175806,2
FBtr0175807,6
FBtr0175808,11
FBtr0175809,3
FBtr0175810,5
FBtr0175811,5
FBtr0175812,9
FBtr0175813,2
FBtr0175814,10
FBtr0175815,6
FBtr0175816,1
FBtr0175817,7
FBtr0175818,6
FBtr0175819,9
FBtr0175820,14
FBtr0175822,1
FBtr0175823,4
FBtr0175824,3
FBtr0175825,4
FBtr0175826,3
FBtr0175827,3
FBtr0175828,7
FBtr0175829,5
FBtr0175830,4
FBtr0175831,2
FBtr0175832,1
FBtr0175833,1
FBtr0175834,3
FBtr0175836,6
FBtr0175837,4
FBtr0175838,9
FBtr0175839,11
FBtr0175840,7
FBtr0175841,2
FBtr0175842,3
FBtr0175843,3
FBtr0175844,1
FBtr0175845,3
FBtr0175846,4
FBtr0175847,2
FBtr0175848,3
FBtr0175849,2
FBtr0175850,4
FBtr0175851,4
FBtr0175852,7
FBtr0175853,3
FBtr0175854,2
FBtr0175856,3
FBtr0175857,5
FBtr0175858,8
FBtr0175859,3
FBtr0175860,4
FBtr0175861,15
FBtr0175863,2
FBtr0175864,3
FBtr0175865,4
FBtr0175866,1
FBtr0175867,2
FBtr0175868,1
FBtr0175869,3
FBtr0175870,4
FBtr0175871,3
FBtr0175873,4
FBtr0175874,1
FBtr0175875,1
FBtr0175881,2
FBtr0175883,7
FBtr0175887,1
FBtr0175888,14
FBtr0175890,5
FBtr0175892,2
FBtr0175893,1
FBtr0175894,5
FBtr0175895,2
FBtr0175898,1
FBtr0175900,8
FBtr0175901,3
FBtr0175903,1
FBtr0175904,3
FBtr0175907,3
FBtr0175908,3
FBtr0175909,2
FBtr0175910,5
FBtr0175911,4
FBtr0175912,4
FBtr0175913,3
FBtr0175915,1
FBtr0175918,8
FBtr0175919,2
FBtr0175920,1
FBtr0175921,1
FBtr0175922,1
FBtr0175923,1
FBtr0175924,18
FBtr0175925,9
FBtr0175926,3
FBtr0175927,9
FBtr0175928,1
FBtr0175929,2
FBtr0175930,2
FBtr0175931,3
FBtr0175933,7
FBtr0175934,5
FBtr0175935,2
FBtr0175936,1
FBtr0175937,4
FBtr0175938,7
FBtr0175939,3
FBtr0175941,8
FBtr0175942,3
FBtr0175943,2
FBtr0175944,4
FBtr0175948,4
FBtr0175949,7
FBtr0175950,2
FBtr0175952,2
FBtr0175953,2
FBtr0175954,1
FBtr0175955,3
FBtr0175957,16
FBtr0175958,3
FBtr0175959,1
FBtr0175960,2
FBtr0175961,2
FBtr0175962,9
FBtr0175963,5
FBtr0175964,3
FBtr0175965,4
FBtr0175966,2
FBtr0175967,1
FBtr0175969,4
FBtr0175970,1
FBtr0175971,5
FBtr0175973,2
FBtr0175974,2
FBtr0175976,2
FBtr0175977,2
FBtr0175978,7
FBtr0175981,2
FBtr0175982,4
FBtr0175984,2
FBtr0175985,2
FBtr0175986,1
FBtr0175987,2
FBtr0175988,2
FBtr0175989,2
FBtr0175990,2
FBtr0175991,1
FBtr0175994,3
FBtr0175995,5
FBtr0175996,5
FBtr0175997,3
FBtr0175998,1
FBtr0175999,6
FBtr0176000,4
FBtr0176001,4
FBtr0176002,3
FBtr0176003,2
FBtr0176004,3
FBtr0176005,10
FBtr0176006,6
FBtr0176007,2
FBtr0176008,3
FBtr0176011,7
FBtr0176012,6
FBtr0176013,3
FBtr0176014,2
FBtr0176015,3
FBtr0176017,12
FBtr0176018,4
FBtr0176019,2
FBtr0176020,7
FBtr0176021,2
FBtr0176022,5
FBtr0176023,1
FBtr0176024,3
FBtr0176025,2
FBtr0176026,5
FBtr0176027,5
FBtr0176029,2
FBtr0176030,2
FBtr0176031,6
FBtr0176032,6
FBtr0176033,5
FBtr0176034,2
FBtr0176035,7
FBtr0176036,4
FBtr0176038,2
FBtr0176039,4
FBtr0176040,3
FBtr0176041,5
FBtr0176042,7
FBtr0176043,4
FBtr0176044,4
FBtr0176045,1
FBtr0176046,2
FBtr0176047,2
FBtr0176048,6
FBtr0176049,8
FBtr0176050,37
FBtr0176051,8
FBtr0176052,8
FBtr0176053,2
FBtr0176054,2
FBtr0176055,5
FBtr0176057,5
FBtr0176058,3
FBtr0176059,2
FBtr0176060,9
FBtr0176061,5
FBtr0176063,10
FBtr0176064,4
FBtr0176065,3
FBtr0176066,9
FBtr0176067,8
FBtr0176068,6
FBtr0176069,1
FBtr0176071,4
FBtr0176072,4
FBtr0176073,17
FBtr0176074,1
FBtr0176075,13
FBtr0176078,3
FBtr0176080,1
FBtr0176081,3
FBtr0176082,4
FBtr0176084,1
FBtr0176085,5
FBtr0176090,6
FBtr0176091,1
FBtr0176092,4
FBtr0176093,10
FBtr0176095,2
FBtr0176097,3
FBtr0176098,5
FBtr0176099,5
FBtr0176100,1
FBtr0176101,3
FBtr0176102,9
FBtr0176103,3
FBtr0176104,2
FBtr0176105,19
FBtr0176106,2
FBtr0176107,2
FBtr0176108,2
FBtr0176109,3
FBtr0176110,1
FBtr0176111,4
FBtr0176112,5
FBtr0176113,1
FBtr0176114,1
FBtr0176115,1
FBtr0176116,1
FBtr0176117,5
FBtr0176118,5
FBtr0176120,3
FBtr0176121,3
FBtr0176122,2
FBtr0176123,7
FBtr0176124,2
FBtr0176125,4
FBtr0176126,2
FBtr0176127,6
FBtr0176128,3
FBtr0176129,1
FBtr0176130,1
FBtr0176131,7
FBtr0176132,4
FBtr0176134,13
FBtr0176135,2
FBtr0176136,2
FBtr0176137,9
FBtr0176138,3
FBtr0176139,1
FBtr0176140,3
FBtr0176141,6
FBtr0176142,6
FBtr0176143,2
FBtr0176144,2
FBtr0176145,2
FBtr0176146,16
FBtr0176147,1
FBtr0176148,1
FBtr0176149,2
FBtr0176151,4
FBtr0176152,4
FBtr0176153,3
FBtr0176154,2
FBtr0176155,2
FBtr0176156,2
FBtr0176157,3
FBtr0176158,3
FBtr0176159,2
FBtr0176160,2
FBtr0176161,6
FBtr0176162,2
FBtr0176163,5
FBtr0176165,1
FBtr0176166,6
FBtr0176168,9
FBtr0176169,2
FBtr0176170,4
FBtr0176171,6
FBtr0176172,5
FBtr0176173,3
FBtr0176174,1
FBtr0176175,3
FBtr0176176,7
FBtr0176177,2
FBtr0176178,1
FBtr0176182,8
FBtr0176183,1
FBtr0176184,1
FBtr0176185,2
FBtr0176186,1
FBtr0176187,3
FBtr0176188,9
FBtr0176189,3
FBtr0176190,3
FBtr0176192,1
FBtr0176193,2
FBtr0176194,3
FBtr0176195,4
FBtr0176197,4
FBtr0176198,2
FBtr0176199,12
FBtr0176200,6
FBtr0176201,4
FBtr0176202,3
FBtr0176203,7
FBtr0176204,1
FBtr0176205,2
FBtr0176206,2
FBtr0176209,5
FBtr0176211,1
FBtr0176212,7
FBtr0176213,5
FBtr0176214,1
FBtr0176215,2
FBtr0176216,8
FBtr0176217,2
FBtr0176218,3
FBtr0176219,2
FBtr0176220,15
FBtr0176221,8
FBtr0176222,4
FBtr0176223,1
FBtr0176224,2
FBtr0176225,4
FBtr0176226,4
FBtr0176227,3
FBtr0176228,5
FBtr0176229,1
FBtr0176230,1
FBtr0176231,2
FBtr0176233,5
FBtr0176234,7
FBtr0176236,3
FBtr0176237,2
FBtr0176238,5
FBtr0176239,2
FBtr0176240,2
FBtr0176241,3
FBtr0176242,2
FBtr0176243,3
FBtr0176244,5
FBtr0176245,13
FBtr0176247,3
FBtr0176248,3
FBtr0176250,2
FBtr0176252,11
FBtr0176253,1
FBtr0176254,3
FBtr0176255,6
FBtr0176256,5
FBtr0176257,4
FBtr0176258,6
FBtr0176259,2
FBtr0176260,4
FBtr0176261,6
FBtr0176262,1
FBtr0176263,2
FBtr0176264,4
FBtr0176266,4
FBtr0176267,7
FBtr0176268,3
FBtr0176269,7
FBtr0176270,2
FBtr0176271,10
FBtr0176273,24
FBtr0176274,2
FBtr0176276,1
FBtr0176277,4
FBtr0176278,1
FBtr0176279,6
FBtr0176280,3
FBtr0176281,2
FBtr0176282,4
FBtr0176283,5
FBtr0176287,2
FBtr0176288,9
FBtr0176289,6
FBtr0176290,3
FBtr0176291,17
FBtr0176292,4
FBtr0176293,1
FBtr0176295,3
FBtr0176296,6
FBtr0176297,5
FBtr0176298,1
FBtr0176299,2
FBtr0176300,4
FBtr0176301,5
FBtr0176302,8
FBtr0176303,4
FBtr0176304,5
FBtr0176305,3
FBtr0176306,11
FBtr0176307,1
FBtr0176308,2
FBtr0176309,1
FBtr0176311,4
FBtr0176312,1
FBtr0176313,6
FBtr0176314,9
FBtr0176315,11
FBtr0176316,7
FBtr0176317,6
FBtr0176318,4
FBtr0176320,2
FBtr0176322,8
FBtr0176323,18
FBtr0176324,3
FBtr0176325,6
FBtr0176326,17
FBtr0176327,1
FBtr0176328,4
FBtr0176329,2
FBtr0176330,4
FBtr0176331,2
FBtr0176332,2
FBtr0176333,2
FBtr0176334,6
FBtr0176335,1
FBtr0176336,1
FBtr0176337,1
FBtr0176338,2
FBtr0176339,3
FBtr0176340,3
FBtr0176341,2
FBtr0176342,2
FBtr0176344,1
FBtr0176345,11
FBtr0176346,4
FBtr0176347,1
FBtr0176348,1
FBtr0176350,4
FBtr0176351,9
FBtr0176353,2
FBtr0176354,3
FBtr0176355,1
FBtr0176356,2
FBtr0176358,3
FBtr0176359,1
FBtr0176361,13
FBtr0176362,2
FBtr0176363,8
FBtr0176364,7
FBtr0176365,4
FBtr0176366,1
FBtr0176367,1
FBtr0176368,1
FBtr0176369,2
FBtr0176370,4
FBtr0176371,3
FBtr0176372,5
FBtr0176373,2
FBtr0176374,1
FBtr0176375,4
FBtr0176378,4
FBtr0176379,6
FBtr0176380,5
FBtr0176381,4
FBtr0176382,2
FBtr0176383,6
FBtr0176384,6
FBtr0176385,6
FBtr0176386,8
FBtr0176387,1
FBtr0176388,4
FBtr0176389,3
FBtr0176390,3
FBtr0176391,2
FBtr0176392,3
FBtr0176394,4
FBtr0176395,3
FBtr0176398,1
FBtr0176400,5
FBtr0176401,5
FBtr0176402,6
FBtr0176404,2
FBtr0176405,1
FBtr0176406,2
FBtr0176407,1
FBtr0176408,1
FBtr0176409,10
FBtr0176410,4
FBtr0176411,1
FBtr0176412,7
FBtr0176413,2
FBtr0176414,1
FBtr0176415,2
FBtr0176416,8
FBtr0176417,2
FBtr0176418,2
FBtr0176419,2
FBtr0176420,1
FBtr0176421,1
FBtr0176422,3
FBtr0176423,3
FBtr0176424,2
FBtr0176425,1
FBtr0176426,4
FBtr0176427,4
FBtr0176428,1
FBtr0176429,4
FBtr0176430,2
FBtr0176431,2
FBtr0176432,7
FBtr0176433,6
FBtr0176435,6
FBtr0176436,6
FBtr0176437,2
FBtr0176438,11
FBtr0176439,1
FBtr0176440,2
FBtr0176441,3
FBtr0176442,2
FBtr0176443,3
FBtr0176444,2
FBtr0176445,2
FBtr0176446,8
FBtr0176447,2
FBtr0176449,3
FBtr0176451,6
FBtr0176452,4
FBtr0176453,4
FBtr0176454,12
FBtr0176455,1
FBtr0176456,6
FBtr0176457,2
FBtr0176458,4
FBtr0176460,6
FBtr0176461,12
FBtr0176462,4
FBtr0176463,6
FBtr0176464,5
FBtr0176467,2
FBtr0176468,1
FBtr0176470,2
FBtr0176471,1
FBtr0176472,2
FBtr0176473,18
FBtr0176474,3
FBtr0176475,4
FBtr0176476,3
FBtr0176477,9
FBtr0176478,2
FBtr0176479,2
FBtr0176480,5
FBtr0176481,1
FBtr0176482,2
FBtr0176483,1
FBtr0176484,1
FBtr0176485,2
FBtr0176486,1
FBtr0176487,1
FBtr0176489,4
FBtr0176490,4
FBtr0176491,1
FBtr0176492,1
FBtr0176493,4
FBtr0176494,1
FBtr0176495,1
FBtr0176496,3
FBtr0176499,2
FBtr0176500,6
FBtr0176501,13
FBtr0176502,6
FBtr0176503,5
FBtr0176504,1
FBtr0176505,3
FBtr0176506,3
FBtr0176507,3
FBtr0176508,2
FBtr0176509,3
FBtr0176510,3
FBtr0176511,2
FBtr0176513,5
FBtr0176514,5
FBtr0176515,6
FBtr0176516,3
FBtr0176517,1
FBtr0176518,4
FBtr0176519,11
FBtr0176521,2
FBtr0176522,2
FBtr0176523,3
FBtr0176524,5
FBtr0176525,2
FBtr0176526,6
FBtr0176527,4
FBtr0176529,4
FBtr0176530,3
FBtr0176531,9
FBtr0176532,5
FBtr0176534,2
FBtr0176535,2
FBtr0176536,1
FBtr0176537,3
FBtr0176538,3
FBtr0176539,4
FBtr0176540,2
FBtr0176541,1
FBtr0176542,6
FBtr0176543,5
FBtr0176544,10
FBtr0176545,4
FBtr0176546,11
FBtr0176547,2
FBtr0176548,2
FBtr0176549,3
FBtr0176550,7
FBtr0176552,8
FBtr0176554,9
FBtr0176555,4
FBtr0176556,24
FBtr0176557,5
FBtr0176558,1
FBtr0176559,3
FBtr0176560,7
FBtr0176562,3
FBtr0176563,3
FBtr0176564,4
FBtr0176565,3
FBtr0176566,4
FBtr0176567,4
FBtr0176568,1
FBtr0176569,5
FBtr0176570,6
FBtr0176571,4
FBtr0176572,3
FBtr0176573,4
FBtr0176574,2
FBtr0176575,2
FBtr0176577,3
FBtr0176578,9
FBtr0176579,3
FBtr0176580,3
FBtr0176581,6
FBtr0176582,6
FBtr0176584,3
FBtr0176585,3
FBtr0176586,1
FBtr0176587,4
FBtr0176588,2
FBtr0176589,2
FBtr0176590,16
FBtr0176591,1
FBtr0176592,4
FBtr0176593,11
FBtr0176595,2
FBtr0176596,11
FBtr0176597,2
FBtr0176598,2
FBtr0176599,1
FBtr0176600,6
FBtr0176601,3
FBtr0176603,7
FBtr0176604,3
FBtr0176606,2
FBtr0176607,3
FBtr0176608,2
FBtr0176609,1
FBtr0176612,2
FBtr0176613,2
FBtr0176614,2
FBtr0176615,4
FBtr0176616,4
FBtr0176617,3
FBtr0176618,1
FBtr0176619,2
FBtr0176621,3
FBtr0176622,4
FBtr0176623,2
FBtr0176624,2
FBtr0176625,2
FBtr0176626,2
FBtr0176627,4
FBtr0176628,1
FBtr0176629,2
FBtr0176630,24
FBtr0176631,4
FBtr0176632,7
FBtr0176633,1
FBtr0176634,6
FBtr0176635,2
FBtr0176636,6
FBtr0176637,8
FBtr0176638,3
FBtr0176639,4
FBtr0176640,2
FBtr0176641,14
FBtr0176642,4
FBtr0176643,2
FBtr0176645,1
FBtr0176646,4
FBtr0176647,2
FBtr0176648,1
FBtr0176649,1
FBtr0176650,10
FBtr0176651,1
FBtr0176652,4
FBtr0176653,3
FBtr0176654,5
FBtr0176655,9
FBtr0176656,2
FBtr0176657,4
FBtr0176658,2
FBtr0176659,2
FBtr0176661,4
FBtr0176662,2
FBtr0176663,1
FBtr0176664,4
FBtr0176665,8
FBtr0176666,3
FBtr0176667,1
FBtr0176668,3
FBtr0176669,2
FBtr0176670,1
FBtr0176671,3
FBtr0176672,7
FBtr0176673,1
FBtr0176674,2
FBtr0176675,6
FBtr0176677,6
FBtr0176678,6
FBtr0176680,2
FBtr0176681,2
FBtr0176682,3
FBtr0176683,3
FBtr0176684,5
FBtr0176685,3
FBtr0176686,3
FBtr0176687,2
FBtr0176688,12
FBtr0176689,2
FBtr0176690,6
FBtr0176691,7
FBtr0176692,7
FBtr0176693,1
FBtr0176694,3
FBtr0176695,3
FBtr0176696,2
FBtr0176697,1
FBtr0176698,3
FBtr0176699,9
FBtr0176702,9
FBtr0176704,4
FBtr0176705,1
FBtr0176706,2
FBtr0176707,5
FBtr0176709,4
FBtr0176710,2
FBtr0176712,2
FBtr0176713,1
FBtr0176714,2
FBtr0176715,2
FBtr0176716,1
FBtr0176717,3
FBtr0176718,11
FBtr0176719,5
FBtr0176720,3
FBtr0176721,1
FBtr0176722,3
FBtr0176723,3
FBtr0176724,2
FBtr0176725,3
FBtr0176726,4
FBtr0176727,1
FBtr0176728,4
FBtr0176730,1
FBtr0176731,4
FBtr0176732,7
FBtr0176733,4
FBtr0176734,8
FBtr0176735,3
FBtr0176736,1
FBtr0176737,4
FBtr0176738,4
FBtr0176739,6
FBtr0176740,3
FBtr0176741,3
FBtr0176742,6
FBtr0176743,3
FBtr0176744,3
FBtr0176745,6
FBtr0176746,5
FBtr0176747,1
FBtr0176748,5
FBtr0176749,2
FBtr0176750,3
FBtr0176751,5
FBtr0176752,2
FBtr0176753,5
FBtr0176754,5
FBtr0176755,5
FBtr0176756,5
FBtr0176757,4
FBtr0176758,4
FBtr0176759,4
FBtr0176760,5
FBtr0176761,5
FBtr0176762,4
FBtr0176763,5
FBtr0176764,5
FBtr0176765,5
FBtr0176766,3
FBtr0176767,1
FBtr0176768,4
FBtr0176770,2
FBtr0176771,4
FBtr0176772,7
FBtr0176773,1
FBtr0176774,9
FBtr0176775,8
FBtr0176776,5
FBtr0176777,7
FBtr0176778,3
FBtr0176779,8
FBtr0176780,6
FBtr0176781,2
FBtr0176782,2
FBtr0176783,18
FBtr0176784,2
FBtr0176785,3
FBtr0176786,3
FBtr0176787,5
FBtr0176788,4
FBtr0176789,7
FBtr0176790,1
FBtr0176791,9
FBtr0176792,6
FBtr0176793,20
FBtr0176794,5
FBtr0176795,3
FBtr0176796,8
FBtr0176797,8
FBtr0176798,1
FBtr0176800,5
FBtr0176801,5
FBtr0176803,4
FBtr0176804,3
FBtr0176805,1
FBtr0176806,1
FBtr0176807,2
FBtr0176808,2
FBtr0176809,3
FBtr0176810,6
FBtr0176811,1
FBtr0176813,3
FBtr0176814,18
FBtr0176815,4
FBtr0176816,3
FBtr0176817,8
FBtr0176818,3
FBtr0176819,6
FBtr0176820,4
FBtr0176821,5
FBtr0176822,5
FBtr0176823,2
FBtr0176824,1
FBtr0176825,21
FBtr0176826,1
FBtr0176827,3
FBtr0176828,1
FBtr0176829,9
FBtr0176832,1
FBtr0176833,10
FBtr0176834,2
FBtr0176835,5
FBtr0176836,5
FBtr0176837,5
FBtr0176838,3
FBtr0176839,5
FBtr0176840,6
FBtr0176841,3
FBtr0176842,4
