transcript_id,num_exon
LOC100683093,3
LOC100683694,7
LOC100683976,2
LOC100684313,2
LOC100684669,2
LOC100684770,2
LOC100684814,2
LOC100685288,3
LOC100685971,8
LOC100686224,2
LOC100687929,2
LOC100688735,2
LOC100688887,2
LOC100855534,2
LOC100855594,2
LOC100855630,2
LOC100855788,2
LOC100856335,3
LOC102151601,2
LOC102152388,2
LOC102152421,5
LOC102152593,2
LOC102152690,2
LOC102153768,2
LOC102153980,5
LOC102154361,4
LOC102154760,8
LOC102154846,4
LOC102155377,1
LOC102155461,2
LOC102155496,5
LOC102155687,3
LOC102155737,2
LOC102155755,2
LOC102155809,2
LOC102155892,2
LOC102156003,2
LOC102156049,3
LOC102156126,2
LOC102156148,2
LOC102156216,3
LOC102156278,2
LOC102156499,2
LOC102156546,3
LOC102156569,2
LOC102156631,2
LOC102156738,2
LOC102156776,2
LOC102156821,2
LOC102156901,2
LOC102156951,2
LOC102157093,2
LOC102157186,2
LOC106557516,9
LOC106557812,2
LOC106557842,2
LOC106557859,2
LOC106558538,2
LOC106559086,2
LOC106559087,2
LOC106559089,2
LOC106559090,2
LOC106559093,2
LOC106559094,2
LOC106559095,2
LOC106559110,3
LOC106559111,4
LOC106559114,2
LOC106559115,3
LOC106559116,2
LOC106559118,2
LOC106559121,2
LOC106559141,2
LOC106559209,2
LOC106559210,2
LOC106559212,3
LOC106559214,2
LOC111090014,2
LOC111090015,2
LOC111090222,2
LOC111090223,2
LOC111090224,2
LOC111090225,2
LOC111090226,2
LOC111090400,3
LOC111090434,2
LOC111090884,2
LOC111092538,2
LOC111092542,3
LOC111092571,2
LOC111092607,2
LOC111092612,2
LOC111092613,2
LOC111092614,2
LOC111092615,3
LOC111092616,2
LOC111092618,2
LOC111092688,2
LOC111092689,2
LOC111092691,2
LOC111092692,3
LOC111092693,3
LOC111092694,3
LOC111092695,2
LOC111092696,3
LOC111095032,2
LOC111095041,2
LOC111096952,1
LOC111097178,2
LOC111097179,2
LOC111097180,2
LOC111097181,2
LOC111097182,2
LOC111097183,2
LOC111097255,2
LOC475754,4
LOC480788,7
LOC483070,2
LOC483071,2
LOC483072,2
LOC486372,2
LOC486373,3
LOC486374,2
LOC486377,2
LOC486380,3
LOC486474,2
LOC490893,2
LOC490895,2
LOC491363,2
LOC491391,1
LOC491433,2
LOC491494,2
LOC491543,2
LOC491686,2
LOC606893,2
LOC606912,2
LOC606953,2
LOC607270,2
LOC607467,2
LOC607491,4
LOC607569,4
LOC607582,2
LOC607750,2
LOC607996,2
LOC608238,2
LOC608248,3
LOC608320,2
LOC608379,2
LOC608854,2
LOC609004,2
LOC609263,8
LOC609298,7
LOC609845,2
LOC609861,3
LOC610282,2
LOC611898,2
LOC611902,1
LOC611906,2
LOC612054,2
LOC612057,2
LOC612106,2
LOC612115,2
LOC612122,2
LOC612167,2
LOC612168,2
LOC612173,4
LOC612177,2
MIR1-1,1
MIR1-2,1
MIR101-1,1
MIR101-2,1
MIR103-1,1
MIR103-2,1
MIR105A,1
MIR105B,1
MIR106A,1
MIR106B,1
MIR107,1
MIR10A,1
MIR10B,1
MIR1185,1
MIR1199,1
MIR1199_1,1
MIR122,1
MIR124-1,1
MIR124-2,1
MIR124-3,1
MIR1249,1
MIR125A,1
MIR125B-1,1
MIR125B-2,1
MIR126,1
MIR127,1
MIR1271,1
MIR128-1,1
MIR128-2,1
MIR129-1,1
MIR129-2,1
MIR1296,1
MIR1301,1
MIR1306,1
MIR1307,1
MIR130A,1
MIR130B,1
MIR132,1
MIR133A,1
MIR133B,1
MIR133C,1
MIR134,1
MIR1343,1
MIR135A-1,1
