transcript_id,num_exon
XM_018843609.1,1
XM_018843654.1,1
XM_018843655.1,1
XM_018843656.1,1
XM_018843665.1,1
XM_018843666.1,2
XM_018843682.1,2
XM_018843691.1,2
XM_018843693.1,4
XM_018843705.1,1
XM_018843726.1,1
XM_018843742.1,2
XM_018843778.1,1
XM_018843831.1,1
XM_018843834.1,1
XM_018843844.1,1
XM_018843856.1,1
XM_018843895.1,1
XM_018843903.1,1
XM_018843908.1,2
XM_018843989.1,2
XM_018844037.1,2
XM_018844056.1,3
XM_018844061.1,4
XM_018844075.1,6
XM_018844077.1,1
XM_018844112.1,2
XM_018844113.1,2
XM_018844125.1,2
XM_018844195.1,2
XM_018844200.1,2
XM_018844205.1,1
XM_018844210.1,1
XM_018844216.1,3
XM_018844217.1,1
XM_018844277.1,2
XM_018844331.1,2
XM_018844338.1,1
XM_018844339.1,4
XM_018844363.1,1
XM_018844515.1,1
XM_018844539.1,1
XM_018844585.1,3
XM_018844602.1,2
XM_018844616.1,1
XM_018844622.1,1
XM_018844663.1,1
XM_018844698.1,2
XM_018844714.1,3
XM_018844718.1,1
XM_018844720.1,2
XM_018844730.1,2
XM_018844732.1,2
XM_018844744.1,2
XM_018844749.1,4
XM_018844763.1,4
XM_018844764.1,1
XM_018844788.1,3
XM_018844850.1,2
XM_018844873.1,1
XM_018844875.1,2
XM_018844877.1,2
XM_018844885.1,3
XM_018844886.1,1
XM_018844924.1,2
XM_018844976.1,2
XM_018845019.1,2
XM_018845021.1,1
XM_018845026.1,1
XM_018845030.1,2
XM_018845038.1,2
XM_018845043.1,1
XM_018845054.1,4
XM_018845101.1,2
XM_018845103.1,1
XM_018845147.1,1
XM_018845178.1,1
XM_018845225.1,1
XM_018845254.1,2
XM_018845270.1,1
XM_018845293.1,1
XM_018845303.1,3
XM_018845307.1,2
XM_018845309.1,1
XM_018845326.1,2
XM_018845327.1,2
XM_018845339.1,1
XM_018845342.1,2
XM_018845358.1,1
XM_018845364.1,1
XM_018845373.1,2
XM_018845378.1,2
XM_018845379.1,1
XM_018845406.1,1
XM_018845410.1,3
XM_018845421.1,1
XM_018845440.1,2
XM_018845456.1,2
XM_018845460.1,2
XM_018845485.1,1
XM_018845497.1,1
XM_018845533.1,1
XM_018845565.1,2
XM_018845568.1,2
XM_018845605.1,4
XM_018845616.1,1
XM_018845712.1,1
XM_018845713.1,1
XM_018845720.1,1
XM_018845736.1,2
XM_018845739.1,1
XM_018845802.1,1
XM_018845855.1,1
XM_018845856.1,2
XM_018845876.1,2
XM_018845883.1,1
XM_018845884.1,1
XM_018845885.1,1
XM_018845895.1,2
XM_018845905.1,2
XM_018845928.1,2
XM_018845929.1,2
XM_018845934.1,2
XM_018845940.1,1
XM_018845941.1,2
XM_018845953.1,1
XM_018845971.1,1
XM_018846128.1,3
XM_018846152.1,1
XM_018846188.1,2
XM_018846191.1,1
XM_018846197.1,1
XM_018846198.1,1
XM_018846240.1,4
XM_018846290.1,1
XM_018846299.1,2
XM_018846345.1,1
XM_018846353.1,3
XM_018846394.1,2
XM_018846440.1,1
XM_018846445.1,1
XM_018846463.1,2
XM_018846486.1,1
XM_018846506.1,4
XM_018846526.1,2
XM_018846529.1,1
XM_018846530.1,2
XM_018846533.1,2
XM_018846537.1,1
XM_018846567.1,1
XM_018846627.1,2
XM_018846629.1,2
XM_018846683.1,2
XM_018846712.1,2
XM_018846717.1,2
XM_018846718.1,3
XM_018846735.1,1
XM_018846742.1,2
XM_018846768.1,1
XM_018846798.1,3
XM_018846848.1,1
XM_018846854.1,1
XM_018846865.1,1
