transcript_id,num_exon
XM_008090686.1,1
XM_008090690.1,2
XM_008090713.1,2
XM_008090722.1,1
XM_008090724.1,1
XM_008090725.1,1
XM_008090751.1,2
XM_008090753.1,1
XM_008090761.1,1
XM_008090812.1,1
XM_008090817.1,1
XM_008090829.1,1
XM_008090855.1,2
XM_008090882.1,2
XM_008090884.1,1
XM_008090885.1,1
XM_008090907.1,1
XM_008090923.1,1
XM_008090942.1,2
XM_008090950.1,1
XM_008090961.1,2
XM_008090964.1,3
XM_008090967.1,2
XM_008090980.1,2
XM_008091004.1,2
XM_008091027.1,1
XM_008091035.1,3
XM_008091047.1,3
XM_008091051.1,2
XM_008091053.1,1
XM_008091054.1,1
XM_008091070.1,1
XM_008091087.1,1
XM_008091103.1,1
XM_008091105.1,1
XM_008091119.1,1
XM_008091131.1,2
XM_008091133.1,2
XM_008091134.1,1
XM_008091135.1,1
XM_008091137.1,1
XM_008091138.1,4
XM_008091144.1,4
XM_008091160.1,2
XM_008091177.1,2
XM_008091201.1,1
XM_008091221.1,2
XM_008091227.1,4
XM_008091229.1,1
XM_008091249.1,3
XM_008091331.1,1
XM_008091336.1,3
XM_008091346.1,1
XM_008091357.1,2
XM_008091375.1,1
XM_008091376.1,2
XM_008091389.1,2
XM_008091424.1,1
XM_008091426.1,2
XM_008091428.1,1
XM_008091429.1,2
XM_008091443.1,2
XM_008091447.1,1
XM_008091469.1,1
XM_008091487.1,2
XM_008091488.1,2
XM_008091518.1,2
XM_008091523.1,2
XM_008091541.1,1
XM_008091572.1,1
XM_008091596.1,2
XM_008091631.1,2
XM_008091632.1,1
XM_008091640.1,2
XM_008091646.1,1
XM_008091647.1,1
XM_008091688.1,1
XM_008091697.1,1
XM_008091710.1,1
XM_008091716.1,7
XM_008091724.1,2
XM_008091725.1,2
XM_008091726.1,2
XM_008091767.1,2
XM_008091787.1,1
XM_008091808.1,1
XM_008091825.1,1
XM_008091843.1,2
XM_008091849.1,2
XM_008091851.1,3
XM_008091856.1,2
XM_008091863.1,1
XM_008091866.1,1
XM_008091867.1,2
XM_008091868.1,2
XM_008091869.1,1
XM_008091870.1,2
XM_008091871.1,3
XM_008091873.1,1
XM_008091874.1,2
XM_008091875.1,2
XM_008091879.1,1
XM_008091884.1,1
XM_008091897.1,2
XM_008091902.1,1
XM_008091903.1,1
XM_008091922.1,2
XM_008091953.1,2
XM_008091977.1,1
XM_008091992.1,2
XM_008092011.1,1
XM_008092032.1,2
XM_008092061.1,1
XM_008092102.1,1
XM_008092106.1,4
XM_008092143.1,2
XM_008092144.1,2
XM_008092214.1,2
XM_008092221.1,1
XM_008092227.1,1
XM_008092240.1,2
XM_008092250.1,2
XM_008092286.1,1
XM_008092287.1,3
XM_008092292.1,3
XM_008092302.1,1
XM_008092318.1,1
XM_008092323.1,2
XM_008092324.1,2
XM_008092345.1,2
XM_008092362.1,2
XM_008092369.1,2
XM_008092378.1,2
XM_008092383.1,2
XM_008092387.1,3
XM_008092388.1,1
XM_008092390.1,1
XM_008092397.1,1
XM_008092399.1,1
XM_008092402.1,2
XM_008092408.1,2
XM_008092412.1,2
XM_008092425.1,2
XM_008092438.1,1
XM_008092467.1,1
XM_008092468.1,3
XM_008092474.1,1
XM_008092510.1,2
XM_008092516.1,2
XM_008092541.1,1
XM_008092545.1,1
XM_008092547.1,1
XM_008092549.1,3
XM_008092563.1,1
XM_008092571.1,1
XM_008092574.1,2
XM_008092584.1,2
XM_008092604.1,1
XM_008092606.1,1
XM_008092615.1,1
XM_008092618.1,1
XM_008092650.1,1
XM_008092654.1,4
XM_008092660.1,1
XM_008092672.1,2
XM_008092675.1,1
XM_008092676.1,1
XM_008092701.1,6
XM_008092714.1,1
XM_008092715.1,2
XM_008092716.1,3
XM_008092717.1,2
XM_008092718.1,1
XM_008092719.1,2
XM_008092724.1,1
XM_008092759.1,2
XM_008092771.1,2
XM_008092788.1,1
XM_008092797.1,2
XM_008092798.1,2
XM_008092799.1,2
XM_008092805.1,1
XM_008092806.1,1
XM_008092829.1,1
XM_008092841.1,1
XM_008092846.1,1
XM_008092850.1,1
XM_008092854.1,1
XM_008092862.1,1
XM_008092907.1,2
XM_008092940.1,1
XM_008092980.1,1
XM_008092999.1,1
XM_008093001.1,2
XM_008093003.1,1
XM_008093012.1,2
XM_008093030.1,1
XM_008093034.1,1
XM_008093040.1,1
XM_008093042.1,2
XM_008093057.1,1
XM_008093062.1,2
XM_008093063.1,2
XM_008093064.1,2
XM_008093065.1,1
XM_008093066.1,5
XM_008093085.1,1
XM_008093089.1,1
XM_008093092.1,1
XM_008093103.1,3
XM_008093111.1,1
XM_008093115.1,1
XM_008093123.1,1
XM_008093140.1,4
XM_008093182.1,2
XM_008093185.1,2
XM_008093204.1,1
XM_008093205.1,2
XM_008093206.1,1
XM_008093218.1,1
XM_008093263.1,1
XM_008093278.1,1
XM_008093298.1,3
XM_008093324.1,2
XM_008093365.1,2
XM_008093419.1,1
XM_008093424.1,1
XM_008093431.1,3
XM_008093485.1,1
XM_008093492.1,1
XM_008093500.1,4
XM_008093527.1,1
XM_008093529.1,1
XM_008093571.1,1
XM_008093574.1,1
XM_008093575.1,2
XM_008093576.1,2
XM_008093577.1,2
XM_008093603.1,1
XM_008093658.1,2
XM_008093676.1,2
XM_008093712.1,1
XM_008093713.1,2
XM_008093725.1,3
XM_008093753.1,5
XM_008093774.1,1
XM_008093798.1,1
XM_008093807.1,1
XM_008093808.1,1
XM_008093811.1,1
XM_008093815.1,1
XM_008093846.1,1
XM_008093855.1,2
XM_008093863.1,2
XM_008093892.1,1
XM_008093931.1,1
XM_008093945.1,2
XM_008093953.1,2
XM_008093967.1,2
XM_008094001.1,2
XM_008094002.1,2
XM_008094003.1,1
XM_008094052.1,1
XM_008094053.1,1
XM_008094054.1,2
XM_008094070.1,1
XM_008094079.1,2
XM_008094080.1,1
XM_008094088.1,1
XM_008094101.1,2
XM_008094114.1,2
XM_008094119.1,2
XM_008094127.1,1
XM_008094142.1,2
XM_008094145.1,3
XM_008094170.1,1
XM_008094203.1,1
XM_008094204.1,3
XM_008094208.1,2
XM_008094211.1,1
XM_008094222.1,1
XM_008094229.1,5
XM_008094241.1,2
XM_008094248.1,2
XM_008094253.1,5
XM_008094254.1,3
XM_008094256.1,3
XM_008094280.1,1
XM_008094353.1,1
XM_008094375.1,5
XM_008094387.1,1
XM_008094393.1,1
XM_008094395.1,2
XM_008094431.1,1
XM_008094462.1,1
XM_008094463.1,1
XM_008094480.1,1
XM_008094490.1,2
XM_008094491.1,2
XM_008094498.1,1
XM_008094525.1,1
XM_008094550.1,2
XM_008094592.1,2
XM_008094604.1,3
XM_008094605.1,2
XM_008094609.1,1
XM_008094614.1,2
XM_008094650.1,2
XM_008094679.1,1
XM_008094686.1,3
XM_008094699.1,1
XM_008094727.1,1
XM_008094764.1,2
XM_008094766.1,1
XM_008094788.1,1
XM_008094795.1,5
XM_008094825.1,1
XM_008094845.1,2
XM_008094857.1,1
XM_008094862.1,1
XM_008094884.1,3
XM_008094890.1,1
XM_008094914.1,1
XM_008094926.1,1
XM_008094961.1,1
XM_008094976.1,2
XM_008095012.1,1
XM_008095021.1,1
XM_008095028.1,2
XM_008095041.1,1
XM_008095089.1,1
XM_008095102.1,1
XM_008095127.1,2
XM_008095138.1,4
XM_008095139.1,3
XM_008095143.1,2
XM_008095149.1,2
XM_008095161.1,3
XM_008095166.1,1
XM_008095175.1,2
XM_008095178.1,1
XM_008095195.1,1
XM_008095216.1,2
XM_008095225.1,2
XM_008095237.1,1
XM_008095254.1,1
XM_008095259.1,1
XM_008095261.1,2
XM_008095341.1,1
XM_008095344.1,1
XM_008095346.1,1
XM_008095377.1,1
XM_008095391.1,2
XM_008095392.1,4
XM_008095405.1,4
XM_008095407.1,6
XM_008095411.1,2
XM_008095440.1,2
XM_008095442.1,1
XM_008095456.1,2
XM_008095471.1,2
XM_008095472.1,1
XM_008095506.1,1
XM_008095509.1,2
XM_008095527.1,1
XM_008095529.1,2
XM_008095534.1,2
XM_008095540.1,1
XM_008095545.1,3
XM_008095562.1,1
XM_008095563.1,1
XM_008095592.1,1
XM_008095607.1,1
XM_008095623.1,1
XM_008095637.1,1
XM_008095638.1,1
XM_008095646.1,1
XM_008095650.1,5
XM_008095660.1,2
XM_008095700.1,1
XM_008095715.1,2
XM_008095741.1,1
XM_008095745.1,2
XM_008095755.1,1
XM_008095771.1,1
XM_008095778.1,2
XM_008095800.1,2
XM_008095805.1,1
XM_008095813.1,1
XM_008095819.1,1
XM_008095821.1,1
XM_008095830.1,1
XM_008095832.1,1
XM_008095898.1,1
XM_008095913.1,1
XM_008095969.1,2
XM_008095972.1,1
XM_008096000.1,2
XM_008096012.1,1
XM_008096036.1,2
XM_008096046.1,1
XM_008096054.1,1
XM_008096058.1,4
XM_008096089.1,1
XM_008096090.1,1
XM_008096106.1,1
XM_008096140.1,1
XM_008096147.1,1
XM_008096149.1,3
XM_008096150.1,3
XM_008096178.1,3
XM_008096181.1,1
XM_008096198.1,1
XM_008096202.1,1
XM_008096218.1,1
XM_008096236.1,2
XM_008096240.1,1
XM_008096241.1,1
XM_008096265.1,2
XM_008096270.1,1
XM_008096282.1,8
XM_008096283.1,2
XM_008096287.1,2
XM_008096334.1,1
XM_008096355.1,2
XM_008096364.1,1
XM_008096365.1,1
XM_008096370.1,2
XM_008096386.1,1
XM_008096480.1,2
XM_008096503.1,3
XM_008096543.1,4
XM_008096547.1,2
XM_008096555.1,1
XM_008096572.1,2
XM_008096609.1,2
XM_008096617.1,2
XM_008096619.1,2
XM_008096634.1,2
XM_008096636.1,1
XM_008096650.1,1
XM_008096667.1,1
XM_008096682.1,2
XM_008096683.1,1
XM_008096722.1,1
XM_008096730.1,1
XM_008096750.1,1
XM_008096755.1,3
XM_008096756.1,2
XM_008096764.1,1
XM_008096766.1,1
XM_008096781.1,1
XM_008096790.1,1
XM_008096822.1,1
XM_008096825.1,1
XM_008096907.1,2
XM_008096911.1,3
XM_008096913.1,1
XM_008096915.1,1
XM_008096916.1,1
XM_008096917.1,1
XM_008096985.1,1
XM_008097033.1,1
XM_008097043.1,3
XM_008097075.1,2
XM_008097076.1,1
XM_008097079.1,3
XM_008097095.1,1
XM_008097107.1,1
XM_008097154.1,2
XM_008097157.1,1
XM_008097161.1,3
XM_008097174.1,2
XM_008097178.1,2
XM_008097182.1,2
XM_008097191.1,1
XM_008097226.1,1
XM_008097246.1,2
XM_008097271.1,2
XM_008097272.1,2
XM_008097341.1,3
XM_008097356.1,1
XM_008097366.1,1
XM_008097367.1,1
XM_008097375.1,3
XM_008097376.1,2
XM_008097392.1,1
XM_008097404.1,1
XM_008097410.1,1
XM_008097411.1,2
XM_008097412.1,1
XM_008097418.1,2
XM_008097432.1,1
XM_008097510.1,1
XM_008097515.1,1
XM_008097521.1,2
XM_008097531.1,2
XM_008097536.1,2
XM_008097547.1,1
XM_008097553.1,1
XM_008097671.1,2
XM_008097681.1,1
XM_008097683.1,1
XM_008097684.1,2
XM_008097685.1,2
XM_008097691.1,1
XM_008097705.1,1
XM_008097717.1,3
