transcript_id,num_exon
XM_007403414.1,14
XM_007403415.1,15
XM_007403416.1,2
XM_007403417.1,2
XM_007403418.1,11
XM_007403419.1,6
XM_007403420.1,2
XM_007403421.1,10
XM_007403422.1,4
XM_007403423.1,9
XM_007403424.1,4
XM_007403425.1,7
XM_007403426.1,3
XM_007403427.1,4
XM_007403428.1,6
XM_007403429.1,2
XM_007403430.1,4
XM_007403431.1,3
XM_007403432.1,1
XM_007403433.1,4
XM_007403434.1,6
XM_007403435.1,6
XM_007403436.1,5
XM_007403437.1,4
XM_007403438.1,6
XM_007403439.1,1
XM_007403440.1,15
XM_007403441.1,5
XM_007403442.1,7
XM_007403443.1,2
XM_007403444.1,9
XM_007403445.1,4
XM_007403446.1,12
XM_007403447.1,8
XM_007403448.1,6
XM_007403449.1,4
XM_007403450.1,3
XM_007403451.1,4
XM_007403452.1,2
XM_007403453.1,3
XM_007403454.1,5
XM_007403455.1,2
XM_007403456.1,3
XM_007403457.1,1
XM_007403458.1,4
XM_007403459.1,3
XM_007403460.1,2
XM_007403461.1,1
XM_007403462.1,7
XM_007403463.1,10
XM_007403464.1,4
XM_007403465.1,3
XM_007403466.1,10
XM_007403467.1,9
XM_007403468.1,3
XM_007403469.1,11
XM_007403470.1,2
XM_007403471.1,2
XM_007403472.1,1
XM_007403473.1,5
XM_007403474.1,2
XM_007403475.1,1
XM_007403476.1,2
XM_007403477.1,7
XM_007403478.1,2
XM_007403479.1,3
XM_007403480.1,4
XM_007403481.1,2
XM_007403482.1,3
XM_007403483.1,1
XM_007403484.1,3
XM_007403485.1,11
XM_007403486.1,6
XM_007403487.1,4
XM_007403488.1,3
XM_007403489.1,5
XM_007403490.1,4
XM_007403491.1,2
XM_007403492.1,8
XM_007403493.1,7
XM_007403494.1,18
XM_007403495.1,7
XM_007403496.1,15
XM_007403497.1,6
XM_007403498.1,5
XM_007403499.1,2
XM_007403500.1,6
XM_007403501.1,2
XM_007403502.1,3
XM_007403503.1,3
XM_007403504.1,4
XM_007403505.1,4
XM_007403506.1,6
XM_007403507.1,4
XM_007403508.1,6
XM_007403509.1,4
XM_007403510.1,7
XM_007403511.1,4
XM_007403512.1,10
XM_007403513.1,1
XM_007403514.1,2
XM_007403515.1,3
XM_007403516.1,6
XM_007403517.1,15
XM_007403518.1,9
XM_007403519.1,14
XM_007403520.1,3
XM_007403521.1,9
XM_007403522.1,9
XM_007403523.1,5
XM_007403524.1,2
XM_007403525.1,3
XM_007403526.1,9
XM_007403527.1,19
XM_007403528.1,2
XM_007403529.1,2
XM_007403530.1,1
XM_007403531.1,5
XM_007403532.1,2
XM_007403533.1,5
XM_007403534.1,2
XM_007403535.1,5
XM_007403536.1,2
XM_007403537.1,3
XM_007403538.1,10
XM_007403539.1,5
XM_007403540.1,4
XM_007403541.1,3
XM_007403542.1,4
XM_007403543.1,5
XM_007403544.1,3
XM_007403545.1,6
XM_007403546.1,7
XM_007403547.1,9
XM_007403548.1,2
XM_007403549.1,4
XM_007403550.1,2
XM_007403551.1,1
XM_007403552.1,6
XM_007403553.1,2
XM_007403554.1,4
XM_007403555.1,5
XM_007403556.1,10
XM_007403557.1,3
XM_007403558.1,8
XM_007403559.1,8
XM_007403560.1,2
XM_007403561.1,10
XM_007403562.1,2
XM_007403563.1,2
XM_007403564.1,7
XM_007403565.1,9
XM_007403566.1,4
XM_007403567.1,4
XM_007403568.1,1
XM_007403569.1,13
XM_007403570.1,6
XM_007403571.1,4
XM_007403572.1,2
XM_007403573.1,11
XM_007403574.1,4
XM_007403575.1,2
XM_007403576.1,7
XM_007403577.1,6
XM_007403578.1,2
XM_007403579.1,10
XM_007403580.1,4
XM_007403581.1,5
XM_007403582.1,1
XM_007403583.1,4
XM_007403584.1,8
XM_007403585.1,2
XM_007403586.1,4
XM_007403587.1,5
XM_007403588.1,2
XM_007403589.1,2
XM_007403590.1,2
XM_007403591.1,2
XM_007403592.1,2
XM_007403593.1,4
XM_007403594.1,34
XM_007403595.1,1
XM_007403596.1,3
XM_007403597.1,6
XM_007403598.1,2
XM_007403599.1,4
XM_007403600.1,9
XM_007403601.1,4
XM_007403602.1,2
XM_007403603.1,1
XM_007403604.1,3
XM_007403605.1,4
XM_007403606.1,4
XM_007403607.1,2
XM_007403608.1,9
XM_007403609.1,7
XM_007403610.1,6
XM_007403611.1,5
XM_007403612.1,4
XM_007403613.1,4
XM_007403614.1,20
XM_007403615.1,2
XM_007403616.1,12
XM_007403617.1,4
XM_007403618.1,1
XM_007403619.1,4
XM_007403620.1,2
XM_007403621.1,5
XM_007403622.1,4
XM_007403623.1,7
XM_007403624.1,7
XM_007403625.1,6
XM_007403626.1,1
XM_007403627.1,2
XM_007403628.1,5
XM_007403629.1,8
XM_007403630.1,6
XM_007403631.1,8
XM_007403632.1,3
XM_007403633.1,3
XM_007403634.1,6
XM_007403635.1,5
XM_007403636.1,1
XM_007403637.1,4
XM_007403638.1,8
XM_007403639.1,5
XM_007403640.1,5
XM_007403641.1,3
XM_007403642.1,2
XM_007403643.1,9
XM_007403644.1,2
XM_007403645.1,7
XM_007403646.1,6
XM_007403647.1,7
XM_007403648.1,6
XM_007403649.1,5
XM_007403650.1,2
XM_007403651.1,5
XM_007403652.1,7
XM_007403653.1,2
XM_007403654.1,8
XM_007403655.1,6
XM_007403656.1,3
XM_007403657.1,2
XM_007403658.1,20
XM_007403659.1,6
XM_007403660.1,5
XM_007403661.1,6
