transcript_id,num_exon
XM_008563007.1,25
XM_008563008.1,2
XM_008563009.1,1
XM_008563010.1,1
XM_008563011.1,19
XM_008563012.1,1
XM_008563013.1,1
XM_008563014.1,5
XM_008563015.1,5
XM_008563016.1,7
XM_008563017.1,17
XM_008563018.1,27
XM_008563019.1,26
XM_008563020.1,12
XM_008563021.1,10
XM_008563022.1,17
XM_008563023.1,3
XM_008563024.1,1
XM_008563025.1,4
XM_008563026.1,6
XM_008563027.1,8
XM_008563028.1,4
XM_008563029.1,1
XM_008563030.1,22
XM_008563032.1,1
XM_008563033.1,3
XM_008563034.1,22
XM_008563035.1,3
XM_008563036.1,4
XM_008563037.1,3
XM_008563039.1,5
XM_008563040.1,3
XM_008563041.1,4
XM_008563042.1,20
XM_008563043.1,7
XM_008563044.1,7
XM_008563045.1,6
XM_008563046.1,13
XM_008563047.1,4
XM_008563048.1,21
XM_008563049.1,6
XM_008563050.1,5
XM_008563051.1,16
XM_008563052.1,5
XM_008563053.1,5
XM_008563054.1,7
XM_008563055.1,10
XM_008563056.1,6
XM_008563057.1,6
XM_008563058.1,8
XM_008563059.1,15
XM_008563060.1,1
XM_008563061.1,9
XM_008563062.1,19
XM_008563063.1,1
XM_008563064.1,4
XM_008563065.1,11
XM_008563066.1,1
XM_008563067.1,1
XM_008563068.1,4
XM_008563069.1,2
XM_008563070.1,4
XM_008563071.1,11
XM_008563072.1,8
XM_008563073.1,11
XM_008563075.1,1
XM_008563076.1,1
XM_008563077.1,3
XM_008563078.1,1
XM_008563079.1,1
XM_008563080.1,5
XM_008563081.1,4
XM_008563082.1,5
XM_008563083.1,2
XM_008563084.1,3
XM_008563085.1,6
XM_008563086.1,13
XM_008563087.1,5
XM_008563088.1,7
XM_008563089.1,12
XM_008563090.1,12
XM_008563091.1,6
XM_008563092.1,2
XM_008563093.1,1
XM_008563094.1,11
XM_008563095.1,6
XM_008563096.1,1
XM_008563097.1,9
XM_008563098.1,4
XM_008563099.1,10
XM_008563100.1,7
XM_008563101.1,14
XM_008563102.1,14
XM_008563103.1,14
XM_008563104.1,14
XM_008563105.1,12
XM_008563106.1,4
XM_008563107.1,12
XM_008563109.1,17
XM_008563110.1,17
XM_008563111.1,16
XM_008563112.1,16
XM_008563113.1,14
XM_008563114.1,1
XM_008563115.1,5
XM_008563116.1,16
XM_008563117.1,9
XM_008563118.1,2
XM_008563119.1,1
XM_008563120.1,1
XM_008563122.1,9
XM_008563123.1,6
XM_008563124.1,4
XM_008563125.1,7
XM_008563126.1,7
XM_008563127.1,6
XM_008563128.1,10
XM_008563129.1,4
XM_008563130.1,2
XM_008563132.1,3
XM_008563133.1,5
XM_008563134.1,5
XM_008563135.1,15
XM_008563136.1,15
XM_008563137.1,14
XM_008563138.1,14
XM_008563139.1,16
XM_008563140.1,10
XM_008563141.1,3
XM_008563142.1,3
XM_008563143.1,3
XM_008563144.1,3
XM_008563145.1,2
XM_008563147.1,1
XM_008563149.1,6
XM_008563150.1,2
XM_008563151.1,17
XM_008563152.1,16
XM_008563153.1,2
XM_008563154.1,2
XM_008563155.1,3
XM_008563156.1,3
XM_008563157.1,15
XM_008563158.1,9
XM_008563159.1,5
XM_008563160.1,4
XM_008563161.1,8
XM_008563162.1,10
XM_008563163.1,1
XM_008563164.1,11
XM_008563165.1,4
XM_008563166.1,7
XM_008563167.1,8
XM_008563168.1,3
XM_008563169.1,11
XM_008563170.1,14
XM_008563171.1,12
XM_008563172.1,11
XM_008563173.1,11
XM_008563174.1,11
XM_008563176.1,3
XM_008563178.1,1
XM_008563179.1,6
XM_008563180.1,5
XM_008563181.1,8
XM_008563182.1,8
XM_008563183.1,8
XM_008563184.1,5
XM_008563185.1,4
XM_008563186.1,4
XM_008563187.1,4
XM_008563188.1,2
XM_008563189.1,3
XM_008563190.1,3
XM_008563191.1,4
XM_008563192.1,4
XM_008563193.1,4
XM_008563194.1,2
XM_008563195.1,1
XM_008563196.1,11
XM_008563197.1,11
XM_008563198.1,7
XM_008563199.1,21
XM_008563200.1,6
XM_008563201.1,6
XM_008563202.1,7
XM_008563203.1,2
XM_008563204.1,1
XM_008563205.1,1
XM_008563206.1,5
XM_008563207.1,11
XM_008563208.1,6
XM_008563209.1,1
XM_008563210.1,2
XM_008563211.1,6
XM_008563212.1,6
XM_008563213.1,6
XM_008563214.1,4
XM_008563215.1,8
XM_008563216.1,1
XM_008563217.1,1
XM_008563218.1,1
XM_008563219.1,6
XM_008563220.1,13
XM_008563221.1,4
XM_008563222.1,9
XM_008563223.1,1
XM_008563224.1,2
XM_008563225.1,11
XM_008563226.1,9
XM_008563227.1,5
XM_008563228.1,1
XM_008563229.1,5
XM_008563230.1,4
XM_008563231.1,1
XM_008563232.1,7
XM_008563233.1,11
XM_008563234.1,4
XM_008563235.1,4
XM_008563236.1,6
XM_008563237.1,8
XM_008563238.1,1
XM_008563239.1,1
XM_008563240.1,1
XM_008563241.1,3
XM_008563242.1,1
XM_008563243.1,17
XM_008563244.1,7
XM_008563245.1,4
XM_008563246.1,5
XM_008563247.1,3
XM_008563248.1,10
XM_008563249.1,1
XM_008563250.1,1
XM_008563251.1,1
XM_008563252.1,6
XM_008563253.1,10
XM_008563254.1,12
XM_008563255.1,11
XM_008563256.1,7
XM_008563257.1,2
XM_008563258.1,6
XM_008563259.1,35
XM_008563260.1,8
XM_008563261.1,1
XM_008563262.1,4
XM_008563263.1,8
XM_008563264.1,6
XM_008563265.1,3
XM_008563266.1,8
XM_008563267.1,5
XM_008563268.1,4
XM_008563269.1,25
XM_008563270.1,3
XM_008563271.1,3
XM_008563274.1,5
XM_008563275.1,12
XM_008563276.1,4
XM_008563277.1,9
XM_008563278.1,2
XM_008563279.1,2
XM_008563280.1,4
XM_008563281.1,5
XM_008563282.1,5
XM_008563283.1,5
XM_008563284.1,1
XM_008563285.1,8
XM_008563286.1,2
XM_008563288.1,8
XM_008563289.1,66
XM_008563290.1,10
XM_008563291.1,7
XM_008563292.1,1
XM_008563293.1,2
XM_008563294.1,6
XM_008563295.1,8
XM_008563296.1,6
XM_008563297.1,8
XM_008563298.1,5
XM_008563299.1,28
XM_008563300.1,2
XM_008563301.1,21
XM_008563302.1,15
XM_008563304.1,2
XM_008563305.1,11
XM_008563306.1,5
XM_008563307.1,8
XM_008563308.1,1
XM_008563309.1,1
XM_008563310.1,1
XM_008563311.1,11
XM_008563312.1,3
XM_008563313.1,6
XM_008563314.1,2
XM_008563315.1,11
XM_008563316.1,2
XM_008563318.1,11
XM_008563319.1,6
XM_008563320.1,7
XM_008563321.1,11
XM_008563322.1,8
XM_008563323.1,15
XM_008563324.1,16
XM_008563325.1,1
XM_008563327.1,10
XM_008563328.1,2
XM_008563329.1,7
XM_008563330.1,15
XM_008563331.1,12
XM_008563332.1,10
XM_008563333.1,9
XM_008563334.1,8
XM_008563335.1,12
XM_008563336.1,4
XM_008563337.1,3
XM_008563338.1,8
XM_008563339.1,2
XM_008563340.1,8
XM_008563341.1,1
XM_008563342.1,4
XM_008563343.1,1
XM_008563344.1,10
XM_008563345.1,1
XM_008563346.1,3
XM_008563347.1,3
XM_008563348.1,17
XM_008563349.1,20
XM_008563350.1,1
XM_008563351.1,3
XM_008563352.1,2
XM_008563353.1,7
XM_008563354.1,7
XM_008563356.1,1
XM_008563358.1,7
XM_008563359.1,9
XM_008563360.1,5
XM_008563361.1,3
XM_008563362.1,1
XM_008563364.1,7
XM_008563365.1,14
XM_008563366.1,1
XM_008563367.1,14
XM_008563368.1,2
XM_008563369.1,13
XM_008563370.1,6
XM_008563371.1,1
XM_008563372.1,2
XM_008563373.1,5
XM_008563374.1,1
XM_008563375.1,1
XM_008563376.1,14
XM_008563377.1,3
XM_008563378.1,2
XM_008563379.1,2
XM_008563380.1,9
XM_008563381.1,6
XM_008563382.1,9
XM_008563384.1,14
XM_008563385.1,2
XM_008563386.1,12
XM_008563387.1,4
XM_008563388.1,6
XM_008563389.1,5
XM_008563390.1,6
XM_008563391.1,12
XM_008563392.1,17
XM_008563393.1,5
XM_008563394.1,1
XM_008563395.1,2
XM_008563396.1,2
XM_008563397.1,8
XM_008563398.1,17
XM_008563399.1,8
XM_008563400.1,2
XM_008563401.1,3
XM_008563402.1,15
XM_008563403.1,4
XM_008563404.1,3
XM_008563405.1,1
XM_008563406.1,45
XM_008563407.1,10
XM_008563408.1,11
XM_008563409.1,35
XM_008563410.1,10
XM_008563411.1,10
XM_008563412.1,1
XM_008563413.1,10
XM_008563414.1,3
XM_008563415.1,4
XM_008563417.1,3
XM_008563418.1,11
XM_008563419.1,6
XM_008563420.1,6
XM_008563421.1,7
