transcript_id,num_exon
XM_003025808.1,2
XM_003025811.1,5
XM_003025812.1,1
XM_003025815.1,5
XM_003025816.1,5
XM_003025817.1,2
XM_003025818.1,1
XM_003025819.1,4
XM_003025820.1,4
XM_003025821.1,1
XM_003025823.1,4
XM_003025826.1,4
XM_003025830.1,3
XM_003025832.1,11
XM_003025836.2,3
XM_003025837.1,19
XM_003025839.1,2
XM_003025841.1,10
XM_003025842.1,8
XM_003025843.1,5
XM_003025844.1,5
XM_003025847.1,2
XM_003025848.1,4
XM_003025849.1,5
XM_003025850.1,2
XM_003025851.1,14
XM_003025853.1,6
XM_003025855.1,7
XM_003025861.2,4
XM_003025862.2,6
XM_003025864.2,5
XM_003025868.1,2
XM_003025871.1,18
XM_003025872.2,7
XM_003025874.1,7
XM_003025875.2,3
XM_003025876.2,1
XM_003025877.2,1
XM_003025878.1,5
XM_003025879.1,9
XM_003025880.2,5
XM_003025883.1,14
XM_003025884.2,7
XM_003025886.1,4
XM_003025887.1,2
XM_003025889.1,12
XM_003025890.1,5
XM_003025891.2,2
XM_003025893.1,26
XM_003025894.2,1
XM_003025895.2,7
XM_003025897.1,3
XM_003025899.2,3
XM_003025900.2,4
XM_003025901.2,2
XM_003025906.2,4
XM_003025908.2,3
XM_003025909.1,33
XM_003025910.1,8
XM_003025912.1,3
XM_003025914.1,7
XM_003025916.2,16
XM_003025918.1,1
XM_003025920.1,1
XM_003025921.1,2
XM_003025922.1,14
XM_003025923.2,2
XM_003025931.2,5
XM_003025932.1,15
XM_003025934.2,8
XM_003025935.1,5
XM_003025936.1,12
XM_003025937.1,2
XM_003025938.2,2
XM_003025939.1,3
XM_003025940.1,4
XM_003025941.1,5
XM_003025942.1,4
XM_003025945.1,2
XM_003025946.1,1
XM_003025947.1,6
XM_003025948.1,7
XM_003025949.1,4
XM_003025950.1,4
XM_003025951.1,3
XM_003025952.2,2
XM_003025953.1,4
XM_003025956.1,5
XM_003025957.1,7
XM_003025958.2,3
XM_003025959.1,14
XM_003025960.1,3
XM_003025961.1,7
XM_003025962.2,3
XM_003025963.1,9
XM_003025964.1,4
XM_003025965.1,2
XM_003025966.1,8
XM_003025967.1,3
XM_003025968.1,5
XM_003025970.1,11
XM_003025971.1,5
XM_003025972.1,27
XM_003025973.2,5
XM_003025974.2,4
XM_003025975.1,5
XM_003025978.1,8
XM_003025979.2,3
XM_003025980.1,4
XM_003025981.1,6
XM_003025982.1,13
XM_003025985.1,4
XM_003025986.1,3
XM_003025987.1,1
XM_003025988.1,10
XM_003025990.1,3
XM_003025992.1,18
XM_003025996.1,6
XM_003025998.1,6
XM_003025999.1,2
XM_003026000.1,1
XM_003026001.1,1
XM_003026003.1,2
XM_003026004.1,1
XM_003026005.1,9
XM_003026006.2,18
XM_003026008.1,8
XM_003026010.2,14
XM_003026012.2,7
XM_003026013.1,3
XM_003026014.1,5
