gene_id,num_transcript,num_exon,num_uniq_exon
,1,24,24
AAK1_1,1,1,1
ACTA2,1,9,9
AIFM3,2,38,22
APOBEC3C,1,4,4
ARF4,1,6,6
ARGLU1,3,12,7
ASIP,1,3,3
B3GALT1,2,9,5
BASP1,1,2,2
BET1L,1,4,4
BTN3A3,7,74,18
C10H10orf90,5,42,14
C11H11orf87,1,2,2
C15H15orf56,1,2,2
C17H17orf50,1,3,3
C17H17orf78,2,11,8
C1QTNF5,1,15,15
C1orf27P,1,14,14
C4H4orf3,1,2,2
CAMK2N2,1,2,2
CATSPERZ,1,5,5
CCK,3,10,7
CCL27,1,4,4
CD52,1,2,2
CDRT15,1,3,3
CHAC2,4,12,8
CHSY3,1,5,5
CMC4,5,16,8
CPLX2,2,9,7
CRCT1,1,2,2
CTXN1,1,2,2
CYSTM1,1,3,3
DDX10,1,13,13
DEFB115,1,2,2
DHRSX,1,7,7
DKFZP459D0510,1,4,4
DKFZP469C1319,1,1,1
DNAJB3,1,2,2
DNAJB7,1,1,1
DPH3P1,1,1,1
EID3,1,1,1
ENHO,1,2,2
ERP29,1,2,2
F2RL2,2,4,3
FAM120AOS,1,7,7
FAM120C,3,32,19
FAM151A,1,8,8
FAM218A,1,1,1
FAM25G,1,3,3
FBXL14,1,2,2
FDCSP,1,5,5
FUT2,2,8,7
FXYD4,2,18,11
G0S2,1,2,2
GGTA1P,1,6,6
GNB1L,1,8,8
GNG11,2,4,4
GNG3,1,3,3
GPSM3,2,8,5
GSTM2,1,8,8
HEPN1,1,1,1
HERC2P11,4,51,16
HMGA1,7,37,10
HMGN2,1,6,6
HMGN4,1,2,2
HMHB1,1,3,3
HOXB4,1,2,2
HOXD4,2,5,4
HSPE1,1,4,4
HYLS1,6,16,9
HYPM,1,1,1
IFI27,3,10,7
IFIT1,1,2,2
IFNK,1,2,2
IFRG15,2,5,5
IL17D,1,3,3
IL31,1,3,3
INAFM1,1,1,1
KCNMB1,1,4,4
KIAA0040,2,7,4
KIAA1549L,1,20,20
KRT86,3,30,13
LCE1C,2,5,4
LCE1D,1,2,2
LCE3B,1,1,1
LCE3C,1,1,1
LCE5A,1,2,2
LKAAEAR1,2,5,4
LOC100171857,1,3,3
LOC100173798,2,10,6
LOC100431259,1,1,1
LOC100431274,1,1,1
LOC100431281,1,2,2
LOC100431293,1,1,1
LOC100431320,1,3,3
LOC100431340,1,6,6
LOC100431352,1,1,1
LOC100431353,1,1,1
LOC100431382,1,2,2
LOC100431440,1,8,8
LOC100431484,1,1,1
LOC100431499,1,1,1
LOC100431531,1,1,1
LOC100431550,1,1,1
LOC100431653,1,1,1
LOC100431699,1,1,1
LOC100431756,1,41,41
LOC100431796,1,1,1
LOC100431834,1,2,2
LOC100431843,1,1,1
LOC100431912,1,1,1
LOC100431950,1,1,1
LOC100432120,1,1,1
LOC100432124,1,2,2
LOC100432148,1,1,1
LOC100432261,1,2,2
LOC100432275,1,1,1
LOC100432313,1,1,1
LOC100432322,1,2,2
LOC100432399,1,1,1
LOC100432423,1,1,1
LOC100432431,1,1,1
LOC100432472,1,1,1
LOC100432518,1,36,36
LOC100432541,1,1,1
LOC100432545,1,2,2
LOC100432783,1,1,1
LOC100432785,1,2,2
LOC100432797,1,1,1
LOC100432807,1,4,4
LOC100432853,1,1,1
LOC100432889,1,29,29
LOC100432903,3,9,7
LOC100432924,1,2,2
LOC100433007,1,1,1
LOC100433018,1,4,4
LOC100433023,1,8,8
LOC100433046,1,1,1
LOC100433064,1,1,1
LOC100433084,1,1,1
LOC100433099,1,3,3
LOC100433211,1,1,1
LOC100433269,1,1,1
LOC100433377,1,1,1
LOC100433424,1,3,3
LOC100433466,1,1,1
LOC100433473,1,1,1
LOC100433560,1,1,1
LOC100433567,1,2,2
LOC100433584,1,1,1
LOC100433604,1,2,2
LOC100433610,1,3,3
LOC100433653,1,1,1
LOC100433672,1,1,1
LOC100433730,1,1,1
LOC100433734,1,1,1
LOC100433738,1,1,1
LOC100433757,1,4,4
LOC100433773,1,3,3
LOC100433827,1,1,1
LOC100433834,1,2,2
LOC100433835,1,1,1
LOC100433838,1,1,1
LOC100433856,1,1,1
LOC100433913,2,14,8
LOC100433922,1,2,2
LOC100433949,1,5,5
LOC100433980,1,1,1
LOC100434028,1,1,1
LOC100434029,1,3,3
LOC100434075,1,4,4
LOC100434076,1,2,2
LOC100434117,1,8,8
LOC100434123,2,9,7
LOC100434153,1,4,4
LOC100434163,1,3,3
LOC100434214,1,2,2
LOC100434221,1,1,1
LOC100434259,1,1,1
LOC100434267,1,1,1
LOC100434276,1,1,1
LOC100434336,1,1,1
LOC100434388,1,1,1
LOC100434400,1,11,11
LOC100434403,1,1,1
LOC100434424,1,2,2
LOC100434440,1,1,1
LOC100434504,1,3,3
LOC100434521,1,1,1
LOC100434537,1,2,2
LOC100434564,1,1,1
LOC100434595,1,1,1
LOC100434618,3,11,7
LOC100434641,1,2,2
LOC100434778,1,13,13
LOC100434901,1,1,1
LOC100434949,1,2,2
LOC100435084,1,1,1
LOC100435127,1,1,1
LOC100435159,1,1,1
LOC100435168,1,1,1
LOC100435227,1,3,3
LOC100435289,1,2,2
LOC100435295,2,6,4
LOC100435342,1,1,1
LOC100435364,1,1,1
LOC100435382,1,2,2
LOC100435393,1,2,2
LOC100435511,1,3,3
LOC100435564,1,2,2
LOC100435567,1,1,1
LOC100435626,1,1,1
LOC100435638,6,36,17
LOC100435646,1,1,1
LOC100435668,1,3,3
LOC100435709,1,1,1
LOC100435718,1,2,2
LOC100435731,1,2,2
LOC100435765,1,1,1
LOC100435783,1,1,1
LOC100435813,1,1,1
LOC100435822,1,4,4
LOC100435870,1,1,1
LOC100435871,1,1,1
LOC100435883,2,6,4
LOC100435912,1,2,2
LOC100435993,1,2,2
LOC100436107,1,1,1
LOC100436122,2,4,4
LOC100436150,1,8,8
LOC100436158,1,1,1
LOC100436190,1,2,2
LOC100436218,1,1,1
LOC100436230,1,2,2
LOC100436234,1,1,1
LOC100436253,1,5,5
LOC100436293,1,5,5
LOC100436361,1,2,2
