gene_id,num_transcript,num_exon,num_uniq_exon
BCR33DRAFT_10076,1,5,5
BCR33DRAFT_10238,1,1,1
BCR33DRAFT_10585,1,4,4
BCR33DRAFT_106564,1,2,2
BCR33DRAFT_10715,1,3,3
BCR33DRAFT_10755,1,3,3
BCR33DRAFT_109437,1,1,1
BCR33DRAFT_110154,1,1,1
BCR33DRAFT_110253,1,3,3
BCR33DRAFT_110399,1,3,3
BCR33DRAFT_110478,1,4,4
BCR33DRAFT_110541,1,5,5
BCR33DRAFT_110550,1,2,2
BCR33DRAFT_110724,1,3,3
BCR33DRAFT_110886,1,5,5
BCR33DRAFT_111355,1,5,5
BCR33DRAFT_111620,1,4,4
BCR33DRAFT_111625,1,5,5
BCR33DRAFT_111790,1,3,3
BCR33DRAFT_111793,1,13,13
BCR33DRAFT_111932,1,2,2
BCR33DRAFT_112024,1,5,5
BCR33DRAFT_112063,1,2,2
BCR33DRAFT_112278,1,7,7
BCR33DRAFT_112545,1,2,2
BCR33DRAFT_113008,1,2,2
BCR33DRAFT_113077,1,3,3
BCR33DRAFT_113212,1,3,3
BCR33DRAFT_113233,1,7,7
BCR33DRAFT_113508,1,4,4
BCR33DRAFT_113510,1,1,1
BCR33DRAFT_11360,1,8,8
BCR33DRAFT_11392,1,4,4
BCR33DRAFT_114267,1,12,12
BCR33DRAFT_114465,1,5,5
BCR33DRAFT_114512,1,4,4
BCR33DRAFT_114518,1,4,4
BCR33DRAFT_11463,1,5,5
BCR33DRAFT_114672,1,2,2
BCR33DRAFT_114891,1,1,1
BCR33DRAFT_115004,1,2,2
BCR33DRAFT_115159,1,3,3
BCR33DRAFT_115208,1,2,2
BCR33DRAFT_115280,1,6,6
BCR33DRAFT_115486,1,1,1
BCR33DRAFT_115553,1,1,1
BCR33DRAFT_11592,1,1,1
BCR33DRAFT_115984,1,4,4
BCR33DRAFT_116173,1,4,4
BCR33DRAFT_116445,1,7,7
BCR33DRAFT_116502,1,3,3
BCR33DRAFT_11652,1,3,3
BCR33DRAFT_11702,1,6,6
BCR33DRAFT_11774,1,5,5
BCR33DRAFT_117800,1,3,3
BCR33DRAFT_11987,1,4,4
BCR33DRAFT_12012,1,11,11
BCR33DRAFT_120208,1,4,4
BCR33DRAFT_120292,1,6,6
BCR33DRAFT_12231,1,2,2
BCR33DRAFT_125916,1,2,2
BCR33DRAFT_125925,1,5,5
BCR33DRAFT_126599,1,3,3
BCR33DRAFT_127775,1,5,5
BCR33DRAFT_128054,1,3,3
BCR33DRAFT_128063,1,2,2
BCR33DRAFT_128064,1,3,3
BCR33DRAFT_128639,1,8,8
BCR33DRAFT_128741,1,3,3
BCR33DRAFT_12896,1,5,5
BCR33DRAFT_129067,1,1,1
BCR33DRAFT_129165,1,3,3
BCR33DRAFT_129392,1,2,2
BCR33DRAFT_129446,1,5,5
BCR33DRAFT_129837,1,2,2
BCR33DRAFT_129843,1,5,5
BCR33DRAFT_129856,1,4,4
BCR33DRAFT_129860,1,5,5
BCR33DRAFT_130476,1,5,5
BCR33DRAFT_130484,1,1,1
BCR33DRAFT_130509,1,1,1
BCR33DRAFT_130705,1,3,3
BCR33DRAFT_130817,1,3,3
BCR33DRAFT_130962,1,2,2
BCR33DRAFT_131025,1,1,1
BCR33DRAFT_131148,1,2,2
BCR33DRAFT_131253,1,4,4
BCR33DRAFT_131360,1,4,4
BCR33DRAFT_131477,1,9,9
BCR33DRAFT_131512,1,3,3
BCR33DRAFT_131529,1,8,8
BCR33DRAFT_131814,1,6,6
BCR33DRAFT_131944,1,5,5
BCR33DRAFT_132252,1,7,7
BCR33DRAFT_132316,1,5,5
BCR33DRAFT_132604,1,3,3
BCR33DRAFT_13264,1,8,8
BCR33DRAFT_132662,1,3,3
BCR33DRAFT_132663,1,2,2
BCR33DRAFT_132734,1,2,2
BCR33DRAFT_13278,1,4,4
BCR33DRAFT_132824,1,3,3
BCR33DRAFT_132833,1,4,4
BCR33DRAFT_132877,1,2,2
BCR33DRAFT_132984,1,2,2
BCR33DRAFT_13299,1,1,1
BCR33DRAFT_133110,1,1,1
BCR33DRAFT_133214,1,4,4
BCR33DRAFT_13328,1,1,1
BCR33DRAFT_13339,1,6,6
BCR33DRAFT_135120,1,4,4
BCR33DRAFT_135222,1,9,9
BCR33DRAFT_135266,1,4,4
BCR33DRAFT_139391,1,5,5
BCR33DRAFT_140135,1,2,2
BCR33DRAFT_14661,1,4,4
BCR33DRAFT_148693,1,5,5
BCR33DRAFT_148705,1,2,2
BCR33DRAFT_149984,1,2,2
BCR33DRAFT_15032,1,1,1
BCR33DRAFT_15060,1,3,3
BCR33DRAFT_15206,1,2,2
BCR33DRAFT_153945,1,4,4
BCR33DRAFT_154224,1,2,2
BCR33DRAFT_154229,1,3,3
BCR33DRAFT_154249,1,6,6
BCR33DRAFT_154703,1,1,1
BCR33DRAFT_154781,1,4,4
BCR33DRAFT_154810,1,4,4
BCR33DRAFT_154990,1,4,4
BCR33DRAFT_15502,1,2,2
BCR33DRAFT_155211,1,4,4
BCR33DRAFT_155273,1,2,2
BCR33DRAFT_155276,1,3,3
BCR33DRAFT_1555,1,2,2
BCR33DRAFT_156736,1,3,3
BCR33DRAFT_157923,1,4,4
BCR33DRAFT_158506,1,4,4
BCR33DRAFT_158556,1,5,5
BCR33DRAFT_158991,1,2,2
BCR33DRAFT_159041,1,7,7
BCR33DRAFT_159066,1,3,3
BCR33DRAFT_159189,1,3,3
BCR33DRAFT_159571,1,3,3
BCR33DRAFT_159595,1,2,2
BCR33DRAFT_15976,1,4,4
BCR33DRAFT_15985,1,6,6
BCR33DRAFT_159870,1,2,2
BCR33DRAFT_159877,1,4,4
BCR33DRAFT_160075,1,4,4
BCR33DRAFT_160144,1,3,3
BCR33DRAFT_160417,1,3,3
BCR33DRAFT_160621,1,3,3
BCR33DRAFT_160632,1,2,2
BCR33DRAFT_160692,1,1,1
BCR33DRAFT_160812,1,7,7
BCR33DRAFT_162027,1,6,6
BCR33DRAFT_163526,1,3,3
BCR33DRAFT_16692,1,6,6
BCR33DRAFT_169043,1,1,1
BCR33DRAFT_169050,1,3,3
BCR33DRAFT_169104,1,1,1
BCR33DRAFT_169687,1,1,1
BCR33DRAFT_169961,1,2,2
BCR33DRAFT_170333,1,3,3
