gene_id,num_transcript,num_exon,num_uniq_exon
FOMMEDRAFT_100000,1,1,1
FOMMEDRAFT_100002,1,1,1
FOMMEDRAFT_100036,1,1,1
FOMMEDRAFT_100052,1,1,1
FOMMEDRAFT_100076,1,1,1
FOMMEDRAFT_100096,1,1,1
FOMMEDRAFT_100104,1,1,1
FOMMEDRAFT_100143,1,1,1
FOMMEDRAFT_100336,1,14,14
FOMMEDRAFT_100360,1,4,4
FOMMEDRAFT_100374,1,3,3
FOMMEDRAFT_100399,1,11,11
FOMMEDRAFT_100401,1,5,5
FOMMEDRAFT_100412,1,7,7
FOMMEDRAFT_100431,1,18,18
FOMMEDRAFT_100447,1,4,4
FOMMEDRAFT_100449,1,5,5
FOMMEDRAFT_100463,1,5,5
FOMMEDRAFT_100475,1,1,1
FOMMEDRAFT_100481,1,6,6
FOMMEDRAFT_100526,1,7,7
FOMMEDRAFT_100537,1,14,14
FOMMEDRAFT_100544,1,5,5
FOMMEDRAFT_100551,1,4,4
FOMMEDRAFT_100561,1,6,6
FOMMEDRAFT_100587,1,3,3
FOMMEDRAFT_100591,1,4,4
FOMMEDRAFT_100603,1,9,9
FOMMEDRAFT_100608,1,3,3
FOMMEDRAFT_100622,1,11,11
FOMMEDRAFT_100626,1,15,15
FOMMEDRAFT_100638,1,27,27
FOMMEDRAFT_100643,1,14,14
FOMMEDRAFT_100660,1,6,6
FOMMEDRAFT_100666,1,11,11
FOMMEDRAFT_100704,1,3,3
FOMMEDRAFT_100722,1,11,11
FOMMEDRAFT_100739,1,4,4
FOMMEDRAFT_100743,1,8,8
FOMMEDRAFT_100748,1,4,4
FOMMEDRAFT_100753,1,4,4
FOMMEDRAFT_100764,1,2,2
FOMMEDRAFT_100769,1,9,9
FOMMEDRAFT_100792,1,6,6
FOMMEDRAFT_100850,1,22,22
FOMMEDRAFT_100873,1,11,11
FOMMEDRAFT_100900,1,5,5
FOMMEDRAFT_100914,1,3,3
FOMMEDRAFT_100924,1,3,3
FOMMEDRAFT_100931,1,13,13
FOMMEDRAFT_100932,1,2,2
FOMMEDRAFT_100937,1,3,3
FOMMEDRAFT_100978,1,14,14
FOMMEDRAFT_100987,1,9,9
FOMMEDRAFT_101004,1,7,7
FOMMEDRAFT_101010,1,9,9
FOMMEDRAFT_101026,1,3,3
FOMMEDRAFT_101037,1,15,15
FOMMEDRAFT_101080,1,8,8
FOMMEDRAFT_101098,1,6,6
FOMMEDRAFT_101108,1,9,9
FOMMEDRAFT_101142,1,10,10
FOMMEDRAFT_101145,1,7,7
FOMMEDRAFT_101165,1,5,5
FOMMEDRAFT_101175,1,10,10
FOMMEDRAFT_101181,1,4,4
FOMMEDRAFT_101216,1,3,3
