gene_id,num_transcript,num_exon,num_uniq_exon
LOC105948586,1,22,22
LOC105948587,1,9,9
LOC105948588,1,10,10
LOC105948589,1,8,8
LOC105948590,2,21,13
LOC105948592,1,3,3
LOC105948593,1,5,5
LOC105948597,1,4,4
LOC105948598,1,2,2
LOC105948599,1,11,11
LOC105948600,1,2,2
LOC105948601,1,1,1
LOC105948602,1,1,1
LOC105948603,1,3,3
LOC105948604,1,1,1
LOC105948605,1,18,18
LOC105948606,1,1,1
LOC105948607,1,1,1
LOC105948608,1,3,3
LOC105948609,1,13,13
LOC105948610,1,9,9
LOC105948611,1,8,8
LOC105948612,1,3,3
LOC105948613,1,3,3
LOC105948614,1,5,5
LOC105948616,1,1,1
LOC105948617,1,2,2
LOC105948620,1,1,1
LOC105948621,1,22,22
LOC105948622,1,6,6
LOC105948625,1,3,3
LOC105948626,1,1,1
LOC105948627,1,6,6
LOC105948628,1,1,1
LOC105948629,1,1,1
LOC105948631,1,2,2
LOC105948632,1,15,15
LOC105948633,1,1,1
LOC105948636,1,7,7
LOC105948639,1,3,3
LOC105948640,1,3,3
LOC105948641,1,1,1
LOC105948642,1,1,1
LOC105948643,1,3,3
LOC105948644,1,3,3
LOC105948647,1,1,1
LOC105948649,1,5,5
LOC105948651,4,60,19
LOC105948652,1,14,14
LOC105948653,1,15,15
LOC105948654,1,1,1
LOC105948655,1,2,2
LOC105948656,1,9,9
LOC105948657,1,2,2
LOC105948658,1,4,4
LOC105948659,1,6,6
LOC105948660,1,5,5
LOC105948661,2,13,8
LOC105948662,1,8,8
LOC105948663,1,14,14
LOC105948664,1,2,2
LOC105948665,1,9,9
LOC105948666,1,4,4
LOC105948668,1,3,3
LOC105948669,1,3,3
LOC105948670,3,67,27
LOC105948671,1,9,9
LOC105948672,1,7,7
LOC105948673,1,10,10
LOC105948674,1,2,2
LOC105948675,1,12,12
LOC105948676,1,3,3
LOC105948678,1,2,2
LOC105948679,1,12,12
LOC105948680,1,7,7
LOC105948681,1,1,1
LOC105948682,8,32,8
LOC105948683,1,3,3
LOC105948684,1,9,9
LOC105948685,1,10,10
LOC105948686,1,14,14
LOC105948687,1,8,8
LOC105948688,1,1,1
LOC105948691,1,13,13
LOC105948694,1,2,2
LOC105948695,1,9,9
LOC105948696,1,9,9
LOC105948697,1,1,1
LOC105948698,1,1,1
LOC105948699,1,11,11
LOC105948700,1,2,2
LOC105948701,1,3,3
LOC105948703,1,4,4
LOC105948704,1,2,2
LOC105948705,1,5,5
LOC105948706,1,4,4
LOC105948707,1,1,1
LOC105948709,1,2,2
LOC105948710,1,1,1
LOC105948711,1,1,1
LOC105948712,1,8,8
LOC105948713,1,2,2
LOC105948714,1,1,1
LOC105948715,1,15,15
LOC105948716,1,9,9
LOC105948717,1,1,1
LOC105948718,1,2,2
LOC105948719,1,3,3
LOC105948720,1,1,1
LOC105948721,1,6,6
LOC105948722,1,5,5
LOC105948723,1,1,1
LOC105948724,1,2,2
LOC105948725,1,1,1
LOC105948726,1,1,1
LOC105948727,1,3,3
LOC105948729,1,1,1
LOC105948730,1,3,3
LOC105948731,1,3,3
LOC105948732,1,3,3
LOC105948733,1,3,3
LOC105948734,1,1,1
LOC105948735,1,6,6
LOC105948736,1,2,2
LOC105948737,1,1,1
LOC105948738,1,1,1
LOC105948739,1,4,4
LOC105948740,1,3,3
LOC105948741,1,4,4
LOC105948742,1,1,1
LOC105948743,1,6,6
LOC105948744,1,1,1
LOC105948745,1,2,2
LOC105948746,1,6,6
LOC105948747,1,1,1
LOC105948748,1,1,1
LOC105948749,1,3,3
LOC105948750,1,3,3
LOC105948751,1,14,14
LOC105948753,1,1,1
LOC105948754,2,6,4
LOC105948755,1,1,1
LOC105948756,1,2,2
LOC105948757,1,4,4
LOC105948758,1,12,12
LOC105948759,1,10,10
LOC105948760,1,14,14
LOC105948762,1,1,1
LOC105948764,1,2,2
LOC105948765,1,3,3
LOC105948766,1,2,2
LOC105948767,2,54,31
LOC105948768,1,5,5
LOC105948769,1,2,2
LOC105948770,1,9,9
LOC105948771,1,2,2
LOC105948772,1,3,3
LOC105948773,1,8,8
LOC105948774,1,5,5
LOC105948776,1,1,1
LOC105948777,1,6,6
LOC105948778,2,12,8
LOC105948779,1,2,2
LOC105948780,1,8,8
LOC105948782,1,28,28
LOC105948783,1,1,1
LOC105948784,1,7,7
LOC105948785,1,9,9
LOC105948786,2,18,11
LOC105948787,1,39,39
LOC105948788,1,3,3
LOC105948789,1,2,2
LOC105948790,1,2,2
LOC105948791,1,14,14
LOC105948792,1,4,4
LOC105948793,1,2,2
LOC105948794,1,2,2
LOC105948795,1,2,2
LOC105948796,1,5,5
LOC105948797,1,1,1
LOC105948798,1,8,8
LOC105948799,1,6,6
LOC105948800,1,2,2
LOC105948801,1,2,2
LOC105948802,1,3,3
LOC105948803,1,12,12
LOC105948804,2,10,7
LOC105948805,4,12,6
LOC105948807,1,8,8
LOC105948808,1,5,5
LOC105948809,1,24,24
LOC105948810,2,6,4
LOC105948811,1,7,7
LOC105948812,1,7,7
LOC105948813,1,2,2
LOC105948814,1,5,5
LOC105948815,1,5,5
LOC105948816,1,7,7
LOC105948817,1,4,4
LOC105948818,1,3,3
LOC105948819,1,10,10
LOC105948820,1,9,9
LOC105948821,1,3,3
LOC105948822,2,42,24
LOC105948823,2,10,6
LOC105948824,2,39,21
LOC105948825,1,1,1
LOC105948826,1,1,1
LOC105948827,1,15,15
LOC105948828,1,7,7
LOC105948829,1,5,5
LOC105948830,1,5,5
LOC105948831,2,28,17
LOC105948832,1,5,5
LOC105948833,2,14,9
LOC105948834,2,25,14
LOC105948835,1,5,5
LOC105948836,1,2,2
LOC105948837,1,1,1
LOC105948838,1,12,12
LOC105948839,1,7,7
LOC105948840,1,5,5
LOC105948841,1,1,1
LOC105948842,1,2,2
LOC105948843,2,14,8
LOC105948844,1,3,3
LOC105948845,6,23,9
LOC105948846,1,12,12
LOC105948847,1,1,1
LOC105948848,1,14,14
LOC105948849,1,18,18
LOC105948850,2,20,12
LOC105948851,1,8,8
LOC105948852,1,3,3
