transcript_id,num_exon
LOC100385012,3
LOC100385701,2
LOC100385731,8
LOC100385955,2
LOC100387623,2
LOC100388240,2
LOC100389331,2
LOC100389695,2
LOC100390503,2
LOC100390506,2
LOC100390994,2
LOC100391137,2
LOC100391495,2
LOC100391971,2
LOC100392337,3
LOC100393679,2
LOC100393801,2
LOC100394143,3
LOC100394514,2
LOC100394874,2
LOC100395241,2
LOC100397395,2
LOC100398842,2
LOC100399083,2
LOC100399569,3
LOC100405761,4
LOC100406126,2
LOC100406154,4
LOC100406522,2
LOC100407589,2
LOC100407950,2
LOC100408416,2
LOC100409764,2
LOC100411208,2
LOC100411923,2
LOC100411927,4
LOC100412408,1
LOC100412632,5
LOC100414797,2
LOC100415511,2
LOC100894463,4
LOC100895964,2
LOC100896137,5
LOC100896509,1
LOC100896564,2
LOC103787264,3
LOC103787848,2
LOC103787850,2
LOC103787851,2
LOC103788440,10
LOC103790565,5
LOC103790588,2
LOC103790589,2
LOC103790590,2
LOC103790592,2
LOC103790604,2
LOC103790605,4
LOC103790682,2
LOC103790854,2
LOC103790864,2
LOC103790865,2
LOC103791003,2
LOC103791018,2
LOC103791027,2
LOC103791031,2
LOC103791034,2
LOC103791049,2
LOC103791110,2
LOC103791117,2
LOC103791137,2
LOC103791311,2
LOC103791323,2
LOC103793557,2
LOC103794988,2
LOC103794992,2
LOC103795022,2
LOC103795023,2
LOC103795667,2
LOC103795671,6
LOC103795674,3
LOC103795675,4
LOC103795710,4
LOC103795978,5
LOC103795982,2
LOC103795983,2
LOC103795985,6
LOC103795987,2
LOC103795988,2
LOC103795989,2
LOC103795991,2
LOC108588106,2
LOC108588107,2
LOC108588272,4
LOC108590489,2
LOC108590524,5
LOC108592923,1
LOC108592924,3
LOC108592926,2
LOC108593431,2
LOC108593432,2
LOC108593911,4
LOC118142807,2
LOC118142813,2
LOC118142815,2
LOC118142851,2
LOC118143562,2
LOC118143574,4
LOC118143584,2
LOC118143587,2
LOC118143602,3
LOC118143723,2
LOC118143760,2
LOC118143761,3
LOC118143762,3
LOC118143816,2
LOC118144075,2
LOC118144883,2
LOC118144884,4
LOC118144885,5
LOC118144886,2
LOC118144887,4
LOC118144888,2
LOC118144889,3
LOC118144890,3
LOC118145095,2
LOC118145096,2
LOC118145097,2
LOC118145098,2
