gene_id,num_transcript,num_exon,num_uniq_exon
CC85DRAFT_100090,1,1,1
CC85DRAFT_100431,1,3,3
CC85DRAFT_100514,1,5,5
CC85DRAFT_100539,1,1,1
CC85DRAFT_100607,1,1,1
CC85DRAFT_100675,1,4,4
CC85DRAFT_100843,1,2,2
CC85DRAFT_101080,1,4,4
CC85DRAFT_101425,1,2,2
CC85DRAFT_101518,1,4,4
CC85DRAFT_101612,1,4,4
CC85DRAFT_101637,1,1,1
CC85DRAFT_101955,1,6,6
CC85DRAFT_10197,1,1,1
CC85DRAFT_101985,1,3,3
CC85DRAFT_10243,1,4,4
CC85DRAFT_102798,1,7,7
CC85DRAFT_103035,1,7,7
CC85DRAFT_103115,1,6,6
CC85DRAFT_103441,1,9,9
CC85DRAFT_10377,1,2,2
CC85DRAFT_103843,1,1,1
CC85DRAFT_104583,1,2,2
CC85DRAFT_104815,1,2,2
CC85DRAFT_105204,1,4,4
CC85DRAFT_105257,1,3,3
CC85DRAFT_105324,1,1,1
CC85DRAFT_105498,1,1,1
CC85DRAFT_105615,1,3,3
CC85DRAFT_105626,1,6,6
CC85DRAFT_105683,1,2,2
CC85DRAFT_105714,1,1,1
CC85DRAFT_105717,1,1,1
CC85DRAFT_106836,1,1,1
CC85DRAFT_10719,1,2,2
CC85DRAFT_107212,1,3,3
CC85DRAFT_107268,1,5,5
CC85DRAFT_10745,1,3,3
CC85DRAFT_107510,1,12,12
CC85DRAFT_107525,1,2,2
CC85DRAFT_107577,1,1,1
CC85DRAFT_1077,1,4,4
CC85DRAFT_10775,1,3,3
CC85DRAFT_10786,1,1,1
CC85DRAFT_107865,1,3,3
CC85DRAFT_107908,1,5,5
CC85DRAFT_108079,1,13,13
CC85DRAFT_108158,1,2,2
CC85DRAFT_108211,1,1,1
CC85DRAFT_108549,1,3,3
CC85DRAFT_108936,1,1,1
CC85DRAFT_109113,1,1,1
CC85DRAFT_109460,1,1,1
CC85DRAFT_109529,1,1,1
CC85DRAFT_109682,1,1,1
CC85DRAFT_109856,1,5,5
CC85DRAFT_110091,1,4,4
CC85DRAFT_110242,1,1,1
CC85DRAFT_110243,1,1,1
CC85DRAFT_110253,1,2,2
CC85DRAFT_110259,1,1,1
CC85DRAFT_110309,1,2,2
CC85DRAFT_110351,1,1,1
CC85DRAFT_110573,1,4,4
CC85DRAFT_110607,1,3,3
CC85DRAFT_111250,1,2,2
CC85DRAFT_111456,1,8,8
CC85DRAFT_111565,1,1,1
CC85DRAFT_111651,1,1,1
CC85DRAFT_111793,1,4,4
CC85DRAFT_112298,1,1,1
CC85DRAFT_112374,1,2,2
CC85DRAFT_112412,1,10,10
CC85DRAFT_112550,1,3,3
CC85DRAFT_112635,1,1,1
CC85DRAFT_112636,1,2,2
CC85DRAFT_112688,1,3,3
CC85DRAFT_113593,1,4,4
CC85DRAFT_11421,1,1,1
CC85DRAFT_114349,1,2,2
CC85DRAFT_114352,1,6,6
CC85DRAFT_114458,1,4,4
CC85DRAFT_11457,1,2,2
CC85DRAFT_115087,1,1,1
CC85DRAFT_11516,1,1,1
CC85DRAFT_115217,1,1,1
CC85DRAFT_115293,1,5,5
CC85DRAFT_115769,1,4,4
CC85DRAFT_116289,1,1,1
CC85DRAFT_117020,1,5,5
CC85DRAFT_11712,1,3,3
CC85DRAFT_117143,1,1,1
