transcript_id,num_exon
XM_003833443.1,1
XM_003833446.1,2
XM_003833447.1,1
XM_003833448.1,3
XM_003833453.1,1
XM_003833459.1,2
XM_003833469.1,2
XM_003833471.1,1
XM_003833474.1,2
XM_003833481.1,2
XM_003833482.1,3
XM_003833484.1,2
XM_003833485.1,2
XM_003833489.1,2
XM_003833495.1,3
XM_003833498.1,1
XM_003833502.1,3
XM_003833509.1,1
XM_003833511.1,2
XM_003833512.1,2
XM_003833524.1,1
XM_003833530.1,3
XM_003833531.1,1
XM_003833532.1,3
XM_003833533.1,6
XM_003833539.1,2
XM_003833547.1,1
XM_003833556.1,2
XM_003833567.1,1
XM_003833571.1,2
XM_003833573.1,2
XM_003833576.1,1
XM_003833578.1,3
XM_003833579.1,4
XM_003833609.1,1
XM_003833612.1,1
XM_003833613.1,3
XM_003833617.1,3
XM_003833618.1,2
XM_003833619.1,3
XM_003833624.1,1
XM_003833625.1,1
XM_003833626.1,2
XM_003833648.1,2
XM_003833659.1,3
XM_003833664.1,2
XM_003833668.1,1
XM_003833669.1,2
XM_003833671.1,3
XM_003833672.1,1
XM_003833674.1,2
XM_003833678.1,2
XM_003833682.1,2
XM_003833684.1,2
XM_003833687.1,2
XM_003833689.1,1
XM_003833691.1,1
XM_003833693.1,1
XM_003833696.1,2
XM_003833697.1,2
XM_003833699.1,6
XM_003833709.1,1
XM_003833712.1,1
XM_003833716.1,2
XM_003833717.1,7
XM_003833720.1,3
XM_003833721.1,2
XM_003833733.1,2
XM_003833740.1,4
XM_003833745.1,1
XM_003833749.1,5
XM_003833753.1,1
XM_003833757.1,2
XM_003833758.1,2
XM_003833759.1,2
XM_003833761.1,2
XM_003833764.1,2
XM_003833767.1,1
XM_003833768.1,2
XM_003833769.1,1
XM_003833777.1,2
XM_003833779.1,2
XM_003833780.1,4
XM_003833783.1,2
XM_003833785.1,3
XM_003833786.1,4
XM_003833789.1,3
XM_003833791.1,3
XM_003833792.1,2
XM_003833793.1,2
XM_003833797.1,4
XM_003833803.1,1
XM_003833805.1,2
XM_003833809.1,2
XM_003833815.1,5
XM_003833817.1,2
XM_003833819.1,1
XM_003833820.1,2
XM_003833824.1,2
XM_003833831.1,2
XM_003833832.1,1
XM_003833833.1,3
XM_003833835.1,1
XM_003833842.1,2
XM_003833848.1,2
XM_003833853.1,2
XM_003833855.1,2
XM_003833856.1,6
XM_003833857.1,1
XM_003833858.1,4
XM_003833860.1,1
XM_003833862.1,2
XM_003833864.1,2
XM_003833873.1,5
