gene_id,num_transcript,num_exon,num_uniq_exon
ISF_00002,1,1,1
ISF_00047,1,1,1
ISF_00048,1,1,1
ISF_00049,1,1,1
ISF_00058,1,1,1
ISF_00059,1,2,2
ISF_00075,1,2,2
ISF_00084,1,2,2
ISF_00086,1,4,4
ISF_00098,1,1,1
ISF_00119,1,1,1
ISF_00135,1,2,2
ISF_00171,1,1,1
ISF_00224,1,1,1
ISF_00227,1,1,1
ISF_00237,1,1,1
ISF_00249,1,1,1
ISF_00288,1,1,1
ISF_00296,1,1,1
ISF_00301,1,2,2
ISF_00382,1,2,2
ISF_00430,1,2,2
ISF_00449,1,3,3
ISF_00454,1,4,4
ISF_00468,1,6,6
ISF_00470,1,1,1
ISF_00505,1,2,2
ISF_00506,1,2,2
ISF_00518,1,2,2
ISF_00588,1,2,2
ISF_00593,1,2,2
ISF_00598,1,1,1
ISF_00603,1,1,1
ISF_00609,1,3,3
ISF_00610,1,1,1
ISF_00670,1,2,2
ISF_00724,1,2,2
ISF_00731,1,1,1
ISF_00732,1,4,4
ISF_00756,1,1,1
ISF_00908,1,1,1
ISF_00932,1,1,1
ISF_00978,1,3,3
ISF_00995,1,2,2
ISF_01009,1,1,1
ISF_01015,1,1,1
ISF_01056,1,1,1
ISF_01091,1,2,2
ISF_01107,1,3,3
ISF_01111,1,1,1
ISF_01113,1,2,2
ISF_01123,1,2,2
ISF_01125,1,2,2
ISF_01137,1,2,2
ISF_01142,1,4,4
ISF_01156,1,4,4
ISF_01157,1,1,1
ISF_01181,1,3,3
ISF_01243,1,2,2
ISF_01266,1,1,1
ISF_01268,1,2,2
ISF_01270,1,2,2
ISF_01278,1,3,3
ISF_01279,1,1,1
ISF_01317,1,2,2
ISF_01369,1,2,2
ISF_01412,1,2,2
ISF_01414,1,1,1
ISF_01419,1,1,1
ISF_01423,1,2,2
ISF_01431,1,2,2
ISF_01436,1,1,1
ISF_01447,1,4,4
ISF_01494,1,2,2
ISF_01496,1,1,1
ISF_01540,1,1,1
ISF_01571,1,1,1
ISF_01618,1,1,1
ISF_01647,1,2,2
ISF_01663,1,1,1
ISF_01686,1,1,1
ISF_01696,1,3,3
ISF_01700,1,2,2
ISF_01702,1,1,1
ISF_01719,1,2,2
ISF_01720,1,2,2
ISF_01732,1,1,1
ISF_01735,1,2,2
ISF_01751,1,1,1
ISF_01757,1,1,1
ISF_01766,1,2,2
ISF_01771,1,2,2
ISF_01772,1,1,1
ISF_01799,1,1,1
ISF_01803,1,3,3
ISF_01814,1,1,1
ISF_01833,1,2,2
ISF_01849,1,2,2
ISF_01853,1,2,2
ISF_01878,1,1,1
ISF_01890,1,1,1
ISF_01926,1,1,1
ISF_01958,1,2,2
ISF_01961,1,2,2
ISF_01998,1,4,4
ISF_02009,1,1,1
ISF_02105,1,1,1
ISF_02106,1,1,1
ISF_02113,1,1,1
ISF_02129,1,2,2
ISF_02132,1,1,1
ISF_02195,1,1,1
ISF_02249,1,1,1
ISF_02250,1,2,2
ISF_02270,1,2,2
ISF_02277,1,1,1
ISF_02278,1,1,1
ISF_02279,1,1,1
ISF_02289,1,2,2
ISF_02299,1,2,2
ISF_02322,1,2,2
ISF_02323,1,2,2
ISF_02328,1,2,2
ISF_02334,1,1,1
ISF_02335,1,2,2
ISF_02347,1,1,1
ISF_02365,1,1,1
ISF_02522,1,3,3
ISF_02546,1,1,1
ISF_02582,1,2,2
ISF_02585,1,1,1
ISF_02591,1,1,1
ISF_02592,1,1,1
ISF_02634,1,4,4
ISF_02684,1,1,1
ISF_02693,1,2,2
ISF_02739,1,1,1
ISF_02747,1,3,3
ISF_02788,1,2,2
ISF_02834,1,1,1
ISF_02839,1,1,1
ISF_02857,1,2,2
ISF_02880,1,1,1
ISF_02900,1,4,4
ISF_02920,1,2,2
ISF_02923,1,1,1
ISF_02924,1,2,2
ISF_02927,1,2,2
ISF_02931,1,1,1
ISF_02961,1,1,1
ISF_03021,1,2,2
ISF_03023,1,2,2
ISF_03077,1,2,2
ISF_03106,1,2,2
ISF_03111,1,2,2
ISF_03112,1,3,3
ISF_03129,1,1,1
ISF_03136,1,2,2
ISF_03162,1,1,1
ISF_03192,1,3,3
ISF_03242,1,1,1
ISF_03248,1,1,1
ISF_03259,1,1,1
ISF_03261,1,1,1
ISF_03274,1,1,1
ISF_03290,1,2,2
ISF_03303,1,3,3
ISF_03328,1,2,2
ISF_03550,1,2,2
ISF_03566,1,2,2
ISF_03646,1,1,1
