gene_id,num_transcript,num_exon,num_uniq_exon
A1CF,2,24,13
A2ML1,1,36,36
A4GALT,3,7,5
AAAS,18,310,35
AACS,1,18,18
AAGAB,2,19,11
AAK1,32,604,43
AAMDC,4,16,7
AANAT,2,8,5
AAR2,2,8,5
AARS1,2,41,22
AARS2,1,22,22
AASDH,8,127,24
AASDHPPT,4,24,8
AASS,4,90,26
AATF,3,35,14
AATK,3,40,16
ABAT,2,32,17
ABCA1,7,350,54
ABCA12,1,53,53
ABCA13,1,62,62
ABCA2,4,200,53
ABCA3,5,159,38
ABCA4,1,50,50
ABCA5,3,114,45
ABCA7,11,537,59
ABCB1,4,114,35
ABCB10,3,39,16
ABCB11,1,21,21
ABCB5,10,295,39
ABCB6,5,100,26
ABCB7,2,32,17
ABCB8,4,59,18
ABCB9,10,133,25
ABCC10,4,88,25
ABCC12,9,269,36
ABCC2,2,64,34
ABCC3,6,159,39
ABCC4,8,211,41
ABCC5,7,148,37
ABCC8,8,307,43
ABCC9,3,120,44
ABCD2,1,10,10
ABCD3,5,110,29
ABCD4,15,247,34
ABCE1,9,168,31
ABCF1,3,83,31
ABCF3,3,62,23
ABCG1,3,45,17
ABCG4,4,62,21
ABHD1,4,35,13
ABHD10,3,15,8
ABHD11,2,11,7
ABHD12,2,26,14
ABHD12B,1,13,13
ABHD13,2,5,4
ABHD14A,7,35,11
ABHD14B,1,4,4
ABHD15,1,4,4
ABHD16A,2,39,21
ABHD16B,1,1,1
ABHD17A,4,19,8
ABHD17B,2,8,5
ABHD17C,1,3,3
ABHD18,7,87,19
ABHD2,3,33,15
ABHD3,4,35,13
ABHD4,2,14,8
ABHD5,2,15,9
ABHD6,11,110,21
ABHD8,3,16,8
ABI1,15,154,23
ABI2,17,182,27
ABI3,4,34,13
ABITRAM,3,18,10
ABL1,5,58,17
ABL2,3,33,13
ABLIM1,7,157,32
ABLIM2,21,420,30
ABLIM3,10,214,28
ABR,5,109,27
ABRA,1,2,2
ABRACL,3,11,7
ABRAXAS1,2,18,11
ABRAXAS2,1,9,9
ABT1,3,15,8
ABTB1,3,35,15
ABTB2,2,35,19
ACAA1,3,33,13
ACAA2,2,20,11
ACACA,9,510,66
ACACB,6,298,60
ACAD10,6,122,25
ACAD11,6,118,25
ACAD8,2,22,12
ACAD9,2,35,19
ACADL,2,22,12
ACADM,2,24,13
ACADS,1,10,10
ACADSB,3,31,13
ACADVL,4,77,25
ACAN,2,37,20
ACAP2,4,94,26
ACAP3,6,151,32
ACAT1,2,24,13
ACAT2,1,9,9
ACBD3,1,8,8
ACBD4,6,59,16
ACBD5,8,97,23
ACBD6,2,17,11
ACBD7,1,4,4
ACCS,5,72,20
ACE,2,53,30
ACE2,2,37,20
ACER1,1,6,6
ACER2,4,23,8
ACER3,3,33,13
ACHE,2,7,5
ACIN1,1,17,17
ACKR1,1,3,3
ACKR2,3,7,6
ACKR3,6,14,9
ACKR4,5,14,7
ACLY,4,114,32
ACMSD,2,19,11
ACO1,8,172,30
ACO2,1,18,18
ACOD1,2,9,6
ACOT11,9,152,26
ACOT12,2,29,16
ACOT13,3,9,5
ACOT7,3,29,11
ACOT8,2,11,7
ACOT9,7,106,22
ACOX1,3,41,17
ACOX2,1,15,15
ACOX3,9,157,32
ACP1,2,12,7
ACP2,2,21,12
ACP5,4,22,9
ACP6,4,40,14
ACP7,1,14,14
ACR,1,6,6
ACSBG1,1,15,15
ACSBG2,6,92,21
ACSF2,1,16,16
ACSF3,9,87,21
ACSL1,4,84,24
ACSL3,14,212,30
ACSL4,7,112,28
ACSL5,1,21,21
ACSL6,5,109,27
ACSS1,5,68,19
ACSS2,4,74,25
ACSS3,1,16,16
ACTA1,2,14,8
ACTA2,1,9,9
ACTB,2,12,7
ACTBL2,1,6,6
ACTC1,2,13,9
ACTG1,2,12,8
ACTG2,1,8,8
ACTL10,1,1,1
ACTL6A,1,14,14
ACTL7A,1,1,1
ACTL8,2,6,4
ACTL9,1,1,1
ACTN1,5,106,26
ACTN2,1,21,21
ACTN3,1,21,21
ACTN4,3,57,24
ACTR10,1,13,13
ACTR1A,2,22,12
ACTR1B,1,11,11
ACTR2,2,19,11
ACTR3,1,12,12
ACTR3B,1,14,14
ACTR5,1,9,9
ACTR6,7,78,17
ACTR8,2,27,16
ACTRT3,1,2,2
ACVR1,9,89,16
ACVR1B,2,18,10
ACVR1C,2,18,10
ACVR2A,3,36,15
ACVR2B,4,46,15
ACVRL1,3,31,13
ACY1,5,73,18
ACY3,6,47,14
ACYP1,2,5,4
ACYP2,7,32,15
ADA2,7,70,21
ADAD1,10,118,21
ADAD2,3,27,13
ADAL,6,66,19
ADAM10,1,16,16
ADAM11,6,160,34
ADAM12,1,23,23
ADAM15,14,321,33
ADAM17,1,19,19
ADAM19,7,160,28
ADAM22,19,591,47
ADAM23,14,369,44
ADAM32,1,21,21
ADAM33,5,108,28
ADAM8,3,77,29
ADAMTS1,1,9,9
ADAMTS10,1,25,25
ADAMTS12,3,71,25
ADAMTS13,3,98,36
ADAMTS14,1,22,22
ADAMTS15,1,8,8
ADAMTS17,2,47,25
ADAMTS18,2,43,25
ADAMTS19,1,23,23
ADAMTS2,14,308,35
ADAMTS20,4,154,41
ADAMTS3,1,22,22
ADAMTS4,1,9,9
ADAMTS5,1,8,8
ADAMTS6,4,91,28
ADAMTS7,11,274,36
ADAMTS8,1,9,9
ADAMTS9,7,276,48
ADAMTSL1,7,214,38
ADAMTSL2,2,36,19
ADAMTSL3,6,177,38
ADAMTSL4,3,56,21
ADAMTSL5,1,12,12
ADAP1,4,42,14
ADAP2,5,52,14
ADAR,7,103,22
ADARB1,6,67,15
ADARB2,2,19,10
ADAT1,16,145,24
