transcript_id,num_exon
XM_021779246.1,14
XM_021779248.1,5
XM_021779249.1,18
XM_021779250.1,6
XM_021779251.1,6
XM_021779252.1,7
XM_021779253.1,7
XM_021779254.1,7
XM_021779255.1,7
XM_021779256.1,7
XM_021779257.1,8
XM_021779258.1,8
XM_021779259.1,8
XM_021779260.1,7
XM_021779261.1,1
XM_021779262.1,1
XM_021779263.1,5
XM_021779264.1,2
XM_021779265.1,3
XM_021779266.1,17
XM_021779267.1,7
XM_021779268.1,1
XM_021779269.1,8
XM_021779270.1,8
XM_021779271.1,1
XM_021779272.1,1
XM_021779273.1,1
XM_021779274.1,4
XM_021779275.1,3
XM_021779276.1,6
XM_021779277.1,3
XM_021779278.1,20
XM_021779279.1,20
XM_021779280.1,14
XM_021779281.1,13
XM_021779282.1,13
XM_021779283.1,13
XM_021779284.1,7
XM_021779285.1,12
XM_021779286.1,4
XM_021779287.1,5
XM_021779288.1,3
XM_021779289.1,4
XM_021779290.1,1
XM_021779291.1,4
XM_021779292.1,1
XM_021779294.1,1
XM_021779295.1,2
XM_021779296.1,5
XM_021779297.1,1
XM_021779298.1,1
XM_021779299.1,1
XM_021779300.1,5
XM_021779301.1,15
XM_021779302.1,14
XM_021779303.1,9
XM_021779304.1,8
XM_021779305.1,3
XM_021779306.1,11
XM_021779307.1,11
XM_021779308.1,11
XM_021779309.1,17
XM_021779310.1,18
XM_021779311.1,11
XM_021779312.1,3
XM_021779313.1,20
XM_021779314.1,19
XM_021779315.1,5
XM_021779316.1,12
XM_021779317.1,8
XM_021779318.1,8
XM_021779319.1,9
XM_021779320.1,10
XM_021779321.1,5
XM_021779322.1,3
XM_021779323.1,9
XM_021779324.1,9
XM_021779325.1,9
XM_021779326.1,9
XM_021779328.1,11
XM_021779329.1,10
XM_021779330.1,2
XM_021779331.1,6
XM_021779332.1,10
XM_021779333.1,1
XM_021779334.1,3
XM_021779335.1,3
XM_021779336.1,2
XM_021779337.1,2
XM_021779338.1,3
XM_021779339.1,4
XM_021779340.1,2
XM_021779341.1,1
XM_021779342.1,14
XM_021779343.1,13
XM_021779344.1,13
XM_021779345.1,13
XM_021779346.1,8
XM_021779347.1,8
XM_021779348.1,8
XM_021779349.1,8
XM_021779350.1,12
XM_021779352.1,8
XM_021779353.1,8
XM_021779354.1,8
XM_021779355.1,2
XM_021779356.1,22
XM_021779357.1,6
XM_021779358.1,6
XM_021779359.1,6
XM_021779360.1,9
XM_021779361.1,2
XM_021779362.1,2
XM_021779363.1,4
XM_021779364.1,3
XM_021779365.1,4
XM_021779366.1,4
XM_021779367.1,1
XM_021779368.1,5
XM_021779369.1,6
XM_021779370.1,6
XM_021779371.1,4
XM_021779372.1,6
XM_021779373.1,7
XM_021779374.1,4
XM_021779375.1,3
XM_021779376.1,4
XM_021779377.1,3
XM_021779378.1,1
XM_021779379.1,2
XM_021779380.1,6
XM_021779382.1,3
XM_021779383.1,9
XM_021779384.1,9
XM_021779385.1,8
XM_021779386.1,3
XM_021779387.1,3
XM_021779388.1,4
XM_021779389.1,3
XM_021779390.1,3
XM_021779391.1,3
XM_021779392.1,3
XM_021779393.1,5
XM_021779394.1,4
XM_021779395.1,7
XM_021779396.1,2
XM_021779397.1,3
XM_021779398.1,3
XM_021779399.1,4
XM_021779400.1,4
XM_021779401.1,4
XM_021779402.1,4
XM_021779403.1,5
XM_021779405.1,7
XM_021779406.1,5
XM_021779407.1,4
XM_021779408.1,21
XM_021779409.1,19
XM_021779410.1,1
XM_021779411.1,1
XM_021779412.1,7
XM_021779413.1,4
XM_021779414.1,8
XM_021779415.1,8
XM_021779416.1,10
XM_021779417.1,9
XM_021779418.1,2
XM_021779419.1,6
XM_021779420.1,14
XM_021779421.1,7
XM_021779422.1,8
XM_021779423.1,2
XM_021779424.1,5
XM_021779425.1,6
XM_021779426.1,6
XM_021779427.1,6
XM_021779428.1,3
XM_021779429.1,13
XM_021779430.1,6
XM_021779431.1,3
XM_021779432.1,48
XM_021779433.1,48
XM_021779434.1,3
XM_021779435.1,9
XM_021779436.1,9
XM_021779437.1,10
XM_021779438.1,9
XM_021779439.1,8
XM_021779440.1,3
XM_021779441.1,6
XM_021779442.1,3
XM_021779443.1,9
XM_021779444.1,14
XM_021779445.1,1
XM_021779446.1,8
XM_021779447.1,6
XM_021779448.1,13
XM_021779449.1,12
XM_021779450.1,12
XM_021779451.1,4
XM_021779452.1,2
XM_021779453.1,2
XM_021779454.1,8
XM_021779455.1,1
XM_021779456.1,5
XM_021779457.1,5
XM_021779458.1,4
XM_021779459.1,7
XM_021779460.1,6
XM_021779461.1,8
XM_021779462.1,7
XM_021779463.1,7
XM_021779464.1,1
XM_021779465.1,1
XM_021779466.1,2
XM_021779467.1,2
XM_021779468.1,6
XM_021779469.1,7
XM_021779470.1,7
XM_021779471.1,2
XM_021779472.1,6
XM_021779473.1,7
XM_021779474.1,7
XM_021779475.1,7
XM_021779476.1,5
XM_021779477.1,6
XM_021779478.1,11
XM_021779479.1,10
XM_021779480.1,11
XM_021779481.1,9
XM_021779482.1,1
XM_021779483.1,17
XM_021779484.1,16
XM_021779485.1,16
XM_021779486.1,1
XM_021779487.1,21
XM_021779488.1,7
XM_021779489.1,7
XM_021779490.1,1
XM_021779491.1,2
XM_021779492.1,8
XM_021779493.1,8
XM_021779494.1,3
XM_021779495.1,21
XM_021779496.1,34
XM_021779497.1,2
XM_021779499.1,1
XM_021779500.1,3
XM_021779501.1,1
XM_021779502.1,20
XM_021779503.1,3
XM_021779504.1,1
XM_021779505.1,6
XM_021779506.1,6
XM_021779507.1,6
XM_021779508.1,6
XM_021779509.1,9
XM_021779510.1,20
XM_021779511.1,2
XM_021779512.1,5
XM_021779513.1,5
XM_021779514.1,5
XM_021779515.1,5
XM_021779516.1,4
XM_021779517.1,5
XM_021779518.1,22
XM_021779519.1,5
XM_021779520.1,4
XM_021779521.1,4
XM_021779522.1,12
XM_021779523.1,4
XM_021779524.1,5
XM_021779525.1,10
XM_021779527.1,22
XM_021779528.1,6
XM_021779529.1,4
XM_021779530.1,1
XM_021779531.1,9
XM_021779532.1,1
XM_021779533.1,20
XM_021779534.1,20
XM_021779535.1,21
XM_021779536.1,21
XM_021779537.1,20
XM_021779538.1,21
XM_021779539.1,2
XM_021779540.1,8
XM_021779541.1,9
XM_021779542.1,10
XM_021779543.1,21
XM_021779544.1,10
XM_021779545.1,11
XM_021779546.1,11
XM_021779547.1,5
XM_021779548.1,6
XM_021779549.1,6
XM_021779550.1,10
XM_021779551.1,11
XM_021779552.1,11
XM_021779553.1,11
XM_021779554.1,11
XM_021779555.1,8
XM_021779556.1,1
XM_021779557.1,6
XM_021779558.1,7
XM_021779559.1,6
XM_021779560.1,3
XM_021779561.1,7
XM_021779563.1,1
XM_021779564.1,11
XM_021779566.1,13
XM_021779567.1,4
XM_021779568.1,11
XM_021779569.1,2
XM_021779570.1,2
XM_021779571.1,2
XM_021779572.1,2
XM_021779573.1,3
XM_021779574.1,2
XM_021779575.1,6
XM_021779576.1,9
XM_021779577.1,4
XM_021779578.1,1
XM_021779579.1,3
XM_021779580.1,2
XM_021779581.1,3
XM_021779582.1,1
XM_021779583.1,2
XM_021779584.1,5
XM_021779585.1,1
XM_021779586.1,7
XM_021779587.1,1
XM_021779588.1,8
XM_021779589.1,1
XM_021779590.1,18
XM_021779591.1,8
XM_021779592.1,9
XM_021779593.1,4
XM_021779594.1,9
XM_021779595.1,7
XM_021779596.1,7
XM_021779597.1,4
XM_021779598.1,4
XM_021779599.1,4
XM_021779600.1,1
XM_021779601.1,6
XM_021779602.1,9
XM_021779603.1,1
XM_021779604.1,7
XM_021779605.1,5
XM_021779606.1,5
XM_021779607.1,3
XM_021779608.1,3
XM_021779609.1,6
XM_021779610.1,3
XM_021779611.1,4
XM_021779612.1,5
XM_021779613.1,4
XM_021779614.1,18
XM_021779615.1,19
XM_021779616.1,3
XM_021779617.1,3
XM_021779618.1,4
XM_021779619.1,5
XM_021779620.1,5
XM_021779621.1,4
XM_021779622.1,4
XM_021779623.1,1
XM_021779624.1,4
XM_021779625.1,7
XM_021779626.1,3
XM_021779627.1,4
XM_021779628.1,14
XM_021779629.1,14
XM_021779630.1,14
XM_021779631.1,14
XM_021779632.1,13
XM_021779633.1,13
XM_021779634.1,4
XM_021779635.1,4
XM_021779636.1,12
XM_021779637.1,11
XM_021779638.1,11
XM_021779639.1,11
XM_021779640.1,10
XM_021779641.1,6
XM_021779642.1,5
XM_021779643.1,7
XM_021779644.1,7
XM_021779645.1,6
XM_021779646.1,7
XM_021779647.1,7
XM_021779648.1,1
XM_021779649.1,17
XM_021779650.1,17
XM_021779651.1,11
XM_021779652.1,4
XM_021779653.1,2
XM_021779654.1,7
XM_021779655.1,18
XM_021779656.1,3
XM_021779657.1,4
XM_021779658.1,5
XM_021779659.1,6
XM_021779660.1,9
XM_021779661.1,10
XM_021779662.1,8
XM_021779663.1,20
XM_021779664.1,21
XM_021779665.1,4
XM_021779666.1,17
XM_021779667.1,17
XM_021779668.1,4
XM_021779669.1,7
XM_021779670.1,6
XM_021779671.1,14
XM_021779672.1,14
XM_021779673.1,14
XM_021779674.1,14
XM_021779675.1,14
XM_021779676.1,14
XM_021779677.1,4
XM_021779678.1,5
XM_021779679.1,3
XM_021779681.1,4
XM_021779682.1,4
XM_021779683.1,4
XM_021779684.1,3
XM_021779685.1,3
XM_021779686.1,3
XM_021779687.1,3
XM_021779688.1,3
XM_021779689.1,1
XM_021779690.1,6
XM_021779691.1,2
XM_021779692.1,6
XM_021779693.1,11
XM_021779694.1,11
XM_021779695.1,2
XM_021779696.1,5
XM_021779698.1,1
XM_021779699.1,15
XM_021779700.1,2
XM_021779701.1,1
XM_021779702.1,3
XM_021779703.1,2
XM_021779704.1,2
XM_021779705.1,1
XM_021779706.1,7
XM_021779707.1,2
XM_021779708.1,14
XM_021779709.1,3
XM_021779710.1,3
