transcript_id,num_exon
NM_001302708.1,9
NM_001302709.1,3
NM_001302710.1,9
NM_001302711.1,7
NM_001302712.1,3
NM_001302713.1,10
NM_001302714.1,12
NM_001302715.1,15
NM_001302716.1,13
NM_001302717.1,11
NM_001302718.1,3
NM_001302719.1,14
NM_001302720.1,9
NM_001302721.1,3
NM_001302722.1,3
NM_001302723.1,9
NM_001302724.1,1
NM_001302725.1,13
NM_001302726.1,14
NM_001302727.1,7
NM_001302728.1,16
NM_001302730.1,8
NM_001302731.1,4
NM_001302732.1,13
NM_001302733.1,3
NM_001302734.1,21
NM_001302735.1,2
NM_001302736.1,12
NM_001302737.1,4
NM_001302738.1,3
NM_001302739.1,16
NM_001319971.1,1
NM_001319972.1,1
NM_001319973.1,2
NM_001319974.1,1
NM_001319975.1,2
XM_010025008.3,8
XM_010025010.3,3
XM_010025011.3,3
XM_010025012.3,10
XM_010025014.3,7
XM_010025015.3,7
XM_010025016.3,7
XM_010025017.3,10
XM_010025019.3,3
XM_010025021.3,10
XM_010025023.3,12
XM_010025027.3,2
XM_010025029.3,2
XM_010025031.3,7
XM_010025032.2,2
XM_010025033.3,9
XM_010025036.3,15
XM_010025038.3,8
XM_010025039.3,12
XM_010025040.3,11
XM_010025044.3,10
XM_010025045.3,2
XM_010025048.3,8
XM_010025050.3,2
XM_010025052.3,3
XM_010025056.3,3
XM_010025063.3,5
XM_010025069.3,3
XM_010025093.2,5
XM_010025095.3,5
XM_010025096.2,6
XM_010025099.3,2
XM_010025100.3,15
XM_010025101.3,20
XM_010025102.3,20
XM_010025104.3,9
XM_010025107.3,3
XM_010025108.3,2
XM_010025109.3,6
XM_010025112.3,7
XM_010025113.3,3
XM_010025114.3,5
XM_010025115.3,5
XM_010025116.3,17
XM_010025117.2,1
XM_010025121.3,7
XM_010025123.3,4
XM_010025124.3,5
XM_010025127.3,1
XM_010025128.3,1
XM_010025129.3,4
XM_010025130.3,1
XM_010025131.3,1
XM_010025132.3,6
XM_010025133.3,4
XM_010025134.3,9
XM_010025135.3,7
XM_010025137.3,15
XM_010025138.3,2
XM_010025139.3,2
XM_010025140.3,5
XM_010025142.3,4
XM_010025145.3,12
XM_010025146.3,1
XM_010025148.3,14
XM_010025150.3,11
XM_010025153.3,14
XM_010025155.3,15
XM_010025156.3,15
XM_010025158.3,1
XM_010025159.3,3
XM_010025161.3,2
XM_010025163.3,6
XM_010025164.3,6
XM_010025167.3,4
XM_010025168.3,3
XM_010025169.3,12
XM_010025171.3,1
XM_010025174.3,5
XM_010025178.3,7
XM_010025179.3,10
XM_010025180.3,5
XM_010025181.3,8
XM_010025182.3,3
XM_010025183.3,7
XM_010025184.3,2
XM_010025187.3,34
XM_010025188.3,34
XM_010025189.3,2
XM_010025190.3,2
XM_010025191.3,2
XM_010025194.3,8
XM_010025196.3,10
XM_010025198.2,6
XM_010025199.2,6
XM_010025201.3,3
XM_010025203.3,4
XM_010025204.3,11
XM_010025205.2,1
XM_010025207.3,6
XM_010025208.3,5
XM_010025209.3,6
XM_010025214.3,10
XM_010025231.3,9
XM_010025232.3,18
XM_010025233.3,3
XM_010025234.3,2
XM_010025235.3,2
XM_010025236.2,2
XM_010025237.3,6
XM_010025242.3,2
XM_010025243.3,4
XM_010025244.3,12
XM_010025245.3,6
XM_010025247.3,6
XM_010025252.3,4
XM_010025253.3,2
XM_010025254.3,5
XM_010025257.3,1
XM_010025262.3,6
XM_010025263.3,4
XM_010025264.3,3
XM_010025266.3,3
XM_010025267.3,3
XM_010025269.2,3
XM_010025270.2,1
XM_010025271.3,14
XM_010025272.3,14
XM_010025277.3,9
XM_010025278.3,14
XM_010025279.3,22
XM_010025281.3,2
XM_010025282.3,10
XM_010025283.3,2
XM_010025284.3,9
XM_010025286.3,15
XM_010025290.3,8
XM_010025292.3,13
XM_010025293.3,5
XM_010025294.3,5
XM_010025295.3,19
XM_010025296.3,3
XM_010025297.3,7
XM_010025298.3,7
XM_010025301.3,1
XM_010025303.3,1
XM_010025304.3,1
XM_010025305.2,1
XM_010025307.3,1
XM_010025310.3,2
XM_010025312.3,7
XM_010025314.3,19
XM_010025319.3,10
XM_010025321.3,8
XM_010025322.3,9
