species,commonName,group,database,taxid,link,filePrefix,num_transcript,num_gene,num_exon,num_uniqExon,min_transcriptPerGene,min_exonPerTranscript,min_exonPerGene,q1_transcriptPerGene,q1_exonPerTranscript,q1_exonPerGene,median_transcriptPerGene,median_exonPerTranscript,median_exonPerGene,q3_transcriptPerGene,q3_exonPerTranscript,q3_exonPerGene,max_transcriptPerGene,max_exonPerTranscript,max_exonPerGene,mean_transcriptPerGene,mean_exonPerTranscript,mean_exonPerGene,std_transcriptPerGene,std_exonPerTranscript,std_exonPerGene
Homo sapiens,Human,mammal,refseq,,,GCF_000001405.39_GRCh38.p13_genomic.novel,39324,22648,134927,92013,1,1,1,1,2,2,1,3,3,2,4,5,34,148,148,1.736312257,3.431161632,4.068703638,1.649796593,2.859947733,3.654210169
Mus musculus,Mouse,mammal,refseq,,,GCF_000001635.27_GRCm39_genomic.novel,33886,20229,107851,72101,1,1,1,1,2,2,1,3,3,2,4,4,50,64,66,1.675119877,3.182759842,3.564733798,1.762619235,2.180230762,3.081376705
Loxodonta africana,African savanna elephant,mammal,refseq,,,GCF_000001905.1_Loxafr3.0_genomic.novel,5910,4736,15698,10674,1,1,1,1,1,1,1,2,1,1,3,3,43,33,38,1.247888514,2.656175973,2.253800676,1.45998936,2.546947894,2.573396984
Danio rerio,zebra fish,actinopterygii,refseq,,,GCF_000002035.6_GRCz11_genomic.novel,18914,15505,48945,35595,1,1,1,1,1,1,1,1,1,1,3,3,47,58,70,1.21986456,2.587765676,2.302547565,0.939043937,3.220207381,2.719655615
Strongylocentrotus purpuratus,purple sea urchin,echinoderm,refseq,,,GCF_000002235.5_Spur_5.0_genomic.novel,19522,16176,110605,79224,1,1,1,1,2,2,1,4,3,1,6,6,48,103,106,1.206849654,5.665659256,4.898182493,1.012865647,7.054076102,5.440004697
Canis lupus familiaris,dog,mammal,refseq,,,GCF_000002285.3_CanFam3.1_genomic.novel,23305,12840,101658,55718,1,1,1,1,3,2,1,4,3,2,5,5,50,69,82,1.815031153,4.362068226,4.3394081,2.257193311,3.603735072,3.756748576
Monodelphis domestica,gray short-tailed opossum,mammal,refseq,,,GCF_000002295.2_MonDom5_genomic.novel,21110,13816,73982,49537,1,1,1,1,2,2,1,3,3,2,4,4,50,156,156,1.527938622,3.504594979,3.585552982,1.321040391,3.370086115,2.892536308
Sus scrofa,pig,mammal,refseq,,,GCF_000003025.6_Sscrofa11.1_genomic.novel,12999,7608,55597,31484,1,1,1,1,2,2,1,3,3,2,5,5,50,42,73,1.708596215,4.277021309,4.138275499,2.086311557,3.846867287,3.966809422
Oryctolagus cuniculus,rabbit,mammal,refseq,,,GCF_000003625.3_OryCun2.0_genomic.novel,6328,4716,22802,15677,1,1,1,1,2,2,1,3,3,1,4,4,30,54,70,1.341815098,3.60335019,3.324215437,1.172772957,4.066120356,2.79869969
Branchiostoma floridae,Florida lancelet,cephalochordate,refseq,,,GCF_000003815.1_Version_2_genomic.novel,5230,5230,17560,17560,1,1,1,1,1,1,1,2,2,1,4,4,1,54,54,1,3.357552581,3.357552581,0,3.329182059,3.329182059
