transcript_id,num_exon
XM_022600351.1,1
XM_022600352.1,1
XM_022600353.1,1
XM_022600354.1,1
XM_022600355.1,1
XM_022600356.1,3
XM_022600357.1,1
XM_022600358.1,1
XM_022600359.1,1
XM_022600360.1,1
XM_022600361.1,1
XM_022600362.1,1
XM_022600363.1,1
XM_022600364.1,1
XM_022600365.1,1
XM_022600366.1,1
XM_022600367.1,1
XM_022600368.1,1
XM_022600369.1,1
XM_022600370.1,1
XM_022600371.1,1
XM_022600373.1,1
XM_022600374.1,1
XM_022600375.1,1
XM_022600376.1,1
XM_022600377.1,1
XM_022600378.1,2
XM_022600379.1,1
XM_022600380.1,1
XM_022600381.1,1
XM_022600382.1,2
XM_022600383.1,2
XM_022600384.1,1
XM_022600385.1,1
XM_022600386.1,1
XM_022600387.1,1
XM_022600388.1,1
XM_022600389.1,2
XM_022600390.1,2
XM_022600391.1,2
XM_022600392.1,1
XM_022600393.1,1
XM_022600394.1,1
XM_022600395.1,2
XM_022600396.1,1
XM_022600397.1,1
XM_022600398.1,1
XM_022600399.1,1
XM_022600400.1,1
XM_022600401.1,1
XM_022600402.1,1
XM_022600403.1,1
XM_022600404.1,1
XM_022600406.1,1
XM_022600408.1,1
XM_022600409.1,1
XM_022600410.1,1
XM_022600411.1,1
XM_022600412.1,1
XM_022600413.1,1
XM_022600414.1,1
XM_022600415.1,1
XM_022600416.1,1
XM_022600417.1,1
XM_022600418.1,1
XM_022600419.1,1
XM_022600420.1,1
XM_022600421.1,1
XM_022600422.1,1
XM_022600423.1,1
XM_022600424.1,1
XM_022600425.1,1
XM_022600426.1,2
XM_022600427.1,1
XM_022600428.1,1
XM_022600430.1,1
XM_022600431.1,1
XM_022600432.1,1
XM_022600433.1,1
XM_022600434.1,3
XM_022600435.1,1
XM_022600436.1,1
XM_022600437.1,2
XM_022600438.1,1
XM_022600439.1,1
XM_022600440.1,1
XM_022600441.1,2
XM_022600442.1,1
XM_022600443.1,1
XM_022600445.1,2
XM_022600446.1,1
XM_022600447.1,1
XM_022600448.1,1
XM_022600449.1,1
XM_022600450.1,1
XM_022600451.1,1
XM_022600453.1,1
XM_022600455.1,1
XM_022600457.1,1
XM_022600458.1,1
XM_022600459.1,1
XM_022600460.1,1
XM_022600461.1,1
XM_022600462.1,1
XM_022600463.1,1
XM_022600464.1,1
XM_022600465.1,1
XM_022600466.1,1
XM_022600467.1,1
XM_022600468.1,2
XM_022600469.1,1
XM_022600470.1,1
XM_022600471.1,1
XM_022600472.1,1
XM_022600473.1,1
XM_022600474.1,1
XM_022600475.1,1
XM_022600477.1,1
XM_022600479.1,1
XM_022600480.1,1
XM_022600481.1,1
XM_022600482.1,1
XM_022600483.1,1
XM_022600484.1,1
XM_022600485.1,1
XM_022600487.1,1
XM_022600488.1,1
XM_022600489.1,1
XM_022600490.1,1
XM_022600491.1,2
XM_022600492.1,1
XM_022600493.1,2
XM_022600494.1,1
XM_022600495.1,1
XM_022600496.1,1
XM_022600497.1,1
XM_022600498.1,2
XM_022600499.1,1
XM_022600500.1,1
XM_022600501.1,1
XM_022600502.1,1
XM_022600503.1,1
XM_022600504.1,2
XM_022600505.1,1
XM_022600506.1,1
XM_022600507.1,1
XM_022600508.1,1
XM_022600509.1,1
XM_022600510.1,1
XM_022600511.1,1
XM_022600512.1,1
XM_022600513.1,1
XM_022600514.1,1
XM_022600515.1,1
XM_022600516.1,1
XM_022600517.1,1
XM_022600518.1,1
XM_022600520.1,1
XM_022600521.1,1
XM_022600522.1,1
XM_022600523.1,2
XM_022600524.1,1
XM_022600525.1,1
XM_022600526.1,1
XM_022600527.1,1
XM_022600528.1,2
XM_022600529.1,1
XM_022600530.1,1
XM_022600531.1,1
XM_022600532.1,1
XM_022600534.1,1
XM_022600535.1,1
XM_022600536.1,1
XM_022600537.1,1
XM_022600538.1,1
XM_022600539.1,1
XM_022600540.1,1
XM_022600541.1,1
XM_022600542.1,1
XM_022600543.1,1
XM_022600544.1,2
XM_022600545.1,1
XM_022600546.1,1
XM_022600548.1,1
XM_022600549.1,1
XM_022600550.1,1
XM_022600551.1,1
XM_022600554.1,1
XM_022600555.1,1
XM_022600556.1,1
XM_022600557.1,1
XM_022600558.1,1
XM_022600560.1,1
XM_022600561.1,1
XM_022600562.1,1
XM_022600563.1,1
XM_022600564.1,1
XM_022600565.1,1
XM_022600566.1,3
XM_022600567.1,1
XM_022600568.1,1
XM_022600569.1,1
XM_022600570.1,1
XM_022600571.1,1
XM_022600572.1,1
XM_022600573.1,1
XM_022600574.1,1
XM_022600575.1,1
XM_022600576.1,1
XM_022600578.1,1
XM_022600579.1,1
XM_022600580.1,1
XM_022600581.1,1
XM_022600582.1,1
XM_022600583.1,2
XM_022600584.1,2
XM_022600586.1,2
XM_022600587.1,1
XM_022600588.1,1
XM_022600589.1,1
XM_022600590.1,2
XM_022600591.1,1
XM_022600592.1,1
XM_022600593.1,1
XM_022600594.1,1
XM_022600595.1,1
XM_022600596.1,1
XM_022600597.1,1
XM_022600598.1,1
XM_022600599.1,1
XM_022600600.1,1
XM_022600601.1,1
XM_022600602.1,1
XM_022600603.1,1
XM_022600605.1,1
XM_022600606.1,1
XM_022600607.1,1
XM_022600608.1,1
XM_022600609.1,1
XM_022600610.1,1
XM_022600611.1,1
XM_022600612.1,1
XM_022600613.1,1
XM_022600614.1,1
XM_022600615.1,1
XM_022600616.1,1
XM_022600617.1,1
XM_022600618.1,1
XM_022600619.1,1
XM_022600621.1,1
XM_022600622.1,1
XM_022600623.1,1
XM_022600624.1,2
XM_022600625.1,1
XM_022600626.1,1
XM_022600627.1,1
XM_022600628.1,1
XM_022600631.1,1
XM_022600632.1,1
XM_022600633.1,1
XM_022600634.1,1
XM_022600636.1,1
XM_022600637.1,1
XM_022600638.1,1
XM_022600639.1,1
XM_022600640.1,2
XM_022600641.1,1
XM_022600642.1,1
XM_022600643.1,1
XM_022600644.1,2
XM_022600645.1,1
XM_022600646.1,1
XM_022600647.1,1
XM_022600648.1,1
XM_022600649.1,1
XM_022600650.1,1
XM_022600651.1,1
XM_022600652.1,1
XM_022600653.1,1
XM_022600654.1,3
XM_022600655.1,1
XM_022600656.1,1
XM_022600658.1,1
XM_022600659.1,2
XM_022600660.1,1
XM_022600661.1,1
XM_022600662.1,3
XM_022600663.1,1
XM_022600664.1,1
XM_022600665.1,3
XM_022600666.1,2
XM_022600667.1,1
XM_022600668.1,1
XM_022600670.1,1
XM_022600671.1,4
XM_022600673.1,2
XM_022600674.1,1
XM_022600675.1,1
XM_022600677.1,1
XM_022600678.1,1
XM_022600680.1,1
XM_022600681.1,2
XM_022600682.1,2
XM_022600683.1,1
XM_022600684.1,1
XM_022600685.1,1
XM_022600686.1,1
XM_022600687.1,1
XM_022600688.1,1
XM_022600689.1,1
XM_022600690.1,2
XM_022600693.1,2
XM_022600694.1,1
XM_022600695.1,2
XM_022600696.1,1
XM_022600697.1,1
XM_022600698.1,1
XM_022600699.1,1
XM_022600701.1,1
XM_022600702.1,1
XM_022600703.1,1
XM_022600704.1,1
XM_022600705.1,1
XM_022600706.1,1
XM_022600707.1,1
XM_022600708.1,1
XM_022600709.1,1
XM_022600710.1,1
XM_022600711.1,1
XM_022600712.1,1
XM_022600713.1,1
XM_022600714.1,1
XM_022600716.1,1
XM_022600717.1,1
XM_022600718.1,1
XM_022600719.1,1
XM_022600720.1,1
XM_022600721.1,1
XM_022600722.1,1
XM_022600723.1,1
XM_022600724.1,1
XM_022600725.1,1
XM_022600727.1,1
XM_022600728.1,1
XM_022600729.1,2
XM_022600730.1,1
XM_022600731.1,2
XM_022600732.1,2
XM_022600733.1,1
XM_022600734.1,1
XM_022600735.1,1
XM_022600736.1,1
XM_022600738.1,1
XM_022600739.1,1
XM_022600740.1,1
XM_022600741.1,1
XM_022600742.1,1
XM_022600743.1,1
XM_022600744.1,1
XM_022600745.1,1
XM_022600746.1,1
XM_022600747.1,1
XM_022600748.1,1
XM_022600749.1,1
XM_022600750.1,1
XM_022600751.1,1
XM_022600752.1,1
XM_022600754.1,2
XM_022600755.1,1
XM_022600756.1,1
XM_022600757.1,1
XM_022600758.1,1
XM_022600759.1,1
XM_022600760.1,1
XM_022600761.1,1
XM_022600762.1,1
XM_022600763.1,2
XM_022600764.1,1
XM_022600765.1,1
XM_022600766.1,1
XM_022600767.1,1
XM_022600769.1,1
XM_022600770.1,1
XM_022600771.1,1
XM_022600772.1,2
XM_022600774.1,1
XM_022600775.1,1
XM_022600776.1,1
XM_022600777.1,1
XM_022600778.1,1
XM_022600779.1,1
XM_022600780.1,1
XM_022600781.1,1
XM_022600782.1,1
XM_022600783.1,1
XM_022600784.1,1
XM_022600785.1,1
XM_022600786.1,1
XM_022600788.1,1
XM_022600789.1,1
XM_022600790.1,2
XM_022600791.1,1
XM_022600792.1,1
XM_022600793.1,1
XM_022600794.1,1
XM_022600795.1,1
XM_022600796.1,1
XM_022600798.1,1
XM_022600799.1,2
XM_022600801.1,2
XM_022600802.1,1
XM_022600803.1,1
XM_022600804.1,1
XM_022600806.1,1
XM_022600807.1,1
XM_022600809.1,1
XM_022600810.1,1
XM_022600811.1,2
XM_022600812.1,2
XM_022600813.1,3
XM_022600814.1,1
XM_022600815.1,1
XM_022600816.1,2
XM_022600817.1,1
XM_022600818.1,1
XM_022600820.1,1
XM_022600822.1,2
XM_022600823.1,1
XM_022600824.1,1
XM_022600825.1,1
XM_022600826.1,1
XM_022600827.1,1
XM_022600828.1,1
XM_022600829.1,1
XM_022600831.1,1
XM_022600832.1,1
XM_022600833.1,1
XM_022600834.1,1
XM_022600835.1,2
XM_022600836.1,1
XM_022600837.1,1
XM_022600838.1,1
XM_022600839.1,1
XM_022600840.1,1
XM_022600841.1,1
XM_022600842.1,1
XM_022600843.1,2
XM_022600845.1,1
XM_022600846.1,1
XM_022600847.1,1
XM_022600848.1,1
XM_022600849.1,1
XM_022600850.1,1
XM_022600851.1,1
XM_022600852.1,1
XM_022600853.1,2
XM_022600854.1,1
XM_022600856.1,1
XM_022600857.1,2
XM_022600859.1,2
XM_022600860.1,1
XM_022600861.1,1
XM_022600862.1,1
XM_022600863.1,1
XM_022600864.1,1
XM_022600867.1,1
XM_022600868.1,1
XM_022600869.1,1
XM_022600870.1,1
XM_022600871.1,2
XM_022600872.1,1
XM_022600873.1,1
XM_022600874.1,1
XM_022600875.1,1
XM_022600876.1,1
XM_022600877.1,1
XM_022600878.1,1
XM_022600879.1,2
XM_022600880.1,1
XM_022600881.1,1
XM_022600882.1,1
XM_022600883.1,1
XM_022600885.1,1
XM_022600886.1,1
XM_022600887.1,2
XM_022600888.1,1
XM_022600889.1,1
XM_022600891.1,1
XM_022600892.1,1
XM_022600893.1,1
XM_022600894.1,2
XM_022600896.1,1
XM_022600897.1,1
XM_022600898.1,1
XM_022600899.1,1
XM_022600900.1,1
XM_022600901.1,1
XM_022600902.1,1
XM_022600903.1,1
XM_022600904.1,1
XM_022600905.1,2
XM_022600906.1,1
XM_022600907.1,2
XM_022600908.1,1
XM_022600909.1,1
XM_022600910.1,1
XM_022600911.1,2
XM_022600912.1,1
XM_022600913.1,1
XM_022600914.1,1
XM_022600915.1,1
XM_022600916.1,1
XM_022600917.1,1
XM_022600918.1,1
XM_022600919.1,1
XM_022600920.1,2
XM_022600921.1,1
XM_022600922.1,2
XM_022600923.1,1
XM_022600924.1,1
XM_022600925.1,1
XM_022600926.1,1
XM_022600927.1,1
XM_022600928.1,1
XM_022600929.1,2
XM_022600930.1,1
XM_022600931.1,1
XM_022600932.1,3
XM_022600933.1,1
XM_022600934.1,1
XM_022600935.1,1
XM_022600936.1,1
XM_022600938.1,1
XM_022600939.1,1
XM_022600940.1,1
XM_022600942.1,1
XM_022600943.1,2
XM_022600944.1,1
XM_022600945.1,1
XM_022600946.1,1
XM_022600948.1,1
XM_022600949.1,1
XM_022600950.1,1
XM_022600951.1,1
XM_022600952.1,1
XM_022600953.1,1
XM_022600954.1,1
XM_022600955.1,2
XM_022600956.1,1
XM_022600957.1,1
XM_022600958.1,1
XM_022600959.1,1
XM_022600960.1,1
XM_022600961.1,1
XM_022600962.1,1
XM_022600964.1,1
XM_022600965.1,2
XM_022600966.1,1
XM_022600967.1,2
XM_022600968.1,1
XM_022600969.1,1
XM_022600970.1,2
XM_022600971.1,1
XM_022600973.1,2
XM_022600974.1,1
XM_022600975.1,1
XM_022600976.1,1
XM_022600977.1,1
XM_022600978.1,1
XM_022600979.1,2
XM_022600980.1,1
XM_022600981.1,1
XM_022600982.1,1
XM_022600983.1,1
XM_022600985.1,1
XM_022600987.1,1
XM_022600988.1,1
XM_022600989.1,1
XM_022600990.1,1
XM_022600991.1,1
XM_022600992.1,2
XM_022600993.1,1
XM_022600994.1,1
XM_022600995.1,1
XM_022600996.1,1
XM_022600997.1,1
XM_022600998.1,1
XM_022601000.1,1
XM_022601002.1,3
XM_022601003.1,1
XM_022601004.1,2
XM_022601006.1,1
XM_022601007.1,1
XM_022601008.1,1
XM_022601009.1,1
XM_022601010.1,1
XM_022601011.1,1
XM_022601014.1,1
XM_022601015.1,1
XM_022601016.1,1
XM_022601017.1,1
XM_022601018.1,1
XM_022601019.1,1
XM_022601020.1,1
XM_022601021.1,1
XM_022601022.1,1
XM_022601023.1,1
XM_022601024.1,1
XM_022601026.1,1
XM_022601027.1,1
XM_022601028.1,1
XM_022601029.1,1
XM_022601030.1,1
XM_022601031.1,1
XM_022601032.1,1
XM_022601033.1,1
XM_022601034.1,1
XM_022601035.1,1
XM_022601036.1,1
XM_022601037.1,2
XM_022601038.1,1
XM_022601041.1,1
XM_022601042.1,1
XM_022601043.1,2
XM_022601044.1,2
XM_022601045.1,2
XM_022601046.1,1
XM_022601047.1,1
XM_022601048.1,1
XM_022601049.1,1
XM_022601050.1,1
XM_022601051.1,1
XM_022601052.1,1
XM_022601053.1,1
