gene_id,num_transcript,num_exon,num_uniq_exon
RHOBADRAFT_10053,1,6,6
RHOBADRAFT_10063,1,8,8
RHOBADRAFT_10101,1,4,4
RHOBADRAFT_10194,1,7,7
RHOBADRAFT_10213,1,2,2
RHOBADRAFT_10281,1,2,2
RHOBADRAFT_10302,1,8,8
RHOBADRAFT_10335,1,8,8
RHOBADRAFT_10363,1,8,8
RHOBADRAFT_10414,1,9,9
RHOBADRAFT_10471,1,3,3
RHOBADRAFT_10478,1,16,16
RHOBADRAFT_10480,1,13,13
RHOBADRAFT_10501,1,6,6
RHOBADRAFT_10512,1,6,6
RHOBADRAFT_10533,1,9,9
RHOBADRAFT_10581,1,4,4
RHOBADRAFT_10586,1,5,5
RHOBADRAFT_10590,1,3,3
RHOBADRAFT_10654,1,1,1
RHOBADRAFT_10657,1,4,4
RHOBADRAFT_10697,1,3,3
RHOBADRAFT_10706,1,8,8
RHOBADRAFT_10707,1,7,7
RHOBADRAFT_10718,1,5,5
RHOBADRAFT_10719,1,3,3
RHOBADRAFT_10743,1,3,3
RHOBADRAFT_10762,1,5,5
RHOBADRAFT_10795,1,5,5
RHOBADRAFT_10799,1,7,7
RHOBADRAFT_10812,1,2,2
RHOBADRAFT_10824,1,3,3
RHOBADRAFT_10829,1,6,6
RHOBADRAFT_10834,1,5,5
RHOBADRAFT_10877,1,8,8
RHOBADRAFT_10891,1,5,5
RHOBADRAFT_10892,1,6,6
RHOBADRAFT_10897,1,11,11
RHOBADRAFT_10903,1,7,7
RHOBADRAFT_10908,1,8,8
RHOBADRAFT_10924,1,2,2
RHOBADRAFT_10933,1,8,8
RHOBADRAFT_10950,1,2,2
RHOBADRAFT_10952,1,4,4
RHOBADRAFT_10965,1,8,8
RHOBADRAFT_11010,1,4,4
RHOBADRAFT_11011,1,1,1
RHOBADRAFT_11059,1,6,6
RHOBADRAFT_11107,1,4,4
RHOBADRAFT_1111,1,2,2
RHOBADRAFT_11116,1,18,18
RHOBADRAFT_11118,1,5,5
RHOBADRAFT_11156,1,5,5
RHOBADRAFT_11206,1,2,2
RHOBADRAFT_11210,1,2,2
RHOBADRAFT_11220,1,1,1
RHOBADRAFT_11228,1,2,2
RHOBADRAFT_11235,1,2,2
RHOBADRAFT_11250,1,10,10
RHOBADRAFT_11258,1,2,2
RHOBADRAFT_11265,1,4,4
RHOBADRAFT_11269,1,5,5
RHOBADRAFT_11282,1,3,3
RHOBADRAFT_11284,1,5,5
RHOBADRAFT_11293,1,2,2
RHOBADRAFT_11317,1,11,11
RHOBADRAFT_11340,1,6,6
RHOBADRAFT_11382,1,5,5
RHOBADRAFT_11395,1,3,3
RHOBADRAFT_11408,1,3,3
RHOBADRAFT_11445,1,6,6
RHOBADRAFT_11494,1,11,11
RHOBADRAFT_11533,1,3,3
RHOBADRAFT_11568,1,3,3
RHOBADRAFT_116,1,2,2
RHOBADRAFT_1161,1,4,4
RHOBADRAFT_11628,1,5,5
RHOBADRAFT_11654,1,6,6
RHOBADRAFT_11694,1,2,2
RHOBADRAFT_11717,1,5,5
RHOBADRAFT_11723,1,8,8
RHOBADRAFT_11746,1,2,2
RHOBADRAFT_11749,1,2,2
RHOBADRAFT_11754,1,1,1
RHOBADRAFT_11758,1,5,5
RHOBADRAFT_11779,1,10,10
RHOBADRAFT_11798,1,5,5
RHOBADRAFT_11811,1,6,6
RHOBADRAFT_11859,1,2,2
RHOBADRAFT_11861,1,6,6
RHOBADRAFT_11905,1,5,5
RHOBADRAFT_11922,1,10,10
RHOBADRAFT_11939,1,9,9
RHOBADRAFT_11940,1,9,9
RHOBADRAFT_11944,1,4,4
RHOBADRAFT_11949,1,11,11
RHOBADRAFT_1199,1,4,4
RHOBADRAFT_12042,1,5,5
RHOBADRAFT_12067,1,5,5
RHOBADRAFT_12084,1,5,5
RHOBADRAFT_12115,1,1,1
RHOBADRAFT_12116,1,5,5
RHOBADRAFT_12117,1,4,4
RHOBADRAFT_12153,1,6,6
RHOBADRAFT_12154,1,3,3
RHOBADRAFT_12157,1,4,4
RHOBADRAFT_12165,1,5,5
RHOBADRAFT_12226,1,9,9
RHOBADRAFT_12232,1,6,6
RHOBADRAFT_12290,1,12,12
RHOBADRAFT_12319,1,4,4
RHOBADRAFT_12321,1,4,4
RHOBADRAFT_12331,1,5,5
RHOBADRAFT_12386,1,8,8
RHOBADRAFT_12389,1,3,3
RHOBADRAFT_12394,1,2,2
RHOBADRAFT_12459,1,3,3
RHOBADRAFT_12489,1,7,7
RHOBADRAFT_12541,1,8,8
RHOBADRAFT_12594,1,3,3
RHOBADRAFT_12624,1,7,7
RHOBADRAFT_12647,1,9,9
RHOBADRAFT_12722,1,9,9
RHOBADRAFT_12732,1,6,6
RHOBADRAFT_12743,1,4,4
RHOBADRAFT_12746,1,1,1
RHOBADRAFT_12782,1,4,4
RHOBADRAFT_12789,1,14,14
RHOBADRAFT_12797,1,1,1
RHOBADRAFT_12822,1,10,10
RHOBADRAFT_12828,1,3,3
RHOBADRAFT_12842,1,5,5
RHOBADRAFT_12861,1,9,9
RHOBADRAFT_12865,1,18,18
RHOBADRAFT_12887,1,2,2
RHOBADRAFT_12893,1,8,8
RHOBADRAFT_12927,1,3,3
RHOBADRAFT_12942,1,12,12
RHOBADRAFT_12976,1,8,8
RHOBADRAFT_13002,1,9,9
RHOBADRAFT_13003,1,5,5
RHOBADRAFT_13004,1,1,1
RHOBADRAFT_13015,1,12,12
RHOBADRAFT_13038,1,8,8
RHOBADRAFT_13079,1,2,2
RHOBADRAFT_13105,1,7,7
RHOBADRAFT_13114,1,5,5
RHOBADRAFT_13160,1,6,6
RHOBADRAFT_13171,1,2,2
RHOBADRAFT_13174,1,5,5
RHOBADRAFT_13190,1,5,5
RHOBADRAFT_13194,1,12,12
RHOBADRAFT_13202,1,11,11
RHOBADRAFT_13203,1,2,2
RHOBADRAFT_13231,1,1,1
RHOBADRAFT_13233,1,6,6
RHOBADRAFT_13269,1,7,7
RHOBADRAFT_13283,1,8,8
RHOBADRAFT_13284,1,9,9
RHOBADRAFT_13302,1,1,1
RHOBADRAFT_13310,1,13,13
RHOBADRAFT_13370,1,4,4
RHOBADRAFT_13398,1,13,13
RHOBADRAFT_13411,1,3,3
RHOBADRAFT_13440,1,4,4
RHOBADRAFT_13465,1,5,5
RHOBADRAFT_13508,1,6,6
RHOBADRAFT_13536,1,3,3
RHOBADRAFT_13548,1,2,2
RHOBADRAFT_13598,1,4,4
RHOBADRAFT_13625,1,4,4
RHOBADRAFT_13647,1,4,4
RHOBADRAFT_13659,1,3,3
RHOBADRAFT_13664,1,3,3
RHOBADRAFT_13671,1,10,10
RHOBADRAFT_13696,1,4,4
RHOBADRAFT_13733,1,9,9
RHOBADRAFT_13737,1,3,3
RHOBADRAFT_13744,1,5,5
RHOBADRAFT_13761,1,5,5
RHOBADRAFT_13767,1,10,10
RHOBADRAFT_13779,1,3,3
RHOBADRAFT_1383,1,3,3
RHOBADRAFT_1384,1,2,2
RHOBADRAFT_13841,1,9,9
RHOBADRAFT_13848,1,4,4
RHOBADRAFT_13852,1,5,5
RHOBADRAFT_13884,1,6,6
RHOBADRAFT_13918,1,5,5
RHOBADRAFT_13954,1,7,7
RHOBADRAFT_13962,1,3,3
RHOBADRAFT_13968,1,7,7
RHOBADRAFT_13973,1,7,7
RHOBADRAFT_13982,1,5,5
RHOBADRAFT_13988,1,6,6
RHOBADRAFT_14009,1,3,3
RHOBADRAFT_14012,1,2,2
RHOBADRAFT_14034,1,5,5
RHOBADRAFT_14063,1,3,3
RHOBADRAFT_14068,1,2,2
RHOBADRAFT_14069,1,3,3
RHOBADRAFT_14078,1,2,2
RHOBADRAFT_14083,1,6,6
RHOBADRAFT_14084,1,8,8
RHOBADRAFT_14111,1,9,9
RHOBADRAFT_14116,1,16,16
RHOBADRAFT_14144,1,2,2
RHOBADRAFT_1415,1,2,2
RHOBADRAFT_14188,1,4,4
RHOBADRAFT_14191,1,6,6
RHOBADRAFT_14195,1,1,1
RHOBADRAFT_14207,1,5,5
RHOBADRAFT_14214,1,4,4
RHOBADRAFT_14225,1,3,3
RHOBADRAFT_14250,1,2,2
RHOBADRAFT_14269,1,5,5
RHOBADRAFT_14281,1,5,5
RHOBADRAFT_14284,1,13,13
RHOBADRAFT_14292,1,8,8
RHOBADRAFT_14305,1,4,4
RHOBADRAFT_14310,1,7,7
RHOBADRAFT_14324,1,6,6
RHOBADRAFT_14353,1,12,12
RHOBADRAFT_14367,1,15,15
RHOBADRAFT_14417,1,5,5
RHOBADRAFT_14433,1,2,2
RHOBADRAFT_14445,1,2,2
RHOBADRAFT_14491,1,3,3
RHOBADRAFT_14530,1,3,3
RHOBADRAFT_14536,1,3,3
RHOBADRAFT_1454,1,2,2
RHOBADRAFT_14548,1,3,3
RHOBADRAFT_14551,1,2,2
RHOBADRAFT_14560,1,2,2
RHOBADRAFT_14581,1,7,7
RHOBADRAFT_14607,1,3,3
RHOBADRAFT_14609,1,5,5
RHOBADRAFT_14709,1,4,4
RHOBADRAFT_14732,1,3,3
RHOBADRAFT_14767,1,4,4
RHOBADRAFT_14770,1,4,4
RHOBADRAFT_14779,1,5,5
RHOBADRAFT_14821,1,8,8
RHOBADRAFT_14897,1,2,2
RHOBADRAFT_14902,1,4,4
RHOBADRAFT_14907,1,5,5
RHOBADRAFT_14921,1,10,10
RHOBADRAFT_14938,1,5,5
RHOBADRAFT_14939,1,7,7
RHOBADRAFT_14945,1,5,5
RHOBADRAFT_14950,1,8,8
RHOBADRAFT_14979,1,3,3
RHOBADRAFT_1498,1,2,2
RHOBADRAFT_14984,1,2,2
RHOBADRAFT_14989,1,7,7
RHOBADRAFT_1499,1,5,5
RHOBADRAFT_14991,1,7,7
RHOBADRAFT_15007,1,5,5
RHOBADRAFT_15009,1,8,8
RHOBADRAFT_15055,1,2,2
RHOBADRAFT_15105,1,6,6
RHOBADRAFT_15118,1,5,5
RHOBADRAFT_15125,1,5,5
RHOBADRAFT_15136,1,7,7
RHOBADRAFT_15178,1,6,6
RHOBADRAFT_15188,1,4,4
RHOBADRAFT_15193,1,3,3
RHOBADRAFT_152,1,4,4
RHOBADRAFT_15208,1,5,5
RHOBADRAFT_15209,1,6,6
RHOBADRAFT_15211,1,6,6
RHOBADRAFT_15227,1,3,3
RHOBADRAFT_15250,1,4,4
RHOBADRAFT_15257,1,9,9
RHOBADRAFT_15287,1,1,1
RHOBADRAFT_15315,1,5,5
RHOBADRAFT_15354,1,4,4
