transcript_id,num_exon
XM_019126660.1,1
XM_019126661.1,2
XM_019126662.1,1
XM_019126663.1,1
XM_019126664.1,2
XM_019126665.1,1
XM_019126667.1,1
XM_019126668.1,1
XM_019126673.1,1
XM_019126676.1,1
XM_019126678.1,1
XM_019126683.1,1
XM_019126685.1,1
XM_019126687.1,1
XM_019126688.1,2
XM_019126690.1,2
XM_019126692.1,1
XM_019126693.1,3
XM_019126694.1,1
XM_019126695.1,2
XM_019126697.1,2
XM_019126699.1,1
XM_019126700.1,1
XM_019126701.1,1
XM_019126702.1,3
XM_019126703.1,2
XM_019126704.1,1
XM_019126705.1,1
XM_019126708.1,1
XM_019126709.1,2
XM_019126710.1,2
XM_019126711.1,1
XM_019126712.1,1
XM_019126713.1,1
XM_019126714.1,1
XM_019126716.1,1
XM_019126717.1,1
XM_019126718.1,2
XM_019126719.1,1
XM_019126720.1,1
XM_019126722.1,1
XM_019126723.1,1
XM_019126725.1,3
XM_019126727.1,1
XM_019126728.1,1
XM_019126729.1,1
XM_019126731.1,1
XM_019126733.1,2
XM_019126734.1,1
XM_019126738.1,2
XM_019126742.1,2
XM_019126743.1,1
XM_019126744.1,1
XM_019126745.1,1
XM_019126746.1,1
XM_019126747.1,2
XM_019126748.1,1
XM_019126749.1,2
XM_019126752.1,2
XM_019126753.1,1
XM_019126754.1,2
XM_019126756.1,1
XM_019126757.1,1
XM_019126758.1,2
XM_019126760.1,3
XM_019126764.1,1
XM_019126766.1,1
XM_019126767.1,1
XM_019126768.1,1
XM_019126769.1,4
XM_019126776.1,1
XM_019126777.1,1
XM_019126778.1,1
XM_019126779.1,1
XM_019126781.1,2
XM_019126782.1,1
XM_019126783.1,1
XM_019126784.1,3
XM_019126786.1,2
XM_019126787.1,4
XM_019126789.1,1
XM_019126790.1,1
XM_019126792.1,1
XM_019126793.1,2
XM_019126795.1,2
XM_019126796.1,1
XM_019126797.1,2
XM_019126798.1,1
XM_019126800.1,1
XM_019126801.1,1
XM_019126803.1,1
XM_019126804.1,1
XM_019126805.1,1
XM_019126807.1,1
XM_019126809.1,1
XM_019126810.1,1
XM_019126815.1,1
XM_019126816.1,1
XM_019126819.1,1
XM_019126820.1,2
XM_019126821.1,1
XM_019126823.1,1
XM_019126825.1,1
XM_019126829.1,2
XM_019126831.1,1
XM_019126832.1,4
XM_019126833.1,2
XM_019126834.1,2
XM_019126837.1,2
XM_019126838.1,2
XM_019126839.1,1
XM_019126840.1,1
XM_019126842.1,1
XM_019126843.1,2
XM_019126844.1,1
XM_019126845.1,2
XM_019126846.1,1
XM_019126847.1,2
XM_019126848.1,1
XM_019126849.1,2
XM_019126853.1,1
XM_019126856.1,2
XM_019126857.1,2
XM_019126859.1,1
XM_019126861.1,2
XM_019126863.1,1
XM_019126865.1,1
XM_019126866.1,2
XM_019126867.1,1
XM_019126869.1,1
XM_019126870.1,1
XM_019126871.1,2
XM_019126872.1,3
XM_019126873.1,1
XM_019126875.1,4
XM_019126876.1,1
XM_019126878.1,1
XM_019126879.1,1
XM_019126880.1,1
XM_019126883.1,1
XM_019126884.1,1
XM_019126886.1,2
XM_019126887.1,2
XM_019126888.1,2
XM_019126893.1,1
XM_019126896.1,1
XM_019126898.1,1
XM_019126901.1,1
XM_019126902.1,1
XM_019126904.1,1
XM_019126905.1,2
XM_019126908.1,1
XM_019126910.1,1
XM_019126912.1,1
XM_019126917.1,1
XM_019126918.1,2
XM_019126923.1,1
XM_019126924.1,2
XM_019126925.1,3
XM_019126927.1,2
XM_019126929.1,1
XM_019126934.1,1
XM_019126936.1,1
XM_019126937.1,2
XM_019126938.1,1
XM_019126939.1,1
XM_019126940.1,1
XM_019126942.1,3
XM_019126943.1,1
XM_019126944.1,2
XM_019126946.1,1
XM_019126948.1,1
XM_019126951.1,1
XM_019126952.1,1
XM_019126953.1,2
XM_019126956.1,5
XM_019126957.1,2
XM_019126959.1,2
XM_019126964.1,1
XM_019126965.1,1
XM_019126969.1,1
XM_019126971.1,1
XM_019126975.1,2
XM_019126977.1,3
XM_019126978.1,4
XM_019126980.1,1
XM_019126981.1,1
XM_019126983.1,1
XM_019126984.1,1
XM_019126985.1,1
XM_019126986.1,1
XM_019126989.1,1
XM_019126992.1,2
XM_019126996.1,2
XM_019126998.1,1
XM_019126999.1,1
XM_019127000.1,2
XM_019127001.1,1
XM_019127002.1,2
XM_019127005.1,2
XM_019127006.1,2
XM_019127007.1,2
XM_019127012.1,2
XM_019127013.1,1
XM_019127015.1,3
XM_019127017.1,3
XM_019127020.1,2
XM_019127021.1,1
XM_019127024.1,1
XM_019127025.1,1
XM_019127027.1,1
XM_019127028.1,2
XM_019127029.1,2
XM_019127030.1,1
XM_019127032.1,2
XM_019127038.1,1
XM_019127039.1,1
XM_019127040.1,2
XM_019127041.1,3
XM_019127046.1,1
XM_019127047.1,1
XM_019127048.1,1
XM_019127049.1,1
XM_019127053.1,1
XM_019127055.1,1
XM_019127056.1,1
XM_019127057.1,2
XM_019127058.1,1
XM_019127060.1,1
XM_019127062.1,1
XM_019127063.1,1
XM_019127064.1,1
XM_019127066.1,1
XM_019127067.1,1
XM_019127068.1,1
XM_019127069.1,1
XM_019127070.1,1
XM_019127073.1,4
XM_019127074.1,3
XM_019127075.1,2
XM_019127076.1,3
XM_019127078.1,1
XM_019127080.1,3
XM_019127081.1,3
XM_019127082.1,2
XM_019127083.1,1
XM_019127084.1,4
XM_019127085.1,3
XM_019127088.1,1
XM_019127092.1,1
XM_019127093.1,1
XM_019127094.1,1
XM_019127095.1,1
XM_019127097.1,1
XM_019127100.1,2
XM_019127103.1,1
XM_019127104.1,2
XM_019127105.1,1
XM_019127106.1,1
XM_019127111.1,1
XM_019127113.1,1
XM_019127114.1,3
XM_019127117.1,2
XM_019127118.1,3
XM_019127121.1,2
XM_019127126.1,1
XM_019127127.1,2
XM_019127128.1,2
XM_019127129.1,1
XM_019127130.1,2
XM_019127131.1,1
XM_019127132.1,2
XM_019127133.1,1
XM_019127134.1,1
XM_019127135.1,1
XM_019127137.1,2
XM_019127139.1,2
XM_019127142.1,1
XM_019127144.1,1
XM_019127145.1,2
XM_019127146.1,1
XM_019127148.1,1
XM_019127150.1,1
XM_019127151.1,2
XM_019127154.1,1
XM_019127155.1,2
XM_019127157.1,2
XM_019127158.1,2
XM_019127159.1,2
XM_019127160.1,2
XM_019127164.1,1
XM_019127165.1,1
XM_019127167.1,1
XM_019127171.1,4
XM_019127172.1,1
XM_019127173.1,2
XM_019127175.1,1
XM_019127178.1,1
XM_019127179.1,1
XM_019127180.1,2
XM_019127182.1,2
XM_019127186.1,3
XM_019127187.1,2
XM_019127188.1,2
XM_019127189.1,1
XM_019127195.1,2
XM_019127197.1,1
XM_019127198.1,1
XM_019127200.1,1
XM_019127201.1,2
XM_019127203.1,1
XM_019127204.1,2
XM_019127206.1,1
XM_019127207.1,2
XM_019127208.1,2
XM_019127209.1,1
XM_019127210.1,2
XM_019127211.1,2
XM_019127212.1,1
XM_019127215.1,2
XM_019127216.1,2
XM_019127218.1,1
XM_019127220.1,1
XM_019127222.1,1
XM_019127223.1,1
XM_019127224.1,1
XM_019127225.1,2
XM_019127228.1,2
XM_019127229.1,1
XM_019127230.1,1
XM_019127233.1,2
XM_019127238.1,1
XM_019127239.1,1
XM_019127240.1,1
XM_019127242.1,2
XM_019127243.1,2
XM_019127245.1,1
XM_019127247.1,4
XM_019127248.1,1
XM_019127249.1,1
XM_019127250.1,4
XM_019127253.1,1
XM_019127255.1,2
XM_019127260.1,2
XM_019127261.1,1
XM_019127262.1,3
XM_019127263.1,4
XM_019127264.1,1
XM_019127268.1,1
XM_019127269.1,2
XM_019127270.1,2
XM_019127272.1,1
XM_019127274.1,2
XM_019127275.1,1
XM_019127280.1,1
XM_019127281.1,1
XM_019127282.1,1
XM_019127283.1,1
XM_019127284.1,3
XM_019127285.1,1
XM_019127286.1,2
XM_019127287.1,4
XM_019127288.1,2
XM_019127289.1,1
XM_019127290.1,2
XM_019127291.1,2
XM_019127292.1,2
XM_019127293.1,2
XM_019127294.1,2
XM_019127295.1,3
XM_019127297.1,1
XM_019127299.1,1
XM_019127300.1,2
XM_019127301.1,1
XM_019127303.1,1
XM_019127304.1,1
XM_019127306.1,1
XM_019127307.1,1
XM_019127308.1,1
XM_019127309.1,1
XM_019127310.1,1
XM_019127311.1,1
XM_019127312.1,1
XM_019127313.1,1
XM_019127315.1,1
XM_019127316.1,1
XM_019127317.1,1
XM_019127318.1,1
XM_019127319.1,1
XM_019127320.1,1
XM_019127321.1,1
XM_019127324.1,1
XM_019127325.1,1
XM_019127326.1,1
XM_019127327.1,1
XM_019127329.1,1
XM_019127330.1,1
XM_019127331.1,1
XM_019127333.1,1
XM_019127334.1,1
XM_019127335.1,1
XM_019127337.1,1
XM_019127338.1,1
XM_019127339.1,1
XM_019127340.1,1
XM_019127341.1,1
XM_019127342.1,1
XM_019127343.1,1
XM_019127345.1,1
XM_019127346.1,1
XM_019127347.1,1
XM_019127348.1,1
XM_019127349.1,1
XM_019127350.1,2
XM_019127351.1,1
XM_019127352.1,1
XM_019127353.1,1
XM_019127354.1,1
XM_019127355.1,1
XM_019127356.1,1
XM_019127357.1,1
XM_019127358.1,1
XM_019127359.1,1
XM_019127360.1,1
XM_019127361.1,1
XM_019127362.1,1
XM_019127363.1,1
XM_019127364.1,1
XM_019127365.1,1
XM_019127366.1,1
XM_019127367.1,1
XM_019127369.1,1
XM_019127370.1,1
XM_019127371.1,1
XM_019127372.1,1
XM_019127373.1,1
XM_019127374.1,1
XM_019127375.1,1
XM_019127377.1,1
XM_019127378.1,1
XM_019127379.1,1
XM_019127380.1,1
XM_019127382.1,1
XM_019127383.1,1
XM_019127385.1,1
XM_019127386.1,1
XM_019127387.1,1
XM_019127388.1,1
XM_019127389.1,1
XM_019127390.1,1
XM_019127392.1,1
XM_019127394.1,1
XM_019127395.1,1
XM_019127396.1,1
XM_019127397.1,1
XM_019127398.1,1
XM_019127399.1,2
XM_019127400.1,2
XM_019127401.1,1
XM_019127402.1,1
XM_019127403.1,1
XM_019127406.1,1
XM_019127407.1,1
XM_019127409.1,1
XM_019127410.1,1
XM_019127412.1,1
XM_019127413.1,1
XM_019127415.1,1
XM_019127416.1,1
XM_019127417.1,1
XM_019127418.1,1
XM_019127420.1,1
XM_019127422.1,1
XM_019127423.1,1
XM_019127424.1,1
XM_019127425.1,1
XM_019127426.1,1
XM_019127427.1,1
XM_019127428.1,1
XM_019127429.1,1
XM_019127430.1,1
XM_019127431.1,1
XM_019127432.1,1
XM_019127436.1,1
XM_019127437.1,1
XM_019127438.1,1
XM_019127440.1,1
XM_019127441.1,1
XM_019127444.1,1
XM_019127445.1,1
XM_019127446.1,1
XM_019127447.1,1
XM_019127449.1,2
XM_019127450.1,1
XM_019127451.1,1
XM_019127452.1,1
XM_019127453.1,1
XM_019127454.1,1
