transcript_id,num_exon
Mir1,1
Mir10,1
Mir124,1
Mir125,1
Mir125_1,1
Mir133,1
Mir137,1
Mir153,1
Mir153_1,1
Mir182,1
Mir183,1
Mir184,1
Mir200,1
Mir2001,1
Mir2002,1
Mir2002_1,1
Mir2003,1
Mir2003_1,1
Mir2004,1
Mir2005,1
Mir2006,1
Mir2007,1
Mir2008,1
Mir2009,1
Mir200_1,1
Mir2010,1
Mir2011,1
Mir2012,1
Mir2013,1
Mir210,1
Mir219,1
Mir219_1,1
Mir242,1
Mir252a,1
Mir252b,1
Mir278,1
Mir278_1,1
Mir29a,1
Mir29b,1
Mir31,1
Mir33,1
Mir34,1
Mir375,1
Mir4847,1
Mir4848a,1
Mir4849,1
Mir4850,1
Mir4851,1
Mir4852,1
Mir4853-1,1
Mir4853-2,1
Mir4854,1
Mir5992-1,1
Mir5992-2,1
Mir5993,1
Mir5994,1
Mir7,1
Mir71,1
Mir9,1
Mir92a,1
Mir92b,1
Mir92b_1,1
Mir92c,1
Mir92d,1
Mir92e,1
Mir96,1
Mir981,1
Mir9_1,1
Mirlet7,1
NM_001011728.2,1
NM_001079540.1,6
NM_001079548.1,2
NM_001079554.2,3
NM_001079557.2,2
NM_001079558.1,2
NM_001123521.1,3
NM_001126306.1,6
NM_001126309.1,6
NM_001170815.2,22
NM_001170817.2,4
NM_001170818.2,4
NM_001366741.1,22
NM_001367980.1,7
NM_214465.2,1
NM_214476.1,3
NM_214482.2,7
NM_214488.2,4
NM_214529.1,3
NM_214531.1,7
NM_214576.3,4
NM_214577.2,4
NM_214598.1,8
NM_214601.1,2
NM_214606.1,2
NM_214606.1_1,25
NM_214610.3,2
NM_214611.1,1
NM_214619.1,14
NM_214626.2,3
NM_214646.1,2
NM_214647.1,5
NM_214664.1,5
NR_002566.2,1
NR_002892.1,1
NR_036385.1,1
NR_036386.1,1
NR_036387.1,1
NR_036388.1,1
NR_036389.1,1
NR_036390.1,1
NR_036391.1,1
NR_036392.1,1
NR_036393.1,1
NR_036394.1,1
NR_036395.1,1
NR_036396.1,1
NR_036397.1,1
NR_036398.1,1
NR_036399.1,1
NR_036401.1,1
NR_036402.1,1
NR_036403.1,1
NR_036404.1,1
NR_036405.1,1
NR_036406.1,1
NR_036407.1,1
NR_036408.1,1
NR_036409.1,1
NR_036410.1,1
NR_036411.1,1
NR_036412.1,1
NR_036413.1,1
NR_036414.1,1
NR_036415.1,1
NR_036416.1,1
NR_036417.1,1
NR_036418.1,1
NR_036419.1,1
NR_036420.1,1
NR_036421.1,1
NR_036422.1,1
NR_036423.1,1
NR_036424.1,1
NR_036425.1,1
NR_036426.1,1
NR_036427.1,1
NR_036428.1,1
NR_038813.1,1
NR_038814.1,1
NR_038815.1,1
NR_038816.1,1
NR_038818.1,1
NR_038819.1,1
NR_038820.1,1
NR_038821.1,1
NR_038822.1,1
NR_038823.1,1
NR_130630.1,1
NR_130631.1,1
NR_130632.1,1
NR_130633.1,1
NR_130634.1,1
NR_130635.1,1
NR_130636.1,1
TRNAA-AGC,1
TRNAA-AGC_1,1
TRNAA-AGC_10,1
TRNAA-AGC_11,1
TRNAA-AGC_12,1
TRNAA-AGC_13,1
TRNAA-AGC_14,1
TRNAA-AGC_15,1
TRNAA-AGC_16,1
TRNAA-AGC_17,1
TRNAA-AGC_18,1
TRNAA-AGC_19,1
TRNAA-AGC_2,1
TRNAA-AGC_20,1
TRNAA-AGC_21,1
TRNAA-AGC_22,1
TRNAA-AGC_23,1
TRNAA-AGC_24,1
TRNAA-AGC_25,1
TRNAA-AGC_26,1
TRNAA-AGC_27,1
