transcript_id,num_exon
NM_001323852.1,1
NM_001323853.2,2
NM_001323854.1,7
NM_001323855.1,2
NM_001323856.1,20
NM_001323857.1,4
NM_001323858.1,3
NM_001323859.1,7
NM_001323860.1,8
NM_001323861.1,4
NM_001323862.1,7
NM_001323863.1,8
NM_001323865.1,3
NM_001323867.1,2
NM_001323868.1,4
NM_001323869.1,4
NM_001323870.1,12
NM_001323871.1,9
NM_001323872.1,1
NM_001323873.1,6
NM_001323874.1,8
NM_001323875.1,2
NM_001323876.1,2
NM_001323877.1,1
NM_001323877.1_1,1
NM_001323878.1,4
NM_001323879.1,7
NM_001323880.1,2
NM_001323881.1,1
NM_001323882.1,7
NM_001323883.1,3
NM_001323884.1,7
NM_001323884.1_1,2
NM_001323885.1,2
NM_001323886.1,7
NM_001323887.1,5
NM_001323888.1,3
NM_001323889.1,4
XM_016010116.2,12
XM_016010117.2,2
XM_016010119.2,4
XM_016010120.2,5
XM_016010121.1,1
XM_016010122.1,3
XM_016010124.2,16
XM_016010125.1,2
XM_016010128.1,1
XM_016010131.1,2
XM_016010132.2,1
XM_016010133.2,5
XM_016010134.2,4
XM_016010135.2,13
XM_016010136.2,13
XM_016010137.2,9
XM_016010138.2,3
XM_016010139.2,17
XM_016010140.2,6
XM_016010141.2,2
XM_016010142.2,2
XM_016010146.2,3
XM_016010148.2,4
XM_016010149.2,6
XM_016010150.2,3
XM_016010152.2,9
XM_016010153.2,5
XM_016010154.2,8
XM_016010159.2,3
XM_016010160.2,3
XM_016010161.2,2
XM_016010162.2,1
XM_016010163.1,4
XM_016010164.2,1
XM_016010165.2,2
XM_016010166.2,2
XM_016010167.2,2
XM_016010168.2,2
XM_016010169.2,1
XM_016010170.2,1
XM_016010174.2,5
XM_016010176.2,9
XM_016010177.2,6
XM_016010179.2,2
XM_016010180.2,2
XM_016010181.2,6
XM_016010182.2,6
XM_016010183.2,3
XM_016010184.2,6
XM_016010186.2,5
XM_016010189.2,6
XM_016010191.2,9
XM_016010195.2,6
XM_016010196.2,4
XM_016010197.2,4
XM_016010198.2,1
XM_016010199.2,5
XM_016010200.2,3
XM_016010202.2,1
XM_016010203.2,4
XM_016010204.2,4
XM_016010205.2,4
XM_016010206.2,2
XM_016010207.2,5
XM_016010210.1,2
XM_016010211.2,4
XM_016010212.1,2
XM_016010213.1,1
XM_016010214.1,1
XM_016010215.2,12
XM_016010217.2,1
XM_016010218.1,1
XM_016010219.1,1
XM_016010221.1,1
XM_016010222.1,1
XM_016010223.2,3
XM_016010225.1,1
XM_016010227.2,3
XM_016010228.1,2
XM_016010229.2,3
XM_016010230.2,5
XM_016010231.2,5
XM_016010232.2,3
XM_016010233.2,3
XM_016010234.1,1
XM_016010235.2,10
XM_016010236.2,2
XM_016010237.2,3
XM_016010238.2,3
XM_016010239.2,2
XM_016010240.2,2
XM_016010241.2,5
XM_016010242.2,7
XM_016010247.2,5
XM_016010248.2,4
XM_016010249.2,1
XM_016010250.2,2
XM_016010251.2,6
XM_016010252.2,5
XM_016010253.2,5
XM_016010254.2,5
XM_016010255.2,3
XM_016010257.2,7
XM_016010258.2,8
XM_016010259.2,12
XM_016010260.2,5
XM_016010262.2,8
XM_016010263.1,2
XM_016010264.2,11
XM_016010265.2,9
XM_016010266.2,9
XM_016010267.2,3
XM_016010268.2,6
XM_016010270.2,2
XM_016010271.2,20
XM_016010272.2,1
XM_016010273.2,1
XM_016010274.2,8
XM_016010275.2,52
XM_016010276.2,41
XM_016010277.2,3
XM_016010278.2,11
XM_016010279.2,2
XM_016010283.1,5
XM_016010285.1,1
XM_016010287.2,7
XM_016010288.2,6
XM_016010289.2,3
XM_016010290.2,7
XM_016010291.2,2
XM_016010292.2,5
XM_016010293.2,5
XM_016010294.2,5
XM_016010295.2,8
XM_016010296.2,3
XM_016010297.2,5
XM_016010298.2,3
XM_016010299.2,2
XM_016010300.1,5
XM_016010302.2,1
XM_016010303.2,2
XM_016010304.2,2
XM_016010307.2,16
XM_016010308.1,4
XM_016010309.1,1
