gene_id,num_transcript,num_exon,num_uniq_exon
PUNSTDRAFT_100384,1,5,5
PUNSTDRAFT_10143,1,1,1
PUNSTDRAFT_101557,1,13,13
PUNSTDRAFT_101568,1,3,3
PUNSTDRAFT_101668,1,4,4
PUNSTDRAFT_101940,1,5,5
PUNSTDRAFT_102596,1,8,8
PUNSTDRAFT_104730,1,13,13
PUNSTDRAFT_105391,1,3,3
PUNSTDRAFT_107513,1,2,2
PUNSTDRAFT_108401,1,2,2
PUNSTDRAFT_108896,1,7,7
PUNSTDRAFT_109509,1,3,3
PUNSTDRAFT_109533,1,3,3
PUNSTDRAFT_110061,1,3,3
PUNSTDRAFT_110098,1,4,4
PUNSTDRAFT_110749,1,2,2
PUNSTDRAFT_110959,1,1,1
PUNSTDRAFT_110963,1,2,2
PUNSTDRAFT_111054,1,1,1
PUNSTDRAFT_111099,1,2,2
PUNSTDRAFT_111591,1,1,1
PUNSTDRAFT_111677,1,1,1
PUNSTDRAFT_112033,1,1,1
PUNSTDRAFT_112332,1,1,1
PUNSTDRAFT_112734,1,1,1
PUNSTDRAFT_112850,1,4,4
PUNSTDRAFT_112870,1,3,3
PUNSTDRAFT_113306,1,2,2
PUNSTDRAFT_113335,1,3,3
PUNSTDRAFT_113398,1,2,2
PUNSTDRAFT_113464,1,3,3
PUNSTDRAFT_113562,1,5,5
PUNSTDRAFT_113634,1,2,2
PUNSTDRAFT_113664,1,3,3
PUNSTDRAFT_113763,1,3,3
PUNSTDRAFT_113881,1,1,1
PUNSTDRAFT_113882,1,1,1
PUNSTDRAFT_113939,1,6,6
PUNSTDRAFT_113978,1,2,2
PUNSTDRAFT_114007,1,2,2
PUNSTDRAFT_114026,1,2,2
PUNSTDRAFT_114240,1,1,1
PUNSTDRAFT_114340,1,2,2
PUNSTDRAFT_114540,1,2,2
PUNSTDRAFT_115079,1,2,2
PUNSTDRAFT_115188,1,1,1
PUNSTDRAFT_115205,1,1,1
PUNSTDRAFT_115311,1,1,1
PUNSTDRAFT_115551,1,7,7
PUNSTDRAFT_115555,1,11,11
PUNSTDRAFT_115601,1,3,3
PUNSTDRAFT_115617,1,2,2
PUNSTDRAFT_115783,1,3,3
PUNSTDRAFT_115828,1,4,4
PUNSTDRAFT_115989,1,2,2
PUNSTDRAFT_116011,1,2,2
PUNSTDRAFT_116288,1,10,10
PUNSTDRAFT_116346,1,2,2
PUNSTDRAFT_116401,1,5,5
PUNSTDRAFT_116608,1,3,3
PUNSTDRAFT_116862,1,1,1
PUNSTDRAFT_116870,1,2,2
PUNSTDRAFT_116897,1,3,3
PUNSTDRAFT_117047,1,2,2
PUNSTDRAFT_117058,1,4,4
PUNSTDRAFT_117212,1,4,4
PUNSTDRAFT_117269,1,1,1
PUNSTDRAFT_117441,1,1,1
PUNSTDRAFT_117484,1,4,4
PUNSTDRAFT_117591,1,4,4
PUNSTDRAFT_117745,1,3,3
PUNSTDRAFT_117775,1,1,1
PUNSTDRAFT_117851,1,1,1
PUNSTDRAFT_117981,1,2,2
PUNSTDRAFT_118009,1,3,3
PUNSTDRAFT_118024,1,1,1
PUNSTDRAFT_118095,1,1,1
PUNSTDRAFT_118146,1,4,4
PUNSTDRAFT_118183,1,3,3
PUNSTDRAFT_118212,1,5,5
PUNSTDRAFT_118251,1,1,1
PUNSTDRAFT_118346,1,2,2
PUNSTDRAFT_118468,1,1,1
PUNSTDRAFT_118482,1,1,1
PUNSTDRAFT_118586,1,3,3
PUNSTDRAFT_118664,1,2,2
PUNSTDRAFT_118666,1,11,11
PUNSTDRAFT_118690,1,3,3
PUNSTDRAFT_118697,1,2,2
PUNSTDRAFT_118711,1,3,3
PUNSTDRAFT_118715,1,1,1
PUNSTDRAFT_118719,1,3,3
PUNSTDRAFT_118733,1,2,2
PUNSTDRAFT_118735,1,2,2
PUNSTDRAFT_118757,1,1,1
PUNSTDRAFT_118777,1,2,2
PUNSTDRAFT_118901,1,1,1
PUNSTDRAFT_118958,1,3,3
PUNSTDRAFT_118980,1,1,1
PUNSTDRAFT_118996,1,3,3
PUNSTDRAFT_119019,1,1,1
PUNSTDRAFT_119024,1,5,5
PUNSTDRAFT_119025,1,1,1
PUNSTDRAFT_119051,1,1,1
PUNSTDRAFT_119055,1,2,2
PUNSTDRAFT_119077,1,1,1
PUNSTDRAFT_119121,1,1,1
PUNSTDRAFT_119169,1,2,2
PUNSTDRAFT_119214,1,3,3
PUNSTDRAFT_119252,1,1,1
PUNSTDRAFT_119298,1,4,4
PUNSTDRAFT_119392,1,1,1
PUNSTDRAFT_119420,1,1,1
PUNSTDRAFT_119543,1,1,1
PUNSTDRAFT_119599,1,4,4
PUNSTDRAFT_119770,1,3,3
PUNSTDRAFT_119784,1,13,13
PUNSTDRAFT_119807,1,1,1
PUNSTDRAFT_119809,1,3,3
PUNSTDRAFT_119917,1,1,1
PUNSTDRAFT_119928,1,2,2
PUNSTDRAFT_119951,1,1,1
PUNSTDRAFT_120008,1,2,2
PUNSTDRAFT_120107,1,1,1
PUNSTDRAFT_120242,1,1,1
