gene_id,num_transcript,num_exon,num_uniq_exon
LOC111465021,1,3,3
LOC111465022,1,7,7
LOC111465023,1,2,2
LOC111465024,1,12,12
LOC111465025,1,8,8
LOC111465026,1,2,2
LOC111465027,1,7,7
LOC111465028,2,9,6
LOC111465029,1,7,7
LOC111465030,1,10,10
LOC111465031,1,1,1
LOC111465033,2,14,9
LOC111465034,1,6,6
LOC111465035,1,6,6
LOC111465036,2,21,12
LOC111465037,3,18,8
LOC111465038,1,3,3
LOC111465039,1,5,5
LOC111465041,1,8,8
LOC111465042,1,6,6
LOC111465043,3,21,11
LOC111465044,1,4,4
LOC111465045,3,41,16
LOC111465046,3,71,26
LOC111465047,2,13,8
LOC111465048,1,5,5
LOC111465049,1,5,5
LOC111465050,1,4,4
LOC111465051,2,4,3
LOC111465052,1,1,1
LOC111465053,1,9,9
LOC111465054,1,5,5
LOC111465055,1,5,5
LOC111465056,4,31,12
LOC111465057,1,9,9
LOC111465058,1,1,1
LOC111465060,1,9,9
LOC111465061,1,4,4
LOC111465062,1,11,11
LOC111465063,1,3,3
LOC111465064,2,15,9
LOC111465065,1,9,9
LOC111465066,4,19,9
LOC111465067,2,7,6
LOC111465068,1,5,5
LOC111465069,1,7,7
LOC111465070,1,12,12
LOC111465071,2,12,8
LOC111465072,2,15,8
LOC111465073,2,3,3
LOC111465074,4,46,16
LOC111465075,4,35,11
LOC111465076,6,19,11
LOC111465077,1,9,9
LOC111465078,1,6,6
LOC111465079,1,4,4
LOC111465080,2,4,3
LOC111465081,1,5,5
LOC111465082,1,3,3
LOC111465083,2,9,6
LOC111465084,1,9,9
LOC111465085,1,6,6
LOC111465086,1,3,3
LOC111465087,1,4,4
LOC111465088,1,1,1
LOC111465089,6,58,20
LOC111465090,1,8,8
LOC111465091,1,7,7
LOC111465092,1,2,2
LOC111465093,1,1,1
LOC111465094,1,2,2
LOC111465095,1,1,1
LOC111465096,1,3,3
LOC111465097,2,11,7
LOC111465098,1,7,7
LOC111465099,1,5,5
LOC111465100,1,9,9
LOC111465101,1,8,8
LOC111465102,2,3,3
LOC111465103,2,16,9
LOC111465104,4,24,10
LOC111465105,3,24,10
LOC111465106,1,5,5
LOC111465107,1,7,7
LOC111465108,1,1,1
LOC111465109,1,2,2
LOC111465110,1,10,10
LOC111465111,1,1,1
LOC111465112,1,3,3
LOC111465113,1,7,7
LOC111465114,1,2,2
LOC111465115,2,18,11
LOC111465116,2,4,4
LOC111465117,1,4,4
LOC111465118,1,2,2
LOC111465119,1,5,5
LOC111465120,1,8,8
LOC111465121,3,14,8
LOC111465122,1,4,4
LOC111465123,1,6,6
LOC111465124,1,1,1
LOC111465126,2,13,7
LOC111465127,2,11,7
LOC111465128,1,1,1
LOC111465129,1,5,5
LOC111465131,1,1,1
LOC111465132,1,2,2
LOC111465133,1,5,5
LOC111465134,1,1,1
LOC111465135,1,1,1
LOC111465136,4,20,7
LOC111465137,2,10,7
LOC111465140,11,43,12
LOC111465141,1,1,1
LOC111465142,1,4,4
LOC111465144,3,6,5
LOC111465145,2,3,3
LOC111465146,1,1,1
LOC111465148,2,6,4
LOC111465149,2,5,4
LOC111465152,1,11,11
LOC111465165,2,42,22
LOC111465166,1,4,4
LOC111465167,1,3,3
LOC111465168,1,19,19
LOC111465169,2,45,24
LOC111465170,1,2,2
LOC111465171,1,1,1
LOC111465172,2,29,16
LOC111465173,3,42,17
LOC111465174,2,32,17
LOC111465175,1,1,1
LOC111465176,1,4,4
LOC111465177,1,8,8
LOC111465178,1,10,10
LOC111465179,2,7,5
LOC111465180,1,4,4
LOC111465181,1,7,7
LOC111465182,2,14,8
LOC111465183,1,5,5
LOC111465184,2,47,27
LOC111465186,1,5,5
LOC111465187,2,5,4
LOC111465188,2,9,6
LOC111465189,1,3,3
LOC111465190,3,38,16
LOC111465191,1,4,4
LOC111465193,1,2,2
LOC111465194,2,26,14
LOC111465195,1,9,9
LOC111465196,1,5,5
LOC111465197,1,7,7
LOC111465198,1,2,2
LOC111465199,3,20,10
LOC111465200,4,46,15
LOC111465201,1,3,3
LOC111465202,4,39,13
LOC111465203,2,16,9
LOC111465205,1,2,2
LOC111465206,3,12,7
LOC111465207,1,5,5
LOC111465208,1,8,8
LOC111465209,1,11,11
LOC111465210,2,11,7
LOC111465211,1,6,6
LOC111465212,1,12,12
LOC111465213,2,6,4
LOC111465215,1,1,1
LOC111465216,2,20,12
LOC111465217,2,12,8
LOC111465218,2,5,5
LOC111465219,1,3,3
LOC111465220,1,5,5
LOC111465221,2,15,9
LOC111465222,1,2,2
