transcript_id,num_exon
FBtr0130090,4
FBtr0130091,1
FBtr0130092,2
FBtr0130093,3
FBtr0130094,4
FBtr0130097,3
FBtr0130098,5
FBtr0130101,2
FBtr0130102,2
FBtr0130103,5
FBtr0130104,1
FBtr0130105,1
FBtr0130106,4
FBtr0130107,3
FBtr0130108,2
FBtr0130109,1
FBtr0130110,4
FBtr0130111,2
FBtr0130112,2
FBtr0130113,8
FBtr0130114,2
FBtr0130115,2
FBtr0130116,1
FBtr0130117,4
FBtr0130118,4
FBtr0130119,3
FBtr0130120,3
FBtr0130121,8
FBtr0130125,2
FBtr0130126,3
FBtr0130127,4
FBtr0130128,4
FBtr0130129,5
FBtr0130130,9
FBtr0130131,4
FBtr0130133,6
FBtr0130134,2
FBtr0130135,2
FBtr0130136,2
FBtr0130137,4
FBtr0130138,3
FBtr0130139,12
FBtr0130141,10
FBtr0130142,1
FBtr0130143,3
FBtr0130144,5
FBtr0130146,3
FBtr0130147,2
FBtr0130148,3
FBtr0130149,5
FBtr0130150,2
FBtr0130151,8
FBtr0130152,4
FBtr0130153,6
FBtr0130154,5
FBtr0130155,4
FBtr0130157,3
FBtr0130158,3
FBtr0130159,6
FBtr0130160,4
FBtr0130161,4
FBtr0130162,8
FBtr0130163,7
FBtr0130164,4
FBtr0130166,8
FBtr0130167,9
FBtr0130168,3
FBtr0130169,3
FBtr0130170,5
FBtr0130171,1
FBtr0130172,7
FBtr0130173,4
FBtr0130175,2
FBtr0130176,2
FBtr0130177,17
FBtr0130178,4
FBtr0130179,6
FBtr0130180,2
FBtr0130181,3
FBtr0130182,12
FBtr0130183,6
FBtr0130184,6
FBtr0130186,3
FBtr0130187,4
FBtr0130188,3
FBtr0130189,5
FBtr0130190,3
FBtr0130191,2
FBtr0130192,3
FBtr0130193,4
FBtr0130195,1
FBtr0130196,2
FBtr0130197,4
FBtr0130198,1
FBtr0130199,2
FBtr0130200,2
FBtr0130201,4
FBtr0130202,6
FBtr0130203,2
FBtr0130205,3
FBtr0130206,3
FBtr0130207,3
FBtr0130209,1
FBtr0130210,8
FBtr0130211,6
FBtr0130214,2
FBtr0130215,2
FBtr0130217,4
FBtr0130218,1
FBtr0130219,14
FBtr0130221,3
FBtr0130222,2
FBtr0130223,6
FBtr0130224,3
FBtr0130228,6
FBtr0130229,2
FBtr0130230,2
FBtr0130231,3
FBtr0130232,3
FBtr0130233,2
FBtr0130235,2
FBtr0130236,3
FBtr0130237,1
FBtr0130238,2
FBtr0130239,2
FBtr0130240,7
FBtr0130241,3
FBtr0130242,13
FBtr0130243,3
FBtr0130244,1
FBtr0130246,2
FBtr0130247,1
FBtr0130248,5
FBtr0130250,1
FBtr0130251,4
FBtr0130252,2
FBtr0130254,3
FBtr0130255,2
FBtr0130257,3
FBtr0130258,5
FBtr0130259,3
FBtr0130260,3
FBtr0130261,3
FBtr0130262,1
FBtr0130263,2
FBtr0130267,4
FBtr0130268,3
FBtr0130269,2
FBtr0130270,1
FBtr0130271,1
FBtr0130272,1
FBtr0130273,1
FBtr0130274,5
FBtr0130275,3
FBtr0130279,5
FBtr0130280,1
FBtr0130281,7
FBtr0130282,3
FBtr0130283,1
FBtr0130284,7
FBtr0130285,3
FBtr0130286,9
FBtr0130287,5
FBtr0130288,6
FBtr0130289,2
FBtr0130290,1
FBtr0130292,2
FBtr0130295,1
FBtr0130296,3
FBtr0130297,2
FBtr0130298,1
FBtr0130299,5
FBtr0130300,4
