gene_id,num_transcript,num_exon,num_uniq_exon
,1,24,24
Abhd14a,2,9,6
Ak6,1,5,5
Ankdd1a,1,5,5
Apobec1,1,5,5
Atp5if1,1,3,3
Basp1,1,2,2
CUNH10orf105,3,6,4
CUNH11orf88,2,11,6
CUNH11orf94,1,3,3
CUNH15orf62,1,1,1
CUNH16orf90,1,2,2
Caltrin2,1,3,3
Cdr1,1,1,1
Cenpa,2,9,6
Cmc4,2,6,4
Cplx1,2,8,5
Cplx2,3,13,7
Cpsf4,4,33,14
Crct1,1,2,2
Ctxn1,1,2,2
Ctxn3,6,26,13
Dnajb7,1,5,5
Dnase1,1,9,9
Efcab2,2,10,9
Eln,4,138,38
Enho,1,2,2
Fam122a,1,1,1
Fam25a,1,3,3
Fgfbp3,1,6,6
Foxe1,1,2,2
Gja9,1,4,4
Gpr50,1,4,4
Hmga1,2,10,7
Hmgn2,1,6,6
Hoxa5,2,6,5
Hoxb4,1,2,2
Hyls1,1,4,4
Iapp,1,3,3
Ifi27l2,1,4,4
Inafm1,1,1,1
Kiaa0040,1,2,2
LOC100379616,1,1,1
LOC100379617,1,1,1
LOC100379618,1,1,1
LOC100712612,2,7,5
LOC100712624,1,2,2
LOC100712632,1,3,3
LOC100712780,1,2,2
LOC100712895,3,17,10
LOC100712909,1,1,1
LOC100713004,1,2,2
LOC100713050,1,2,2
LOC100713071,1,2,2
LOC100713447,1,2,2
LOC100713555,1,2,2
LOC100713592,4,18,7
LOC100713628,1,2,2
LOC100713694,1,4,4
LOC100713712,1,4,4
LOC100713771,1,4,4
LOC100713788,2,9,5
LOC100713806,1,7,7
LOC100713823,1,2,2
LOC100713932,1,5,5
LOC100713985,1,2,2
LOC100714005,1,2,2
LOC100714007,1,4,4
LOC100714011,1,2,2
LOC100714565,1,1,1
LOC100714606,1,9,9
LOC100714735,1,2,2
LOC100714944,1,2,2
LOC100715112,1,2,2
LOC100715189,1,1,1
LOC100715219,1,2,2
LOC100715230,1,2,2
LOC100715271,17,168,23
LOC100715360,1,2,2
LOC100715420,1,2,2
LOC100715643,1,2,2
LOC100715772,1,4,4
LOC100715776,1,5,5
LOC100715793,1,2,2
