gene_id,num_transcript,num_exon,num_uniq_exon
ABCD3,1,21,21
ABHD1,7,49,14
ACO1,1,20,20
ACOT11,1,16,16
ACP5,1,2,2
ACP7,1,10,10
ACYP2,1,5,5
AGAP2,1,20,20
AKAIN1,1,2,2
ALKBH4,1,2,2
ALKBH7,1,3,3
ANKRD13C,1,13,13
AP4M1,1,6,6
APEX2,1,6,6
APOM,1,4,4
ARL6IP1,1,6,6
ARL9,1,3,3
ASB10,1,5,5
ASB12,3,9,5
ATF5,1,3,3
ATF6,2,31,16
ATP5IF1,1,3,3
ATP5ME,1,4,4
ATP5PO,1,7,7
B9D2,1,3,3
BCAS4,3,14,6
BID,1,7,7
BIRC5,1,4,4
BOLA2B,1,2,2
BRD3OS,1,2,2
BTBD19,1,3,3
C1QL2,1,2,2
C1QL4,1,2,2
C2CD4C,1,1,1
CACNB3,1,15,15
CACNG6,1,1,1
CAPZA3,1,4,4
CASQ1,1,11,11
CATIP,1,8,8
CBLL1,1,2,2
CCDC115,1,2,2
CCDC142,1,2,2
CCDC175,1,7,7
CCDC200,2,8,5
CCDC85B,1,1,1
CCDC9B,1,13,13
CCL22,1,3,3
CD163L1,1,17,17
CD22,1,13,13
CD40,1,8,8
CDC42EP5,1,2,2
CDK4,2,16,9
CENPF,3,11,5
CGREF1,1,6,6
CHCHD3,2,16,9
CHP2,1,7,7
CIB4,1,4,4
CLIC3,1,5,5
CLPP,1,8,8
CMYA5,1,12,12
CNBD1,1,12,12
CNN3,1,7,7
CNRIP1,1,3,3
COL22A1,1,63,63
CPLX2,2,10,7
CPNE1,5,80,20
CRB3,1,3,3
CRTAP,1,6,6
CSTA,1,4,4
CTBS,1,7,7
CUNH11orf52,1,4,4
CUNH11orf80,1,16,16
CUNH11orf94,1,3,3
CUNH15orf61,1,3,3
CUNH16orf91,1,2,2
CUNH17orf50,1,3,3
CUNH17orf78,1,7,7
CUNH19orf33,1,4,4
CUNH1orf100,1,4,4
CUNH1orf226,1,3,3
CUNH20orf204,1,5,5
CUNH2orf72,1,4,4
CUNH3orf14,1,4,4
CUNH3orf62,1,3,3
CUNH8orf88,1,7,7
CUNH9orf152,1,2,2
CUZD1,1,8,8
DAD1,1,1,1
DCLRE1B,3,8,6
DCTN3,8,61,14
DCUN1D3,1,2,2
DDR2,1,17,17
DDX4,1,21,21
DDX59,4,32,12
DHX8,1,23,23
DKKL1,1,4,4
DNAJB2,1,8,8
DNAJC12,1,3,3
DPH3,2,5,3
DPM2,1,4,4
DRC1,1,7,7
DYRK1A,2,24,13
DYRK4,1,13,13
EDN2,1,4,4
EFS,1,5,5
EHD2,1,5,5
ELP6,1,6,6
EMILIN2,1,8,8
EPN1,1,4,4
ERG,4,42,13
ESR2,1,8,8
EVI2B,1,2,2
F9,1,3,3
FAIM2,1,12,12
FAM124B,1,2,2
FAM131C,1,7,7
FAM161B,2,18,10
FAM163A,1,2,2
FAM166A,1,7,7
FAM174A,1,3,3
FAM177A1,1,5,5
FAM177B,1,5,5
FAM221B,1,6,6
FAM222B,2,6,4
FAM241B,1,4,4
FAM243A_1,1,1,1
FAM53C,4,19,7
FBXL19,1,4,4
FBXO31,2,17,9
FBXO36,1,4,4
FCRL5,1,8,8
FIGLA,1,4,4
FKBP15,1,16,16
FLT3LG,1,2,2
FOSB,1,3,3
FOXH1,1,3,3
FOXO6,1,2,2
FRMPD2,1,31,31
FSD2,1,13,13
GAL,2,11,6
GC,1,6,6
GCLM,1,2,2
GDPD2,1,16,16
GIPC1,1,6,6
GKAP1,4,47,15
GLUL,1,7,7
GNA13,1,4,4
GNPNAT1,1,5,5
GPR148,1,1,1
GPR34,1,1,1
GSC,1,3,3
GSC2,1,3,3
GYPC,1,3,3
HAMP,1,3,3
HAVCR2,2,14,8
HAX1,2,15,9
HEATR9,1,16,16
HINT2,1,5,5
HIRIP3,1,4,4
HLCS,1,11,11
HMGN2,1,6,6
HOGA1,1,5,5
HOXD4,1,2,2
HSD17B7,3,21,11
IAH1,3,19,8
IHH,1,1,1
IL2RA,1,7,7
INF2,1,5,5
INO80B,1,5,5
INPP5A,1,11,11
INTS6,4,71,23
IQCF6,1,2,2
ITFG2,1,8,8
ITGB3,1,15,15
IZUMO3,1,5,5
IZUMO4,1,11,11
JPH4,1,5,5
KCNH4,1,15,15
KCNJ14,1,2,2
KCNK17,1,5,5
KDM6B,1,6,6
KIAA0040,1,1,1
KIAA0825,1,5,5
