transcript_id,num_exon
gnl|WGS:LGRN|mrna_AJ78_00002T0,2
gnl|WGS:LGRN|mrna_AJ78_00040T0,3
gnl|WGS:LGRN|mrna_AJ78_00041T0,2
gnl|WGS:LGRN|mrna_AJ78_00059T0,1
gnl|WGS:LGRN|mrna_AJ78_00063T0,3
gnl|WGS:LGRN|mrna_AJ78_00107T0,1
gnl|WGS:LGRN|mrna_AJ78_00153T0,1
gnl|WGS:LGRN|mrna_AJ78_00174T0,1
gnl|WGS:LGRN|mrna_AJ78_00231T0,2
gnl|WGS:LGRN|mrna_AJ78_00233T0,3
gnl|WGS:LGRN|mrna_AJ78_00244T0,1
gnl|WGS:LGRN|mrna_AJ78_00245T0,1
gnl|WGS:LGRN|mrna_AJ78_00260T0,2
gnl|WGS:LGRN|mrna_AJ78_00268T0,2
gnl|WGS:LGRN|mrna_AJ78_00269T0,2
gnl|WGS:LGRN|mrna_AJ78_00271T0,1
gnl|WGS:LGRN|mrna_AJ78_00370T0,2
gnl|WGS:LGRN|mrna_AJ78_00426T0,1
gnl|WGS:LGRN|mrna_AJ78_00436T0,1
gnl|WGS:LGRN|mrna_AJ78_00438T0,6
gnl|WGS:LGRN|mrna_AJ78_00442T0,3
gnl|WGS:LGRN|mrna_AJ78_00443T0,1
gnl|WGS:LGRN|mrna_AJ78_00444T0,1
gnl|WGS:LGRN|mrna_AJ78_00445T0,2
gnl|WGS:LGRN|mrna_AJ78_00446T0,1
gnl|WGS:LGRN|mrna_AJ78_00472T0,2
gnl|WGS:LGRN|mrna_AJ78_00474T0,1
gnl|WGS:LGRN|mrna_AJ78_00486T0,2
gnl|WGS:LGRN|mrna_AJ78_00489T0,2
gnl|WGS:LGRN|mrna_AJ78_00494T0,1
gnl|WGS:LGRN|mrna_AJ78_00553T0,2
gnl|WGS:LGRN|mrna_AJ78_00580T0,1
gnl|WGS:LGRN|mrna_AJ78_00613T0,3
gnl|WGS:LGRN|mrna_AJ78_00616T0,1
gnl|WGS:LGRN|mrna_AJ78_00669T0,2
gnl|WGS:LGRN|mrna_AJ78_00671T0,1
gnl|WGS:LGRN|mrna_AJ78_00672T0,2
gnl|WGS:LGRN|mrna_AJ78_00689T0,3
gnl|WGS:LGRN|mrna_AJ78_00735T0,3
gnl|WGS:LGRN|mrna_AJ78_00743T0,1
gnl|WGS:LGRN|mrna_AJ78_00770T0,1
gnl|WGS:LGRN|mrna_AJ78_00850T0,2
gnl|WGS:LGRN|mrna_AJ78_00851T0,3
gnl|WGS:LGRN|mrna_AJ78_00879T0,2
gnl|WGS:LGRN|mrna_AJ78_00910T0,1
gnl|WGS:LGRN|mrna_AJ78_00913T0,1
gnl|WGS:LGRN|mrna_AJ78_00927T0,2
