gene_id,num_transcript,num_exon,num_uniq_exon
ACP1,1,7,7
AHCYL1,6,96,22
AMN1,9,73,19
ARGLU1,2,8,5
ARMH1,1,8,8
ARSJ,1,2,2
ASCL3,2,6,4
ASNSD1,1,3,3
ATP5IF1,1,3,3
BBS12,1,2,2
BRD3OS,1,2,2
BZW1,2,22,14
C15H12orf43,1,6,6
C1H11orf87,1,2,2
C1H13orf42,1,3,3
C1H3orf85,1,4,4
C1QTNF2,1,5,5
C3H2orf50,1,6,6
C4H4orf50,9,121,25
C4H4orf54,1,3,3
C7H19orf73,1,1,1
CAMK2N1,1,2,2
CCDC134,3,22,10
CD24,1,2,2
CDH18,8,121,26
CDK5RAP3,1,3,3
CEBPZOS,1,5,5
CMC4,10,47,17
CPLX1,1,4,4
CPLX2,4,18,8
CPN2,1,2,2
CREBL2,1,4,4
CRELD1,5,49,12
CTXND1,1,3,3
CUNH11orf98,1,4,4
CUNH1orf226,1,4,4
CYS1,1,4,4
CYSTM1,4,15,7
DAP,2,6,6
DAZAP2,1,5,5
DND1,7,39,14
DOK2,1,2,2
ELN,1,34,34
EML3,1,6,6
ESPNL,1,4,4
EXT13_mgr01,1,1,1
EXT13_mgr02,1,1,1
EXT13_mgt01,1,1,1
EXT13_mgt02,1,1,1
EXT13_mgt03,1,1,1
EXT13_mgt04,1,1,1
EXT13_mgt05,1,1,1
EXT13_mgt06,1,1,1
EXT13_mgt07,1,1,1
EXT13_mgt08,1,1,1
EXT13_mgt09,1,1,1
EXT13_mgt10,1,1,1
EXT13_mgt11,1,1,1
EXT13_mgt12,1,1,1
EXT13_mgt13,1,1,1
EXT13_mgt14,1,1,1
EXT13_mgt15,1,1,1
EXT13_mgt16,1,1,1
EXT13_mgt17,1,1,1
EXT13_mgt18,1,1,1
EXT13_mgt19,1,1,1
EXT13_mgt20,1,1,1
EXT13_mgt21,1,1,1
EXT13_mgt22,1,1,1
FAM124A,1,4,4
FAM81A,1,10,10
FASTKD3,1,12,12
GJA8,1,1,1
GJE1,1,2,2
GPA33,4,43,16
GPR142,1,2,2
GPR34,2,4,3
GREM2,4,10,9
GZF1,2,11,8
HAUS3,2,10,6
HCRT,1,1,1
HMOX2,5,29,10
HNRNPAB,6,53,12
HPCAL4,1,4,4
HSD17B3,1,8,8
HTD2,1,1,1
HYLS1,1,2,2
IAPP,6,38,10
IFT22,1,5,5
IL22RA1,1,8,8
IL23A,1,2,2
IMP3,1,1,1
KCNMB1,1,4,4
KIAA0408,1,5,5
KIF18B,1,7,7
KIF5A,1,4,4
KLHL10,1,1,1
LBX2,1,4,4
LOC107198159,2,11,8
LOC107198163,1,2,2
LOC107198183,1,2,2
LOC107198188,2,5,4
LOC107198217,1,2,2
LOC107198222,1,4,4
LOC107198227,1,3,3
LOC107198237,1,2,2
LOC107198242,3,11,6
LOC107198244,1,3,3
LOC107198286,2,9,6
LOC107198294,3,23,11
LOC107198297,1,2,2
LOC107198307,1,2,2
LOC107198327,1,3,3
LOC107198354,1,3,3
LOC107198355,5,25,11
LOC107198378,1,2,2
LOC107198387,1,3,3
LOC107198401,1,3,3
LOC107198402,1,6,6
LOC107198412,1,3,3
LOC107198414,2,7,5
LOC107198416,2,7,5
LOC107198417,1,5,5
LOC107198430,1,3,3
LOC107198438,3,16,7
LOC107198440,2,11,6
LOC107198444,1,2,2
LOC107198454,1,6,6
LOC107198459,1,3,3
LOC107198460,1,3,3
LOC107198463,3,8,5
LOC107198467,1,2,2
LOC107198479,1,3,3
LOC107198483,4,14,7
LOC107198489,1,3,3
LOC107198494,2,6,4
LOC107198495,2,7,5
LOC107198498,1,2,2
LOC107198501,1,3,3
LOC107198503,1,3,3
LOC107198507,1,2,2
LOC107198510,1,2,2
LOC107198511,5,28,10
LOC107198516,1,2,2
LOC107198520,1,2,2
LOC107198523,2,6,6
LOC107198525,1,2,2
LOC107198529,1,3,3
LOC107198531,1,4,4
LOC107198534,1,3,3
LOC107198536,1,3,3
LOC107198541,3,11,8
LOC107198550,8,41,16
LOC107198623,2,7,5
LOC107198629,1,3,3
LOC107198635,1,2,2
LOC107198637,1,6,6
LOC107198640,1,3,3
LOC107198651,3,11,5
LOC107198653,1,4,4
LOC107198654,1,2,2
LOC107198658,1,3,3
LOC107198677,1,2,2
LOC107198679,1,2,2
LOC107198682,1,2,2
LOC107198684,2,8,5
LOC107198690,2,11,8
LOC107198699,1,3,3
LOC107198735,1,3,3
LOC107198740,1,2,2
LOC107198773,1,3,3
LOC107198779,1,2,2
LOC107198781,1,2,2
LOC107198783,1,4,4
LOC107198814,1,2,2
LOC107198817,1,2,2
LOC107198828,1,4,4
LOC107198834,2,7,5
LOC107198840,1,4,4
LOC107198852,1,2,2
LOC107198871,3,6,4
LOC107198907,1,4,4
LOC107198908,2,6,5
LOC107198911,1,3,3
LOC107198915,1,5,5
LOC107198917,1,2,2
LOC107198932,4,14,8
LOC107198936,1,2,2
LOC107198950,1,2,2
LOC107198982,1,3,3
LOC107198984,1,3,3
LOC107198989,1,3,3
LOC107199006,1,2,2
LOC107199022,1,3,3
LOC107199023,1,4,4
LOC107199027,1,3,3
LOC107199044,2,6,4
LOC107199074,3,12,8
LOC107199118,1,2,2
LOC107199119,1,2,2
LOC107199125,1,3,3
LOC107199138,2,4,3
LOC107199141,1,2,2
LOC107199145,1,2,2
LOC107199161,1,2,2
LOC107199174,1,2,2
LOC107199176,1,2,2
LOC107199182,1,3,3
LOC107199187,1,2,2
LOC107199193,1,3,3
LOC107199199,1,2,2
LOC107199221,1,2,2
LOC107199231,1,7,7
LOC107199236,3,8,7
