transcript_id,num_exon
LOC100424130,2
LOC100430012,3
LOC106992418,2
LOC106992425,2
LOC106992433,2
LOC106992434,2
LOC106992444,2
LOC106992446,2
LOC106992460,2
LOC106993048,2
LOC106993055,2
LOC106993056,2
LOC106993058,2
LOC106993063,2
LOC106993064,2
LOC106993140,2
LOC106993141,2
LOC106993142,2
LOC106993143,2
LOC106993144,2
LOC106995637,2
LOC106995765,2
LOC106995900,2
LOC106996055,4
LOC106997451,2
LOC106997452,2
LOC106997453,2
LOC106997697,2
LOC106997702,7
LOC106997703,2
LOC106997704,2
LOC106997705,2
LOC106997706,2
LOC106997707,2
LOC106998680,2
LOC106999312,2
LOC106999335,2
LOC106999336,2
LOC106999337,2
LOC106999339,2
LOC106999341,2
LOC106999343,2
LOC106999346,2
LOC106999347,2
LOC106999348,2
LOC106999349,2
LOC106999350,2
LOC106999351,2
LOC106999353,2
LOC106999608,4
LOC106999609,3
LOC106999615,2
LOC106999619,2
LOC106999620,2
LOC106999621,2
LOC106999623,3
LOC106999629,2
LOC106999633,2
LOC107000555,2
LOC107000570,2
LOC107000578,2
LOC107000579,2
LOC107000585,2
LOC107000586,2
LOC114669771,2
LOC114670307,4
LOC114670549,2
LOC114670550,2
LOC114671797,2
LOC114671809,2
LOC114676933,2
LOC114677047,2
LOC114677049,2
LOC114677050,2
LOC114677054,2
LOC114677055,2
LOC114677136,2
LOC114677137,2
LOC114677139,1
LOC114677140,6
LOC114679531,2
LOC114679533,2
LOC114679689,5
LOC114679690,6
LOC114679692,2
LOC114679693,3
LOC114679694,2
LOC114679696,2
LOC114679707,3
LOC114679711,2
LOC114679713,2
LOC114679728,3
LOC114679729,2
LOC114679730,2
LOC114679735,2
LOC695943,2
LOC696075,2
LOC696684,2
LOC696752,2
LOC697054,2
LOC697234,2
LOC697466,2
LOC697792,2
LOC698161,2
LOC698289,2
LOC698913,2
LOC699162,2
LOC699298,2
LOC699543,2
LOC699790,2
LOC699912,2
LOC700105,2
LOC700154,2
LOC700224,2
LOC700696,2
LOC701068,2
LOC701152,2
LOC701240,2
LOC701262,2
LOC701395,2
LOC701407,4
LOC701600,2
LOC701745,2
LOC701875,2
LOC701976,4
LOC701992,2
LOC702113,2
LOC702550,2
LOC702904,2
LOC703139,2
LOC703153,2
LOC703375,2
LOC703610,2
LOC704883,2
LOC706869,2
LOC707007,2
LOC707181,2
LOC707609,2
LOC708249,2
LOC708328,2
LOC708547,4
LOC708581,2
LOC708771,2
LOC708891,6
LOC708976,2
LOC709066,2
LOC709081,2
LOC709162,2
LOC709531,2
LOC709703,2
LOC709793,2
LOC709890,2
LOC710093,2
LOC710183,2
LOC710361,2
LOC710455,2
LOC710627,2
LOC710821,2
LOC710951,7
LOC711031,7
LOC711066,2
LOC711141,2
LOC711194,2
LOC711386,2
LOC711537,2
LOC711871,2
LOC711872,8
LOC714310,2
LOC714894,2
LOC714939,2
LOC715165,2
LOC715260,2
LOC715358,2
LOC715543,2
LOC715594,2
LOC715733,2
LOC716866,2
LOC716949,2
LOC719378,2
LOC720456,2
LOC720538,4
LOC720839,4
LOC720890,2
LOC720899,2
LOC720974,2
LOC721017,2
LOC721043,2
LOC721089,2
LOC721104,3
LOC721108,2
LOC721116,3
LOC721132,2
LOC721139,3
LOC723660,2
MIR1-1,1
MIR1-1_1,1
MIR1-2,1
MIR1-2_1,1
MIR100,1
MIR100_1,1
MIR101-1,1
MIR101-1_1,1
MIR101-2,1
MIR101-2_1,1
MIR103-1,1
MIR103-1_1,1
MIR103-2,1
MIR105-1,1
MIR105-1_1,1
MIR105-2,1
MIR105-2_1,1
MIR106A,1
MIR106A_1,1
MIR106B,1
MIR106B_1,1
MIR107,1
MIR107_1,1
MIR10A,1
MIR10A_1,1
MIR10B,1
MIR10B_1,1
MIR1179,1
MIR1180,1
MIR1180_1,1
MIR1185-1,1
MIR1185-1_1,1
MIR1224,1
MIR1224_1,1
MIR1225,1
MIR1225_1,1
MIR1226,1
MIR1227,1
MIR122A,1
MIR122A_1,1
MIR1230,1
MIR1232,1
MIR1233,1
MIR1234,1
MIR1239,1
MIR1240,1
MIR1241,1
MIR1243,1
MIR1243_1,1
MIR1245,1
MIR1245_1,1
MIR1247,1
MIR1247_1,1
MIR1249,1
MIR124A-1,1
MIR124A-1_1,1
MIR124A-2,1
MIR124A-2_1,1
MIR1250,1
MIR1251,1
MIR1251_1,1
MIR1255B,1
MIR1258,1
MIR125A,1
MIR125A_1,1
MIR125B-1,1
MIR125B-1_1,1
MIR125B-2,1
MIR125B-2_1,1
MIR126,1
MIR1260B,1
MIR1262,1
MIR1262_1,1
MIR127,1
MIR1271,1
MIR1271_1,1
MIR1277,1
MIR127_1,1
MIR1283,1
MIR1284,1
MIR128A,1
MIR128A_1,1
MIR128B,1
MIR128B_1,1
MIR129-1,1
MIR129-1_1,1
MIR129-2,1
MIR129-2_1,1
MIR1296,1
MIR1296_1,1
MIR1298,1
MIR1298_1,1
MIR1304,1
MIR130A,1
MIR130A_1,1
MIR130B,1
MIR130B_1,1
MIR132,1
MIR1323,1
MIR1323_1,1
MIR132_1,1
MIR133A,1
MIR133B,1
MIR133B_1,1
MIR133C,1
MIR133C_1,1
MIR134,1
MIR134_1,1
MIR135A-1,1
MIR135A-1_1,1
MIR135A-2,1
MIR135A-2_1,1
MIR135B,1
MIR135B_1,1
MIR136,1
MIR137,1
MIR137_1,1
MIR138,1
MIR138_1,1
MIR139,1
MIR139_1,1
MIR140,1
MIR140_1,1
MIR141,1
MIR141_1,1
MIR142,1
MIR142_1,1
MIR143,1
MIR143_1,1
MIR144,1
MIR145,1
MIR145_1,1
MIR146A,1
MIR146A_1,1
MIR147A,1
MIR147B,1
MIR148A,1
MIR148A_1,1
MIR148B,1
MIR148B_1,1
MIR149,1
MIR149_1,1
MIR150,1
MIR150_1,1
MIR151,1
MIR151_1,1
MIR152,1
MIR152_1,1
MIR153-1,1
MIR153-1_1,1
MIR153-2,1
MIR153-2_1,1
MIR154,1
MIR154_1,1
MIR155,1
MIR15A,1
MIR15A_1,1
MIR15B,1
MIR15B_1,1
MIR16-1,1
MIR16-1_1,1
MIR16-2,1
MIR16-2_1,1
MIR17,1
MIR17_1,1
MIR181A-1,1
MIR181A-1_1,1
MIR181A-2,1
MIR181B-1,1
MIR181B-1_1,1
MIR181B-2,1
MIR181B-2_1,1
MIR181C,1
MIR181C_1,1
MIR181D,1
MIR182,1
MIR183,1
MIR183_1,1
