transcript_id,num_exon
XM_006683513.1,1
XM_006683514.1,1
XM_006683515.1,1
XM_006683516.1,1
XM_006683517.1,1
XM_006683518.1,1
XM_006683519.1,2
XM_006683520.1,1
XM_006683521.1,1
XM_006683522.1,1
XM_006683523.1,1
XM_006683524.1,1
XM_006683525.1,1
XM_006683526.1,1
XM_006683527.1,1
XM_006683528.1,1
XM_006683529.1,1
XM_006683530.1,1
XM_006683531.1,1
XM_006683532.1,1
XM_006683533.1,1
XM_006683534.1,2
XM_006683535.1,1
XM_006683536.1,1
XM_006683537.1,1
XM_006683538.1,1
XM_006683539.1,2
XM_006683540.1,1
XM_006683541.1,2
XM_006683542.1,2
XM_006683543.1,1
XM_006683544.1,2
XM_006683545.1,1
XM_006683546.1,2
XM_006683547.1,1
XM_006683548.1,2
XM_006683549.1,1
XM_006683550.1,1
XM_006683551.1,1
XM_006683552.1,1
XM_006683553.1,1
XM_006683554.1,1
XM_006683555.1,2
XM_006683556.1,2
XM_006683557.1,1
XM_006683558.1,1
XM_006683559.1,1
XM_006683560.1,1
XM_006683561.1,1
XM_006683562.1,1
XM_006683563.1,1
XM_006683564.1,1
XM_006683565.1,1
XM_006683566.1,1
XM_006683567.1,1
XM_006683568.1,2
XM_006683569.1,1
XM_006683570.1,1
XM_006683571.1,1
XM_006683572.1,1
XM_006683573.1,1
XM_006683574.1,1
XM_006683575.1,2
XM_006683576.1,1
XM_006683577.1,1
XM_006683578.1,1
XM_006683579.1,1
XM_006683580.1,1
XM_006683581.1,1
XM_006683582.1,1
XM_006683583.1,1
XM_006683584.1,2
XM_006683585.1,2
XM_006683586.1,1
XM_006683587.1,1
XM_006683588.1,2
XM_006683589.1,1
XM_006683590.1,1
XM_006683591.1,1
XM_006683592.1,1
XM_006683593.1,1
XM_006683594.1,1
XM_006683595.1,1
XM_006683596.1,1
XM_006683597.1,1
XM_006683598.1,1
XM_006683599.1,1
XM_006683600.1,1
XM_006683601.1,1
XM_006683602.1,1
XM_006683603.1,1
XM_006683604.1,2
XM_006683605.1,1
XM_006683606.1,1
XM_006683607.1,1
XM_006683608.1,1
XM_006683609.1,2
XM_006683610.1,1
XM_006683611.1,2
XM_006683612.1,2
XM_006683613.1,4
XM_006683614.1,1
XM_006683615.1,1
XM_006683616.1,1
XM_006683617.1,1
XM_006683618.1,1
XM_006683619.1,1
XM_006683620.1,1
XM_006683621.1,2
XM_006683622.1,1
XM_006683623.1,1
XM_006683624.1,1
XM_006683625.1,1
XM_006683626.1,2
XM_006683627.1,2
XM_006683628.1,1
XM_006683629.1,1
XM_006683630.1,1
XM_006683631.1,1
XM_006683632.1,2
XM_006683633.1,1
XM_006683634.1,1
XM_006683635.1,1
XM_006683636.1,1
XM_006683637.1,2
XM_006683638.1,1
XM_006683639.1,1
XM_006683640.1,1
XM_006683641.1,1
XM_006683642.1,1
XM_006683643.1,1
XM_006683644.1,1
XM_006683645.1,1
XM_006683646.1,1
XM_006683647.1,1
XM_006683648.1,1
XM_006683649.1,1
XM_006683650.1,1
XM_006683651.1,1
XM_006683652.1,2
XM_006683653.1,2
XM_006683654.1,1
XM_006683655.1,1
XM_006683656.1,1
XM_006683657.1,1
XM_006683658.1,1
XM_006683659.1,1
XM_006683660.1,3
XM_006683661.1,1
XM_006683662.1,1
XM_006683663.1,1
XM_006683664.1,1
XM_006683665.1,1
XM_006683666.1,1
XM_006683667.1,1
XM_006683668.1,1
XM_006683669.1,1
XM_006683670.1,1
XM_006683671.1,1
XM_006683672.1,1
