transcript_id,num_exon
FBtr0225996,2
FBtr0226024,1
FBtr0226130,7
FBtr0226175,7
FBtr0226204,2
FBtr0226399,4
FBtr0226413,2
FBtr0226636,3
FBtr0226662,1
FBtr0226681,3
FBtr0226748,2
FBtr0226814,1
FBtr0226842,2
FBtr0226847,7
FBtr0226848,2
FBtr0226850,7
FBtr0226853,2
FBtr0226864,2
FBtr0226875,2
FBtr0227008,2
FBtr0227010,5
FBtr0227047,1
FBtr0227055,3
FBtr0227173,1
FBtr0227216,2
FBtr0227258,2
FBtr0227289,2
FBtr0227379,2
FBtr0227434,4
FBtr0227493,2
FBtr0227581,1
FBtr0227592,2
FBtr0227614,2
FBtr0227718,1
FBtr0227725,3
FBtr0227812,1
FBtr0227818,2
FBtr0227889,1
FBtr0227978,1
FBtr0227990,2
FBtr0227999,2
FBtr0228026,2
FBtr0228086,2
FBtr0228089,1
FBtr0228137,2
FBtr0228180,2
FBtr0228225,1
FBtr0228240,3
FBtr0228314,3
FBtr0228337,2
FBtr0228363,1
FBtr0228370,1
FBtr0228430,1
FBtr0228443,2
FBtr0228506,1
FBtr0228514,2
FBtr0228545,4
FBtr0228562,2
FBtr0228565,2
FBtr0228566,2
FBtr0228567,2
FBtr0228570,1
FBtr0228602,2
FBtr0228666,1
FBtr0228693,1
FBtr0228694,2
FBtr0228695,2
FBtr0228696,2
FBtr0228702,3
FBtr0228703,2
FBtr0228827,2
FBtr0228857,1
FBtr0228992,2
FBtr0229037,1
FBtr0229078,2
FBtr0229093,1
FBtr0229101,3
FBtr0229135,1
FBtr0229179,2
FBtr0229212,2
FBtr0229313,3
FBtr0229380,2
FBtr0229400,3
FBtr0229415,2
FBtr0229658,8
FBtr0229932,1
FBtr0229996,3
FBtr0230011,1
FBtr0230042,2
FBtr0230051,5
FBtr0230063,2
FBtr0230107,3
FBtr0230190,2
FBtr0230210,3
FBtr0230228,3
FBtr0230334,2
FBtr0230422,6
FBtr0230428,2
FBtr0230509,1
FBtr0230524,2
FBtr0230546,1
FBtr0230625,1
FBtr0230717,2
FBtr0230835,4
FBtr0230840,2
FBtr0230868,3
FBtr0230948,1
FBtr0230950,1
FBtr0230966,3
FBtr0230994,1
FBtr0231083,2
FBtr0231191,2
FBtr0231247,3
FBtr0231310,2
FBtr0231321,2
FBtr0231347,3
FBtr0231370,2
FBtr0231385,2
FBtr0231419,2
FBtr0231492,1
FBtr0231494,1
FBtr0231507,7
FBtr0231552,1
FBtr0231649,2
FBtr0231696,2
FBtr0231709,3
FBtr0231731,3
FBtr0231734,2
FBtr0231756,3
FBtr0231768,1
FBtr0231775,2
FBtr0231777,2
FBtr0231806,1
FBtr0231862,1
FBtr0231915,3
FBtr0231945,1
FBtr0231946,1
FBtr0231985,3
FBtr0232027,3
FBtr0232181,2
FBtr0232258,1
FBtr0232286,1
FBtr0232371,1
FBtr0232399,1
FBtr0232439,3
FBtr0232449,2
FBtr0232496,2
FBtr0232529,2
FBtr0232575,2
FBtr0232639,2
FBtr0232713,2
FBtr0232723,3
FBtr0232836,2
FBtr0232900,2
FBtr0232915,2
FBtr0232926,2
FBtr0232928,3
FBtr0232930,4
FBtr0232936,2
FBtr0232962,3
FBtr0233024,2
FBtr0233068,9
FBtr0233069,2
FBtr0233139,2
FBtr0233183,2
FBtr0233249,2
FBtr0233251,2
FBtr0233287,2
FBtr0233304,4
FBtr0233317,1
FBtr0233338,2
FBtr0233362,2
FBtr0233551,2
FBtr0233631,2
FBtr0233765,1
FBtr0233797,1
FBtr0233867,1
FBtr0233960,3
FBtr0233962,3
FBtr0233991,1
FBtr0233996,2
FBtr0234052,1
FBtr0234116,3
FBtr0234216,1
FBtr0234219,1
FBtr0234408,2
FBtr0234412,1
FBtr0234445,2
FBtr0234494,3
FBtr0234504,1
FBtr0234532,2
FBtr0234558,2
FBtr0234606,2
FBtr0234792,2
FBtr0234885,2
FBtr0234886,1
FBtr0234975,1
FBtr0235036,2
FBtr0235100,6
FBtr0235123,2
FBtr0235239,3
FBtr0235301,2
FBtr0235395,2
FBtr0235400,2
FBtr0235476,1
FBtr0235477,1
FBtr0235552,1
FBtr0235569,5
FBtr0235626,2
FBtr0235734,1
FBtr0235737,2
FBtr0235758,2
FBtr0235808,2
FBtr0235810,2
FBtr0235863,2
FBtr0235934,2
FBtr0235946,1
FBtr0236074,3
FBtr0236199,1
FBtr0236404,7
FBtr0236412,3
FBtr0236634,2
FBtr0236678,1
FBtr0236725,2
FBtr0236759,3
FBtr0236823,2
FBtr0236896,2
FBtr0236902,2
FBtr0236932,3
FBtr0236933,3
FBtr0237013,2
FBtr0237025,4
FBtr0237124,1
FBtr0237183,1
FBtr0237185,3
FBtr0237186,4
FBtr0237218,4
FBtr0237219,3
FBtr0237256,2
FBtr0237300,2
FBtr0237473,3
FBtr0237524,2
FBtr0237549,1
FBtr0237553,2
FBtr0237861,1
FBtr0237921,2
FBtr0238075,1
FBtr0238239,4
FBtr0238345,3
FBtr0238392,4
FBtr0238414,6
FBtr0238427,3
FBtr0238585,3
FBtr0238586,2
FBtr0238593,2
FBtr0238597,5
FBtr0238598,5
FBtr0238660,7
FBtr0238715,12
FBtr0238716,2
FBtr0238727,1
FBtr0238833,2
FBtr0238848,5
FBtr0238955,2
FBtr0238965,2
FBtr0238991,2
FBtr0239024,3
FBtr0239074,13
FBtr0239174,1
FBtr0239182,1
FBtr0239286,5
FBtr0239347,7
FBtr0239378,4
FBtr0239451,2
FBtr0239615,3
FBtr0239620,1
FBtr0239624,1
FBtr0239630,1
FBtr0239672,2
FBtr0239758,2
FBtr0239759,4
FBtr0239844,1
FBtr0239915,1
FBtr0239987,1
FBtr0240009,2
FBtr0240068,2
FBtr0240069,2
FBtr0240144,1
FBtr0240240,1
FBtr0240320,5
FBtr0240456,2
FBtr0240463,1
FBtr0240519,2
FBtr0240520,2
FBtr0240558,2
FBtr0240582,4
FBtr0296717,1
FBtr0296718,1
FBtr0296719,1
FBtr0296720,1
FBtr0296721,1
FBtr0296722,1
FBtr0296723,1
FBtr0296724,1
FBtr0296725,1
FBtr0296726,1
FBtr0296727,1
FBtr0296728,1
FBtr0296729,1
FBtr0296730,1
FBtr0296731,1
FBtr0296732,1
FBtr0296733,1
FBtr0296734,1
FBtr0296735,1
FBtr0296736,1
FBtr0296737,1
FBtr0296738,1
FBtr0296739,1
FBtr0296740,1
FBtr0296741,1
FBtr0296742,1
FBtr0296743,1
FBtr0296744,1
FBtr0296745,1
FBtr0296746,1
FBtr0296747,1
FBtr0296748,1
FBtr0296749,1
FBtr0296750,1
FBtr0296753,1
FBtr0296754,1
FBtr0296755,1
FBtr0296756,1
FBtr0296757,1
FBtr0296758,1
FBtr0296759,1
FBtr0296760,1
FBtr0296761,1
FBtr0296763,1
FBtr0296764,1
FBtr0296765,1
FBtr0296766,1
FBtr0296767,1
FBtr0296768,1
FBtr0296769,1
FBtr0296770,1
FBtr0296771,1
FBtr0296772,1
FBtr0296773,1
FBtr0296774,1
FBtr0296775,1
FBtr0296776,1
FBtr0296777,1
FBtr0296778,1
FBtr0296779,1
FBtr0296780,1
FBtr0296781,1
FBtr0296782,1
FBtr0296783,1
FBtr0296784,1
FBtr0296785,1
FBtr0296786,1
FBtr0296787,1
FBtr0296788,1
FBtr0296789,1
FBtr0296790,1
FBtr0296791,1
FBtr0296792,1
FBtr0296793,1
FBtr0296794,1
FBtr0296795,1
FBtr0296796,1
FBtr0296797,1
FBtr0296798,1
FBtr0296799,1
FBtr0296800,1
FBtr0296801,1
FBtr0296802,1
FBtr0296803,1
FBtr0296804,1
FBtr0296805,1
FBtr0296806,1
FBtr0296807,1
FBtr0296808,1
FBtr0296810,1
FBtr0296811,1
FBtr0296812,1
FBtr0296813,1
FBtr0296814,1
FBtr0296815,1
FBtr0296816,1
FBtr0296817,1
FBtr0296818,1
